variant,concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
speaker_gender=feminine,pronouns-verbs.need-thing,צריכה…,,tsrikha…,tsʁixˈa,,2,he-variants-v1;rule=stative-adjective-agrees-in-gender;ipa=bgn
speaker_gender=feminine,shopping.i-am-just-looking,אני רק מסתכלת,,ani raq mistakelet,anˈi ʁˈak mistakelˈet,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,social-basics.i-do-not-know,אני לא יודעת,,ani lo yoda‘at,anˈi lˈo jodaˈat,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,social-basics.sorry,אני מצטערת,,ani mitsta‘eret,anˈi mitstaeʁˈet,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,taxi.i-will-get-off-here,אני יורדת כאן,,ani yoredet kan,anˈi joʁedˈet kˈan,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,transit-rides.i-am-in-a-hurry,אני ממהרת,,ani memaheret,anˈi memaheʁˈet,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,utility-templates.i-am-looking-for,אני מחפשת {},,ani meẖapeset {},anˈi mexapesˈet {},,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,utility-templates.i-cannot-find,אני לא מוצאת {},,ani lo motset {},anˈi lˈo motsˈet {},,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,utility-templates.i-need,אני צריכה {},,ani tsrikha {},anˈi tsʁixˈa {},,2,he-variants-v1;rule=stative-adjective-agrees-in-gender;ipa=bgn
speaker_gender=feminine,emergency-medical.i-am-sick,אני חולה,אֲנִי חוֹלָה,ani ẖola,anˈi xolˈa,,2,he-variants-v1;rule=stative-adjective-agrees-in-gender;ipa=bgn
speaker_gender=feminine,police-consulate.i-want-to-report-a-theft,אני רוצה להגיש תלונה על גניבה,אֲנִי רוֹצָה לְהַגִּישׁ תְּלוּנָה עַל גְּנֵיבָה,ani rotsa lehagish teluna ‘al geneyva,anˈi ʁotsˈa lehaɡˈiʃ telunˈa ˈal ɡenejvˈa,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,police-consulate.i-want-to-contact-my-embassy,אני רוצה להתקשר לשגרירות שלי,אֲנִי רוֹצָה לְהִתְקַשֵּׁר לַשַּׁגְרִירוּת שֶׁלִּי,ani rotsa lehitqasher lashagrirut sheli,anˈi ʁotsˈa lehitkaʃˈeʁ laʃaɡʁiʁˈut ʃelˈi,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,police-consulate.i-want-a-lawyer,אני רוצה עורך דין,אֲנִי רוֹצָה עוֹרֵךְ דִּין,ani rotsa ‘orekh din,anˈi ʁotsˈa oʁˈex dˈin,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,police-consulate.i-do-not-want-to-go-with-you,אני לא רוצה לבוא איתכם,אֲנִי לֹא רוֹצָה לָבוֹא אִיתְּכֶם,ani lo rotsa lavo itkhem,anˈi lˈo ʁotsˈa lavˈo itxˈem,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,food-ordering.i-want-this,אני רוצה את זה,אֲנִי רוֹצָה אֶת זֶה,ani rotsa et ze,anˈi ʁotsˈa ˈet zˈe,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,hotel-basics.i-would-like-a-non-smoking-room,אני רוצה חדר ללא עישון,אֲנִי רוֹצָה חֶדֶר לְלֹא עִישּׁוּן,ani rotsa ẖéder lelo ‘ishun,anˈi ʁotsˈa xˈedeʁ lelˈo iʃˈun,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,hotel-basics.i-would-like-a-quiet-room,אני רוצה חדר שקט,אֲנִי רוֹצָה חֶדֶר שָׁקֵט,ani rotsa ẖéder shaqet,anˈi ʁotsˈa xˈedeʁ ʃakˈet,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,sim-data.i-would-like-a-tourist-sim,אני רוצה כרטיס סים לתירים,אֲנִי רוֹצָה כַּרְטִיס סִים לְתַיָּרִים,ani rotsa kartis sim letayarim,anˈi ʁotsˈa kaʁtˈis sˈim letajaʁˈim,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,utility-templates.i-want-to-go-to,אני רוצה להגיע אל {},אֲנִי רוֹצָה לְהַגִּיעַ אֶל {},ani rotsa lehagía‘ el {},anˈi ʁotsˈa lehaɡˈia ˈel {},,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,children.cannot-find-my-child,אני לא מוצאת את הילד שלי,אֲנִי לֹא מוֹצֵאת אֶת הַיֶּלֶד שֶׁלִּי,ani lo motset et hayéled sheli,anˈi lˈo motsˈet ˈet hajˈeled ʃelˈi,,2,he-variants-v1;rule=benoni-verb-agrees-in-gender;ipa=bgn
speaker_gender=feminine,slang.i-love-it,אני מתה על זה,אֲנִי מֵתָה עַל זֶה,ani meta ‘al ze,anˈi metˈa ˈal zˈe,,2,he-variants-v1;rule=stative-adjective-agrees-in-gender;ipa=bgn
