concept_id,text,text_alt,romanization_pinyin,ipa,literal,confidence,provenance
lost-rescue.we-are-here,我们在这里,,wǒmen zài zhèlǐ,wɔ˧˩˧mən tsaɪ˥˩ ʈʂɤ˥˩li˧˩˧,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-have-a-heart-condition,我有心脏病,,wǒ yǒu xīnzàngbìng,wɔ˧˩˧ joʊ˧˩˧ ɕin˥tsɑŋ˥˩piŋ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-diarrhea,我拉肚子了,,wǒ lā dùzi le,wɔ˧˩˧ la˥ tu˥˩tsɯ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.my-passport-was-stolen,我的护照被偷了,,wǒ de hùzhào bèi tōu le,wɔ˧˩˧ tɤ xu˥˩ʈʂɑʊ˥˩ peɪ˥˩ tʰoʊ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.throat,喉咙,,hóulóng,xoʊ˧˥lʊŋ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-am-injured,我受伤了,,wǒ shòushāng le,wɔ˧˩˧ ʂoʊ˥˩ʂɑŋ˥ lɤ,,2,latex-reference-v2;ipa=pinyin
lost-rescue.please-look-at-my-location-pin,请看我的定位,,qǐng kàn wǒ de dìngwèi,tɕʰiŋ˧˩˧ kʰan˥˩ wɔ˧˩˧ tɤ tiŋ˥˩weɪ˥˩,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-am-allergic-to-penicillin,我对青霉素过敏,,wǒ duì qīngméisù guòmǐn,wɔ˧˩˧ tweɪ˥˩ tɕʰiŋ˥meɪ˧˥su˥˩ kwɔ˥˩min˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.where-is-an-all-night-pharmacy,哪里有24小时药店？,,nǎlǐ yǒu èrshísì xiǎoshí yàodiàn?,na˧˩˧li˧˩˧ joʊ˧˩˧ ɑɻ˥˩ʂɨ˧˥sɯ˥˩ ɕjɑʊ˧˩˧ʂɨ˧˥ jɑʊ˥˩tjɛn˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.someone-is-following-me,有人跟着我,,yǒu rén gēnzhe wǒ,joʊ˧˩˧ ʐən˧˥ kən˥ʈʂɤ wɔ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.tooth,牙,,yá,ja˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.it-hurts-here,这里疼,,zhèlǐ téng,ʈʂɤ˥˩li˧˩˧ tʰɤŋ˧˥,,2,latex-reference-v2;ipa=pinyin
lost-rescue.i-cannot-walk,我走不动了,,wǒ zǒu bu dòng le,wɔ˧˩˧ tsoʊ˧˩˧ pu tʊŋ˥˩ lɤ,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-have-epilepsy,我有癫痫,,wǒ yǒu diānxián,wɔ˧˩˧ joʊ˧˩˧ tjɛn˥ɕjɛn˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.painkiller,止痛药,,zhǐtòngyào,ʈʂɨ˧˩˧tʰʊŋ˥˩jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-need-a-written-police-report,我需要报警证明,,wǒ xūyào bàojǐng zhèngmíng,wɔ˧˩˧ ɕy˥jɑʊ˥˩ pɑʊ˥˩tɕiŋ˧˩˧ ʈʂɤŋ˥˩miŋ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.chest,胸,,xiōng,ɕjʊŋ˥,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.where-is-a-pharmacy,药店在哪里？,,yàodiàn zài nǎlǐ?,jɑʊ˥˩tjɛn˥˩ tsaɪ˥˩ na˧˩˧li˧˩˧,,2,latex-reference-v2;ipa=pinyin
lost-rescue.i-sprained-my-ankle,我扭伤脚了,,wǒ niǔshāng jiǎo le,wɔ˧˩˧ njoʊ˧˩˧ʂɑŋ˥ tɕjɑʊ˧˩˧ lɤ,,2,latex-reference-v2;ipa=pinyin
medical-conditions.my-blood-sugar-is-low,我血糖低了,,wǒ xuètáng dī le,wɔ˧˩˧ ɕɥœ˥˩tʰɑŋ˧˥ ti˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.do-i-need-a-prescription,需要处方吗？,,xūyào chǔfāng ma?,ɕy˥jɑʊ˥˩ ʈʂʰu˧˩˧fɑŋ˥ ma,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-want-to-contact-my-embassy,我要联系大使馆,,wǒ yào liánxì dàshǐguǎn,wɔ˧˩˧ jɑʊ˥˩ ljɛn˧˥ɕi˥˩ ta˥˩ʂɨ˧˩˧kwan˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.eye,眼睛,,yǎnjing,jɛn˧˩˧tɕiŋ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.please-take-me-to-a-hospital,请带我去医院,,qǐng dài wǒ qù yīyuàn,tɕʰiŋ˧˩˧ taɪ˥˩ wɔ˧˩˧ tɕʰy˥˩ i˥ɥœn˥˩,,2,latex-reference-v2;ipa=pinyin
lost-rescue.please-contact-rescue,请联系救援队,,qǐng liánxì jiùyuánduì,tɕʰiŋ˧˩˧ ljɛn˧˥ɕi˥˩ tɕjoʊ˥˩ɥœn˧˥tweɪ˥˩,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-need-my-inhaler,我需要哮喘喷雾,,wǒ xūyào xiàochuǎn pēnwù,wɔ˧˩˧ ɕy˥jɑʊ˥˩ ɕjɑʊ˥˩ʈʂʰwan˧˩˧ pʰən˥u˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-headache,我头疼,,wǒ tóu téng,wɔ˧˩˧ tʰoʊ˧˥ tʰɤŋ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-need-it-for-my-insurance,我的保险需要这个,,wǒ de bǎoxiǎn xūyào zhège,wɔ˧˩˧ tɤ pɑʊ˧˩˧ɕjɛn˧˩˧ ɕy˥jɑʊ˥˩ ʈʂɤ˥˩kɤ,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.ear,耳朵,,ěrduo,ɑɻ˧˩˧twɔ,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.my-companion-is-missing,我的同伴不见了,,wǒ de tóngbàn bú jiàn le,wɔ˧˩˧ tɤ tʰʊŋ˧˥pan˥˩ pu˧˥ tɕjɛn˥˩ lɤ,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-am-pregnant,我怀孕了,,wǒ huáiyùn le,wɔ˧˩˧ xwaɪ˧˥yn˥˩ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.paracetamol-acetaminophen,对乙酰氨基酚,,duì yǐxiān ānjīfēn,tweɪ˥˩ i˧˩˧ɕjɛn˥ an˥tɕi˥fən˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-need-an-interpreter,我需要翻译,,wǒ xūyào fānyì,wɔ˧˩˧ ɕy˥jɑʊ˥˩ fan˥i˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.leg,腿,,tuǐ,tʰweɪ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.i-carry-an-adrenaline-injector,我带着肾上腺素笔,,wǒ dàizhe shènshàngxiànsù bǐ,wɔ˧˩˧ taɪ˥˩ʈʂɤ ʂən˥˩ʂɑŋ˥˩ɕjɛn˥˩su˥˩ pi˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.how-much-should-i-take,一次吃多少？,,yí cì chī duōshao?,i˧˥ tsʰɯ˥˩ ʈʂʰɨ˥ twɔ˥ʂɑʊ,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.please-leave-me-alone,请别烦我,,qǐng bié fán wǒ,tɕʰiŋ˧˩˧ pjɛ˧˥ fan˧˥ wɔ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.arm,手臂,,shǒubì,ʂoʊ˧˩˧pi˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.i-take-medicine-for,我在吃{}的药,,wǒ zài chī {} de yào,wɔ˧˩˧ tsaɪ˥˩ ʈʂʰɨ˥ {} tɤ jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-am-vomiting,我在吐,,wǒ zài tù,wɔ˧˩˧ tsaɪ˥˩ tʰu˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-was-robbed,我被抢了,,wǒ bèi qiǎng le,wɔ˧˩˧ peɪ˥˩ tɕʰjɑŋ˧˩˧ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.foot,脚,,jiǎo,tɕjɑʊ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.i-take-blood-thinners,我在吃抗凝药,,wǒ zài chī kàngníngyào,wɔ˧˩˧ tsaɪ˥˩ ʈʂʰɨ˥ kʰɑŋ˥˩niŋ˧˥jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.rehydration-salts,口服补液盐,,kǒufú bǔyèyán,kʰoʊ˧˩˧fu˧˥ pu˧˩˧jɛ˥˩jɛn˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-want-a-lawyer,我要律师,,wǒ yào lǜshī,wɔ˧˩˧ jɑʊ˥˩ ly˥˩ʂɨ˥,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.hand,手,,shǒu,ʂoʊ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.medicine-allergy,药物过敏：{},,yàowù guòmǐn: {},jɑʊ˥˩u˥˩ kwɔ˥˩min˧˩˧ {},,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.how-many-times-a-day,一天吃几次？,,yì tiān chī jǐ cì?,i˥˩ tʰjɛn˥ ʈʂʰɨ˥ tɕi˧˩˧ tsʰɯ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.please-notify-my-consulate,请通知我的领事馆,,qǐng tōngzhī wǒ de lǐngshìguǎn,tɕʰiŋ˧˩˧ tʰʊŋ˥ʈʂɨ˥ wɔ˧˩˧ tɤ liŋ˧˩˧ʂɨ˥˩kwan˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.knee,膝盖,,xīgài,ɕi˥kaɪ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.this-card-lists-my-conditions,这张卡上有我的病史,,zhè zhāng kǎ shàng yǒu wǒ de bìngshǐ,ʈʂɤ˥˩ ʈʂɑŋ˥ kʰa˧˩˧ ʂɑŋ˥˩ joʊ˧˩˧ wɔ˧˩˧ tɤ piŋ˥˩ʂɨ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-stomach-ache,我肚子疼,,wǒ dùzi téng,wɔ˧˩˧ tu˥˩tsɯ tʰɤŋ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-am-calling-the-police,我要报警了,,wǒ yào bàojǐng le,wɔ˧˩˧ jɑʊ˥˩ pɑʊ˥˩tɕiŋ˧˩˧ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.ankle,脚踝,,jiǎohuái,tɕjɑʊ˧˩˧xwaɪ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.this-is-my-medicine,这是我的药,,zhè shì wǒ de yào,ʈʂɤ˥˩ ʂɨ˥˩ wɔ˧˩˧ tɤ jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-cough,我咳嗽,,wǒ késou,wɔ˧˩˧ kʰɤ˧˥soʊ,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.am-i-under-arrest,我被逮捕了吗？,,wǒ bèi dàibǔ le ma?,wɔ˧˩˧ peɪ˥˩ taɪ˥˩pu˧˩˧ lɤ ma,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.skin,皮肤,,pífū,pʰi˧˥fu˥,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.please-give-me-sugar-or-juice,请给我糖或果汁,,qǐng gěi wǒ táng huò guǒzhī,tɕʰiŋ˧˩˧ keɪ˧˩˧ wɔ˧˩˧ tʰɑŋ˧˥ xwɔ˥˩ kwɔ˧˩˧ʈʂɨ˥,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.antihistamine,抗过敏药,,kàng guòmǐn yào,kʰɑŋ˥˩ kwɔ˥˩min˧˩˧ jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.no-thank-you-i-am-not-interested,不用，谢谢,,"bú yòng, xièxie","pu˧˥ jʊŋ˥˩, ɕjɛ˥˩ɕjɛ",,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.inject-it-into-my-outer-thigh,请注射到大腿外侧,,qǐng zhùshè dào dàtuǐ wàicè,tɕʰiŋ˧˩˧ ʈʂu˥˩ʂɤ˥˩ tɑʊ˥˩ ta˥˩tʰweɪ˧˩˧ waɪ˥˩tsʰɤ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.anti-diarrhea-medicine,止泻药,,zhǐxièyào,ʈʂɨ˧˩˧ɕjɛ˥˩jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.someone-attacked-me,有人打了我,,yǒu rén dǎ le wǒ,joʊ˧˩˧ ʐən˧˥ ta˧˩˧ lɤ wɔ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.my-blood-type-is,我的血型是{},,wǒ de xuèxíng shì {},wɔ˧˩˧ tɤ ɕɥœ˥˩ɕiŋ˧˥ ʂɨ˥˩ {},,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.is-this-safe-to-take-with,这个能和{}一起吃吗？,,zhège néng hé {} yìqǐ chī ma?,ʈʂɤ˥˩kɤ nɤŋ˧˥ xɤ˧˥ {} i˥˩tɕʰi˧˩˧ ʈʂʰɨ˥ ma,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-did-not-agree-to-this-price,我没同意这个价格,,wǒ méi tóngyì zhège jiàgé,wɔ˧˩˧ meɪ˧˥ tʰʊŋ˧˥i˥˩ ʈʂɤ˥˩kɤ tɕja˥˩kɤ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.do-not-give-me,请不要给我用{},,qǐng bú yào gěi wǒ yòng {},tɕʰiŋ˧˩˧ pu˧˥ jɑʊ˥˩ keɪ˧˩˧ wɔ˧˩˧ jʊŋ˥˩ {},,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-feel-dizzy,我头晕,,wǒ tóuyūn,wɔ˧˩˧ tʰoʊ˧˥yn˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.please-write-the-report-number,请写下案件编号,,qǐng xiě xià ànjiàn biānhào,tɕʰiŋ˧˩˧ ɕjɛ˧˩˧ ɕja˥˩ an˥˩tɕjɛn˥˩ pjɛn˥xɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.i-am-allergic-to-aspirin-and-ibuprofen,我对阿司匹林和布洛芬过敏,,wǒ duì āsīpǐlín hé bùluòfēn guòmǐn,wɔ˧˩˧ tweɪ˥˩ a˥sɯ˥pʰi˧˩˧lin˧˥ xɤ˧˥ pu˥˩lwɔ˥˩fən˥ kwɔ˥˩min˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.ibuprofen,布洛芬,,bùluòfēn,pu˥˩lwɔ˥˩fən˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.it-happened-here,就在这里发生的,,jiù zài zhèlǐ fāshēng de,tɕjoʊ˥˩ tsaɪ˥˩ ʈʂɤ˥˩li˧˩˧ fa˥ʂɤŋ˥ tɤ,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.my-injector-is-in-my-bag,肾上腺素笔在我包里,,shènshàngxiànsù bǐ zài wǒ bāo lǐ,ʂən˥˩ʂɑŋ˥˩ɕjɛn˥˩su˥˩ pi˧˩˧ tsaɪ˥˩ wɔ˧˩˧ pɑʊ˥ li˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-sore-throat,我喉咙疼,,wǒ hóulóng téng,wɔ˧˩˧ xoʊ˧˥lʊŋ˧˥ tʰɤŋ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.may-i-have-a-copy-of-the-report,能给我一份复印件吗？,,néng gěi wǒ yí fèn fùyìnjiàn ma?,nɤŋ˧˥ keɪ˧˩˧ wɔ˧˩˧ i˧˥ fən˥˩ fu˥˩in˥˩tɕjɛn˥˩ ma,,2,zh-Hans-agent-v1;ipa=pinyin
medical-conditions.i-am-allergic-to-sulfa-drugs,我对磺胺类药过敏,,wǒ duì huáng'àn lèi yào guòmǐn,wɔ˧˩˧ tweɪ˥˩ xwɑŋ˧˥an˥˩ leɪ˥˩ jɑʊ˥˩ kwɔ˥˩min˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.can-i-get-this-medicine-here,这里有这种药吗？,,zhèlǐ yǒu zhè zhǒng yào ma?,ʈʂɤ˥˩li˧˩˧ joʊ˧˩˧ ʈʂɤ˥˩ ʈʂʊŋ˧˩˧ jɑʊ˥˩ ma,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-will-not-sign-anything-i-cannot-read,我看不懂的东西不签,,wǒ kàn bu dǒng de dōngxi bù qiān,wɔ˧˩˧ kʰan˥˩ pu tʊŋ˧˩˧ tɤ tʊŋ˥ɕi pu˥˩ tɕʰjɛn˥,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.bandage,绷带,,bēngdài,pɤŋ˥taɪ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.am-i-free-to-go,我可以走了吗？,,wǒ kěyǐ zǒu le ma?,wɔ˧˩˧ kʰɤ˧˩˧i˧˩˧ tsoʊ˧˩˧ lɤ ma,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.the-pain-is-severe,疼得很厉害,,téng de hěn lìhai,tʰɤŋ˧˥ tɤ xən˧˩˧ li˥˩xaɪ,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-do-not-want-to-go-with-you,我不想跟你走,,wǒ bù xiǎng gēn nǐ zǒu,wɔ˧˩˧ pu˥˩ ɕjɑŋ˧˩˧ kən˥ ni˧˩˧ tsoʊ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.antiseptic,消毒液,,xiāodúyè,ɕjɑʊ˥tu˧˥jɛ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-feel-nauseous,我想吐,,wǒ xiǎng tù,wɔ˧˩˧ ɕjɑŋ˧˩˧ tʰu˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-rash,我起疹子了,,wǒ qǐ zhěnzi le,wɔ˧˩˧ tɕʰi˧˩˧ ʈʂən˧˩˧tsɯ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.before-or-after-food,饭前还是饭后？,,fàn qián háishi fàn hòu?,fan˥˩ tɕʰjɛn˧˥ xaɪ˧˥ʂɨ fan˥˩ xoʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-think-it-is-infected,好像感染了,,hǎoxiàng gǎnrǎn le,xɑʊ˧˩˧ɕjɑŋ˥˩ kan˧˩˧ʐan˧˩˧ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.motion-sickness-tablets,晕车药,,yùnchēyào,yn˥˩ʈʂʰɤ˥jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-cut,我割伤了,,wǒ gēshāng le,wɔ˧˩˧ kɤ˥ʂɑŋ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.antacid,抗酸药,,kàngsuānyào,kʰɑŋ˥˩swan˥jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-burn,我烫伤了,,wǒ tàngshāng le,wɔ˧˩˧ tʰɑŋ˥˩ʂɑŋ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.it-started-days-ago,{}天前开始的,,{} tiān qián kāishǐ de,{} tʰjɛn˥ tɕʰjɛn˧˥ kʰaɪ˥ʂɨ˧˩˧ tɤ,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.cough-medicine,止咳药,,zhǐkéyào,ʈʂɨ˧˩˧kʰɤ˧˥jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.is-this-safe-during-pregnancy,怀孕能吃吗？,,huáiyùn néng chī ma?,xwaɪ˧˥yn˥˩ nɤŋ˧˥ ʈʂʰɨ˥ ma,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-think-i-have-malaria,好像得了疟疾,,hǎoxiàng déle nüèjí,xɑʊ˧˩˧ɕjɑŋ˥˩ tɤ˧˥lɤ nɥœ˥˩tɕi˧˥,,2,malaria-reader-v1;roman=generated;ipa=pinyin
pharmacy-symptoms.i-need-a-malaria-test,我需要做疟疾检查,,wǒ xūyào zuò nüèjí jiǎnchá,wɔ˧˩˧ ɕy˥jɑʊ˥˩ tswɔ˥˩ nɥœ˥˩tɕi˧˥ tɕjɛn˧˩˧ʈʂʰa˧˥,,2,malaria-reader-v1;roman=generated;ipa=pinyin
emergency-medical.i-feel-unwell,我不舒服,,wǒ bù shūfu,wɔ˧˩˧ pu˥˩ ʂu˥fu,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.this-is-an-emergency,这是紧急情况,,zhè shì jǐnjí qíngkuàng,ʈʂɤ˥˩ ʂɨ˥˩ tɕin˧˩˧tɕi˧˥ tɕʰiŋ˧˥kʰwɑŋ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.please-look-at-my-current-location,请看我现在的位置,,qǐng kàn wǒ xiànzài de wèizhi,tɕʰiŋ˧˩˧ kʰan˥˩ wɔ˧˩˧ ɕjɛn˥˩tsaɪ˥˩ tɤ weɪ˥˩ʈʂɨ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-am-having-a-severe-allergic-reaction,我出现严重过敏反应,,wǒ chūxiàn yánzhòng guòmǐn fǎnyìng,wɔ˧˩˧ ʈʂʰu˥ɕjɛn˥˩ jɛn˧˥ʈʂʊŋ˥˩ kwɔ˥˩min˧˩˧ fan˧˩˧iŋ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
lost-rescue.my-child-is-missing,我的孩子不见了,,wǒ de háizi bú jiàn le,wɔ˧˩˧ tɤ xaɪ˧˥tsɯ pu˧˥ tɕjɛn˥˩ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-cannot-breathe,我喘不上气,,wǒ chuǎn bu shàng qì,wɔ˧˩˧ ʈʂʰwan˧˩˧ pu ʂɑŋ˥˩ tɕʰi˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
