concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
communication.please-say-it-again,ದಯವಿಟ್ಟು ಇನ್ನೊಮ್ಮೆ ಹೇಳಿ,,dayaviṭṭu innomme hēḷi,dajaviʈʈu innomme heːɭi,please say it once more,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.please-write-it-down,ದಯವಿಟ್ಟು ಬರೆದು ಕೊಡಿ,,dayaviṭṭu baredu koḍi,dajaviʈʈu baredu koɖi,please write and give,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.please-wait-a-moment,ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಕಾಯಿರಿ,,dayaviṭṭu svalpa kāyiri,dajaviʈʈu svalpa kaːjiri,please wait a little,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.can-you-help-me,ನನಗೆ ಸಹಾಯ ಮಾಡುತ್ತೀರಾ?,,nanage sahāya māḍuttīrā?,nanaɡe sahaːja maːɖuttiːraː,will you do help to me?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.please-show-me-the-text,ದಯವಿಟ್ಟು {target} ಭಾಷೆಯಲ್ಲಿ ಬರೆದು ತೋರಿಸಿ,,dayaviṭṭu {target} bhāṣeyalli baredu tōrisi,dajaviʈʈu {target} bʰaːʂejalli baredu toːrisi,please write and show it in the {target} language — the head noun ಭಾಷೆ carries the locative so the slot does not have to,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.i-cannot-make-out-what-you-are-saying,ನೀವು ಏನು ಹೇಳುತ್ತಿದ್ದೀರಿ ಎಂದು ನನಗೆ ತಿಳಿಯುತ್ತಿಲ್ಲ,,nīvu ēnu hēḷuttiddīri eṁdu nanage tiḷiyuttilla,niːvu eːnu heːɭuttiddiːri endu nanaɡe tiɭijuttilla,what you are saying is not becoming clear to me,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.i-do-not-understand,ನನಗೆ ಅರ್ಥವಾಗುವುದಿಲ್ಲ,,nanage arthavāguvudilla,nanaɡe artʰavaːɡuvudilla,it does not make sense to me,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.i-cannot-read-it,ನನಗೆ ಇದನ್ನು ಓದಲು ಬರುವುದಿಲ್ಲ,,nanage idannu ōdalu baruvudilla,nanaɡe idannu oːdalu baruvudilla,reading this does not come to me,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.please-write-it-in-roman-letters,ದಯವಿಟ್ಟು ಇಂಗ್ಲಿಷ್ ಅಕ್ಷರಗಳಲ್ಲಿ ಬರೆಯಿರಿ,ರೋಮನ್ ಲಿಪಿ,dayaviṭṭu iṁgliṣ akṣaragaḷalli bareyiri,dajaviʈʈu iŋɡliʂ akʂaraɡaɭalli barejiri,in English letters — which is what Kannada calls the Roman alphabet in ordinary speech,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.please-go-ahead,ದಯವಿಟ್ಟು / ಆಗಲಿ,,dayaviṭṭu / āgali,dajaviʈʈu / aːɡali,"please / let it be — the second is ""go ahead""",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.yes-right,ಹೌದು / ಸರಿ,,haudu / sari,haʊdu / sari,yes / right,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.no-not,ಇಲ್ಲ / ಅಲ್ಲ,,illa / alla,illa / alla,"ಇಲ್ಲ denies that a thing exists, ಅಲ್ಲ denies that it is the thing asked about — answering ""is this the bus?"" with ಇಲ್ಲ says there is no bus",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.okay-can,ಸರಿ / ಆಗುತ್ತದೆ,,sari / āguttade,sari / aːɡuttade,right / it will happen,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.cannot-not-allowed,ಆಗುವುದಿಲ್ಲ / ಬೇಡ,,āguvudilla / bēḍa,aːɡuvudilla / beːɖa,it will not happen / do not,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.works-okay,ಕೆಲಸ ಮಾಡುತ್ತದೆ / ಸರಿ,,kelasa māḍuttade / sari,kelasa maːɖuttade / sari,it works / right,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.does-not-work-no,ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ / ಇಲ್ಲ,,kelasa māḍuttilla / illa,kelasa maːɖuttilla / illa,it is not working / no,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.can-possible,ಆಗುತ್ತದೆ / ಸಾಧ್ಯ,,āguttade / sādhya,aːɡuttade / saːdʰja,it will happen / possible,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.cannot-not-possible,ಆಗುವುದಿಲ್ಲ / ಸಾಧ್ಯವಿಲ್ಲ,,āguvudilla / sādhyavilla,aːɡuvudilla / saːdʰjavilla,it will not happen / not possible,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.okay-fine,ಸರಿ / ಪರವಾಗಿಲ್ಲ,,sari / paravāgilla,sari / paravaːɡilla,right / it does not matter,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
quick-responses.no-good-not-allowed-will-not-work,ಚೆನ್ನಾಗಿಲ್ಲ / ಬೇಡ / ಆಗುವುದಿಲ್ಲ,,cennāgilla / bēḍa / āguvudilla,cennaːɡilla / beːɖa / aːɡuvudilla,not good / do not / it will not work,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-translation.i-am-using-phone-translation,ನಾನು ಫೋನ್ ಅನುವಾದ ಬಳಸುತ್ತಿದ್ದೇನೆ,,nānu phōn anuvāda baḷasuttiddēne,naːnu pʰoːn anuvaːda baɭasuttiddeːne,I am using phone translation,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-translation.please-speak-toward-the-phone,ದಯವಿಟ್ಟು ಫೋನ್ ಕಡೆಗೆ ಮಾತನಾಡಿ,,dayaviṭṭu phōn kaḍege mātanāḍi,dajaviʈʈu pʰoːn kaɖeɡe maːtanaːɖi,please speak towards the phone,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-translation.please-write-the-place-name,ದಯವಿಟ್ಟು ಸ್ಥಳದ ಹೆಸರನ್ನು {target} ಭಾಷೆಯಲ್ಲಿ ಬರೆಯಿರಿ,,dayaviṭṭu sthaḷada hesarannu {target} bhāṣeyalli bareyiri,dajaviʈʈu stʰaɭada hesarannu {target} bʰaːʂejalli barejiri,please write the place name in the {target} language,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-translation.one-sentence-at-a-time-please,ದಯವಿಟ್ಟು ಒಂದೊಂದು ವಾಕ್ಯ ಹೇಳಿ,,dayaviṭṭu oṁdoṁdu vākya hēḷi,dajaviʈʈu ondondu vaːkja heːɭi,please say one sentence at a time,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-translation.please-type-it-and-show-me,ದಯವಿಟ್ಟು ಟೈಪ್ ಮಾಡಿ ತೋರಿಸಿ,,dayaviṭṭu ṭaip māḍi tōrisi,dajaviʈʈu ʈaɪp maːɖi toːrisi,please type it and show,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-translation.please-look-at-the-screen,ದಯವಿಟ್ಟು ಪರದೆ ನೋಡಿ,,dayaviṭṭu parade nōḍi,dajaviʈʈu parade noːɖi,please look at the screen,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-text-power.please-type-it-for-me,ದಯವಿಟ್ಟು ನನಗೆ ಟೈಪ್ ಮಾಡಿ ಕೊಡಿ,,dayaviṭṭu nanage ṭaip māḍi koḍi,dajaviʈʈu nanaɡe ʈaɪp maːɖi koɖi,please type it and give it to me,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-text-power.please-use-simple-words,ದಯವಿಟ್ಟು ಸುಲಭ ಪದಗಳನ್ನು ಬಳಸಿ,,dayaviṭṭu sulabha padagaḷannu baḷasi,dajaviʈʈu sulabʰa padaɡaɭannu baɭasi,please use easy words,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-text-power.my-phone-battery-is-low,ನನ್ನ ಫೋನ್ ಬ್ಯಾಟರಿ ಕಡಿಮೆ ಇದೆ,,nanna phōn byāṭari kaḍime ide,nanna pʰoːn bjaːʈari kaɖime ide,my phone battery is low,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-text-power.do-you-have-a-power-bank,ನಿಮ್ಮ ಹತ್ತಿರ ಪವರ್ ಬ್ಯಾಂಕ್ ಇದೆಯೇ?,,nimma hattira pavar byāṁk ideyē?,nimma hattira pavar bjaːŋk idejeː,is there a power bank near you?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-text-power.the-translation-may-be-inaccurate,ಅನುವಾದ ತಪ್ಪಾಗಿರಬಹುದು,,anuvāda tappāgirabahudu,anuvaːda tappaːɡirabahudu,the translation may be wrong,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-text-power.please-confirm,ದಯವಿಟ್ಟು ಖಚಿತಪಡಿಸಿ,,dayaviṭṭu khacitapaḍisi,dajaviʈʈu kʰacitapaɖisi,please make it certain,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
phone-text-power.may-i-charge-my-phone-here,ಇಲ್ಲಿ ನನ್ನ ಫೋನ್ ಚಾರ್ಜ್ ಮಾಡಬಹುದೇ?,,illi nanna phōn cārj māḍabahudē?,illi nanna pʰoːn caːrɟ maːɖabahudeː,may I charge my phone here?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.i-would-like-a-tourist-sim,ನನಗೆ ಪ್ರವಾಸಿ ಸಿಮ್ ಕಾರ್ಡ್ ಬೇಕು,,nanage pravāsi sim kārḍ bēku,nanaɡe pravaːsi sim kaːrɖ beːku,I want a traveller SIM card,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.may-i-use-your-wifi,ನಿಮ್ಮ ವೈ-ಫೈ ಬಳಸಬಹುದೇ?,,nimma vai-phai baḷasabahudē?,nimma vaɪpʰaɪ baɭasabahudeː,may I use your Wi-Fi?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.how-much-data-is-included,ಎಷ್ಟು ಡೇಟಾ ಇದೆ?,,eṣṭu ḍēṭā ide?,eʂʈu ɖeːʈaː ide,how much data is there?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.do-you-need-my-passport,ನನ್ನ ಪಾಸ್ಪೋರ್ಟ್ ಬೇಕೇ?,,nanna pāspōrṭ bēkē?,nanna paːspoːrʈ beːkeː,is my passport wanted?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.how-long-is-it-valid,ಎಷ್ಟು ದಿನ ಚಾಲ್ತಿಯಲ್ಲಿರುತ್ತದೆ?,,eṣṭu dina cāltiyalliruttade?,eʂʈu dina caːltijalliruttade,for how many days will it be in force?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.please-activate-it,ದಯವಿಟ್ಟು ಆಕ್ಟಿವೇಟ್ ಮಾಡಿ,ಚಾಲನೆ ಮಾಡಿ,dayaviṭṭu ākṭivēṭ māḍi,dajaviʈʈu aːkʈiveːʈ maːɖi,the English verb is what a Kannada phone shop says; ಚಾಲನೆ is the written form,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.do-you-have-an-esim,ಇ-ಸಿಮ್ ಇದೆಯೇ?,,i-sim ideyē?,isim idejeː,is there an eSIM?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.my-data-is-not-working,ನನ್ನ ಡೇಟಾ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ,,nanna ḍēṭā kelasa māḍuttilla,nanna ɖeːʈaː kelasa maːɖuttilla,my data is not working,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.does-it-need-registration,ನೋಂದಣಿ ಬೇಕೇ?,,nōṁdaṇi bēkē?,noːndaɳi beːkeː,is registration wanted?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.i-have-no-signal,ಸಿಗ್ನಲ್ ಇಲ್ಲ,,signal illa,siɡnal illa,there is no signal,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.please-write-the-wifi-password,ದಯವಿಟ್ಟು ವೈ-ಫೈ ಪಾಸ್ವರ್ಡ್ ಬರೆಯಿರಿ,,dayaviṭṭu vai-phai pāsvarḍ bareyiri,dajaviʈʈu vaɪpʰaɪ paːsvarɖ barejiri,please write the Wi-Fi password,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.sim-card,ಸಿಮ್ ಕಾರ್ಡ್,SIM,sim kārḍ,sim kaːrɖ,,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.where-can-i-buy-a-plug-adapter,ಪ್ಲಗ್ ಅಡಾಪ್ಟರ್ ಎಲ್ಲಿ ಸಿಗುತ್ತದೆ?,,plag aḍāpṭar elli siguttade?,plaɡ aɖaːpʈar elli siɡuttade,where is a plug adapter available?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.mobile-data,ಮೊಬೈಲ್ ಡೇಟಾ,,mobail ḍēṭā,mobaɪl ɖeːʈaː,,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.can-i-top-up-this-sim,ಈ ಸಿಮ್ ರೀಚಾರ್ಜ್ ಮಾಡಬಹುದೇ?,,ī sim rīcārj māḍabahudē?,iː sim riːcaːrɟ maːɖabahudeː,may this SIM be recharged?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.top-up,ರೀಚಾರ್ಜ್,,rīcārj,riːcaːrɟ,recharge — the word Indian operators print,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.is-there-coverage-in,{} ನಲ್ಲಿ ನೆಟ್ವರ್ಕ್ ಇದೆಯೇ?,,{} nalli neṭvark ideyē?,{} nalli neʈvark idejeː,is there network in {}? — the locative ನಲ್ಲಿ is a separate word only because the slot is a pen-filled blank,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.signal,ಸಿಗ್ನಲ್,,signal,siɡnal,,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.esim,ಇ-ಸಿಮ್,eSIM,i-sim,isim,,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.prepaid,ಪ್ರಿಪೇಯ್ಡ್,,pripēyḍ,pripeːjɖ,,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
sim-data.roaming,ರೋಮಿಂಗ್,,rōmiṁg,roːmiŋɡ,,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.is-this-allowed,ಇದಕ್ಕೆ ಅನುಮತಿ ಇದೆಯೇ?,,idakke anumati ideyē?,idakke anumati idejeː,is there permission for this?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.is-tipping-expected,ಟಿಪ್ ಕೊಡಬೇಕೇ?,,ṭip koḍabēkē?,ʈip koɖabeːkeː,"must a tip be given? — a neutral yes/no, never ""how much""",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.is-service-included,ಸೇವಾ ಶುಲ್ಕ ಸೇರಿದೆಯೇ?,,sēvā śulka sērideyē?,seːvaː ʃulka seːridejeː,is the service charge included?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.may-i-enter,ಒಳಗೆ ಬರಬಹುದೇ?,,oḷage barabahudē?,oɭaɡe barabahudeː,may [I] come inside?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.remove-shoes,ಚಪ್ಪಲಿ ಬಿಡಬೇಕೇ?,,cappali biḍabēkē?,cappali biɖabeːkeː,"must the footwear be left off? — ಚಪ್ಪಲಿ covers sandals and shoes alike, which is what is actually removed at a Karnataka temple",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.photo-of-you,ನಿಮ್ಮ ಫೋಟೋ ತೆಗೆದುಕೊಳ್ಳಬಹುದೇ?,,nimma phōṭō tegedukoḷḷabahudē?,nimma pʰoːʈoː teɡedukoɭɭabahudeː,may I take your photo?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.may-i-sit-here,ಇಲ್ಲಿ ಕುಳಿತುಕೊಳ್ಳಬಹುದೇ?,,illi kuḷitukoḷḷabahudē?,illi kuɭitukoɭɭabahudeː,may [I] sit here?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.queue-for,ಇದು {} ಸರತಿ ಸಾಲೇ?,,idu {} sarati sālē?,idu {} sarati saːleː,is this the {} queue-line?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.dressed-appropriately,ನನ್ನ ಬಟ್ಟೆ ಸರಿ ಇದೆಯೇ?,,nanna baṭṭe sari ideyē?,nanna baʈʈe sari idejeː,are my clothes right?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
etiquette.did-not-mean-to-offend,ನೋಯಿಸುವ ಉದ್ದೇಶ ಇರಲಿಲ್ಲ,,nōyisuva uddēśa iralilla,noːjisuva uddeːʃa iralilla,there was no intention of hurting,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
