concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
hotel-basics.is-there-air-conditioning,ಎ.ಸಿ. ಇದೆಯೇ?,,e.si. ideyē?,esi idejeː,is there A/C? — the abbreviation is what is said,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.can-i-check-out-later,ತಡವಾಗಿ ಚೆಕ್-ಔಟ್ ಮಾಡಬಹುದೇ?,,taḍavāgi cek-auṭ māḍabahudē?,taɖavaːɡi cekaʊʈ maːɖabahudeː,may [I] check out late?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.what-time-does-breakfast-start,ಬೆಳಗಿನ ಉಪಾಹಾರ ಎಷ್ಟು ಗಂಟೆಗೆ ಶುರು?,,beḷagina upāhāra eṣṭu gaṁṭege śuru?,beɭaɡina upaːhaːra eʂʈu ɡaɳʈeɡe ʃuru,at what hour does breakfast start?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.can-i-store-my-luggage,ಸಾಮಾನು ಇಲ್ಲಿ ಇಡಬಹುದೇ?,,sāmānu illi iḍabahudē?,saːmaːnu illi iɖabahudeː,may the luggage be kept here?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.no-housekeeping,ಕೊಠಡಿ ಸ್ವಚ್ಛ ಮಾಡುವುದು ಬೇಡ,,koṭhaḍi svaccha māḍuvudu bēḍa,koʈʰaɖi svaccʰa maːɖuvudu beːɖa,cleaning the room is not wanted,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.another-towel-please,ದಯವಿಟ್ಟು ಇನ್ನೊಂದು ಟವೆಲ್,,dayaviṭṭu innoṁdu ṭavel,dajaviʈʈu innondu ʈavel,"please, one more towel",2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.what-time-is-check-out,ಚೆಕ್-ಔಟ್ ಎಷ್ಟು ಗಂಟೆಗೆ?,,cek-auṭ eṣṭu gaṁṭege?,cekaʊʈ eʂʈu ɡaɳʈeɡe,check-out at what hour?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.can-i-check-in-early,ಬೇಗ ಚೆಕ್-ಇನ್ ಮಾಡಬಹುದೇ?,,bēga cek-in māḍabahudē?,beːɡa cekin maːɖabahudeː,may [I] check in early?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.another-night,ಇನ್ನೊಂದು ರಾತ್ರಿ ಇರಬಹುದೇ?,,innoṁdu rātri irabahudē?,innondu raːtri irabahudeː,may [I] stay one more night?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.is-there-a-safe,ಸೇಫ್ ಲಾಕರ್ ಇದೆಯೇ?,,sēph lākar ideyē?,seːpʰ laːkar idejeː,is there a safe locker?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.another-blanket,ದಯವಿಟ್ಟು ಇನ್ನೊಂದು ಹೊದಿಕೆ,,dayaviṭṭu innoṁdu hodike,dajaviʈʈu innondu hodike,"please, one more blanket",2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-requests.wake-up-call,ದಯವಿಟ್ಟು {} ಗೆ ಎಬ್ಬಿಸಿ,,dayaviṭṭu {} ge ebbisi,dajaviʈʈu {} ɡe ebbisi,please wake [me] at {},2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.there-is-a-problem-with-the-room,ಕೊಠಡಿಯಲ್ಲಿ ಸಮಸ್ಯೆ ಇದೆ,,koṭhaḍiyalli samasye ide,koʈʰaɖijalli samasje ide,there is a problem in the room,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.the-air-conditioning-is-broken,ಎ.ಸಿ. ಕೆಟ್ಟಿದೆ,,e.si. keṭṭide,esi keʈʈide,the A/C has broken,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.there-is-no-hot-water,ಬಿಸಿ ನೀರು ಇಲ್ಲ,,bisi nīru illa,bisi niːru illa,there is no hot water,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.can-i-change-rooms,ಕೊಠಡಿ ಬದಲಿಸಬಹುದೇ?,,koṭhaḍi badalisabahudē?,koʈʰaɖi badalisabahudeː,may the room be changed?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.the-room-is-too-noisy,ಕೊಠಡಿಯಲ್ಲಿ ತುಂಬಾ ಗದ್ದಲ,,koṭhaḍiyalli tuṁbā gaddala,koʈʰaɖijalli tumbaː ɡaddala,in the room [there is] much noise,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.the-key-does-not-work,ಕೀ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ,,kī kelasa māḍuttilla,kiː kelasa maːɖuttilla,the key is not working — covers a card that will not open the door,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.the-toilet-will-not-flush,ಫ್ಲಶ್ ಆಗುತ್ತಿಲ್ಲ,,phlaś āguttilla,pʰlaʃ aːɡuttilla,the flush is not happening,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.the-light-does-not-work,ದೀಪ ಉರಿಯುತ್ತಿಲ್ಲ,,dīpa uriyuttilla,diːpa urijuttilla,the lamp is not burning,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.please-send-someone,ದಯವಿಟ್ಟು ಸರಿಪಡಿಸಲು ಯಾರನ್ನಾದರೂ ಕಳುಹಿಸಿ,,dayaviṭṭu saripaḍisalu yārannādarū kaḷuhisi,dajaviʈʈu saripaɖisalu jaːrannaːdaruː kaɭuhisi,please send someone to put it right,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
room-problems.the-heating-does-not-work,ಹೀಟರ್ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ,,hīṭar kelasa māḍuttilla,hiːʈar kelasa maːɖuttilla,the heater is not working,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.please-wash-these-clothes,ದಯವಿಟ್ಟು ಈ ಬಟ್ಟೆ ತೊಳೆಯಿರಿ,,dayaviṭṭu ī baṭṭe toḷeyiri,dajaviʈʈu iː baʈʈe toɭejiri,please wash these clothes,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.where-is-a-laundromat,ಬಟ್ಟೆ ತೊಳೆಯುವ ಅಂಗಡಿ ಎಲ್ಲಿದೆ?,ಲಾಂಡ್ರಿ,baṭṭe toḷeyuva aṁgaḍi ellide?,baʈʈe toɭejuva aŋɡaɖi ellide,where is a clothes-washing shop? — ಲಾಂಡ್ರಿ is the shop sign,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
laundry.when-will-it-be-ready,ಯಾವಾಗ ಸಿದ್ಧವಾಗುತ್ತದೆ?,,yāvāga siddhavāguttade?,jaːvaːɡa siddʰavaːɡuttade,when will it be ready?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.how-much-per-kilo,ಕಿಲೋಗೆ ಎಷ್ಟು?,,kilōge eṣṭu?,kiloːɡe eʂʈu,how much per kilo?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.can-it-be-ready-today,ಇಂದೇ ಸಿದ್ಧವಾಗುತ್ತದೆಯೇ?,,iṁdē siddhavāguttadeyē?,indeː siddʰavaːɡuttadejeː,will it be ready today itself?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.please-do-not-use-bleach,ದಯವಿಟ್ಟು ಬ್ಲೀಚ್ ಹಾಕಬೇಡಿ,,dayaviṭṭu blīc hākabēḍi,dajaviʈʈu bliːc haːkabeːɖi,please do not put bleach,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.laundromat,ಲಾಂಡ್ರಿ,,lāṁḍri,laːɳɖri,,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
laundry.please-iron-this,ದಯವಿಟ್ಟು ಇದನ್ನು ಇಸ್ತ್ರಿ ಮಾಡಿ,,dayaviṭṭu idannu istri māḍi,dajaviʈʈu idannu istri maːɖi,please iron this,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.detergent,ಸೋಪಿನ ಪುಡಿ,ಡಿಟರ್ಜೆಂಟ್,sōpina puḍi,soːpina puɖi,soap powder,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.dry-cleaning,ಡ್ರೈ ಕ್ಲೀನಿಂಗ್,,ḍrai klīniṁg,ɖraɪ kliːniŋɡ,,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
laundry.dryer,ಒಣಗಿಸುವ ಯಂತ್ರ,ಡ್ರೈಯರ್,oṇagisuva yaṁtra,oɳaɡisuva jantra,drying machine,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
laundry.coin-operated,ನಾಣ್ಯ ಹಾಕಿ ಬಳಸಿ,,nāṇya hāki baḷasi,naːɳja haːki baɭasi,put in a coin and use — the self-service sign,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
