concept_id,text,text_alt,romanization_ala-lc,ipa,literal,confidence,provenance
hotel-basics.two-beds,أريد سريرين منفصلين,,urīd sarīrayn munfaṣilayn,ʔɹˈiːd sˌaɹiːɹˈiːna mˌunfas̪ilˈiːna,two separate beds,2,ar-agent-v1;ipa=espeak
hotel-basics.is-there-air-conditioning,هل يوجد تكييف؟,,hal yūjad takyīf?,hˈal jwdʒd tˈakjiːf,,2,ar-agent-v1;ipa=espeak
hotel-requests.can-i-check-out-later,هل يمكن تأخير المغادرة؟,,hal yumkin taʾkhīr al-mughādarah?,hˈal jmkˈunna tˈaʔxiːr ʔalmuɣˈaːdaɹˌa,,2,ar-agent-v1;ipa=espeak
hotel-requests.what-time-does-breakfast-start,متى يبدأ الفطور؟,,matá yabdaʾ al-fuṭūr?,mˈataː jbdʔ ʔalfˈat̪uːr,,2,ar-agent-v1;ipa=espeak
hotel-requests.can-i-store-my-luggage,هل يمكن حفظ أمتعتي؟,,hal yumkin ḥifẓ amtiʿatī?,hˈal jmkˈunna ħˈifð ʔmtʕtˈiː,,2,ar-agent-v1;ipa=espeak
hotel-requests.no-housekeeping,لا حاجة للتنظيف,الرجاء عدم الإزعاج,lā ḥājah lil-tanẓīf,lˈaː ħˈaːdʒa lltnðiːf,,2,ar-agent-v1;ipa=espeak
hotel-requests.another-towel-please,منشفة أخرى من فضلك,فوطة أخرى,minshafah ukhrá min faḍlak,mˈinʃafˌa ʔˈuxɹaː mˈin fˈadˤlka,,2,ar-agent-v1;ipa=espeak
hotel-requests.what-time-is-check-out,متى موعد المغادرة؟,,matá mawʿid al-mughādarah?,mˈataː mˈawʕid ʔalmuɣˈaːdaɹˌa,,2,ar-agent-v1;ipa=espeak
hotel-requests.can-i-check-in-early,هل يمكن تسجيل الوصول مبكراً؟,,hal yumkin tasjīl al-wuṣūl mubakkiran?,hˈal jmkˈunna tˈasdʒiːl ʔalwˈus̪uːl mbkɹˈaː,,2,ar-agent-v1;ipa=espeak
hotel-requests.another-night,أريد ليلة أخرى,,urīd laylah ukhrá,ʔɹˈiːd lˈajla ʔˈuxɹaː,,2,ar-agent-v1;ipa=espeak
hotel-requests.is-there-a-safe,هل توجد خزنة؟,خزينة,hal tūjad khaznah?,hˈal tˈuːdʒd xˈazna,,2,ar-agent-v1;ipa=espeak
hotel-requests.another-blanket,بطانية أخرى من فضلك,,baṭṭānīyah ukhrá min faḍlak,bat̪t̪ˈaːniːjˌa ʔˈuxɹaː mˈin fˈadˤlka,,2,ar-agent-v1;ipa=espeak
hotel-requests.wake-up-call,أرجو إيقاظي الساعة {},,arjū īqāẓī al-sāʿah {},ʔrdʒˈuː ʔˈiːqaːðˌi ʔassˈaːʕa {},,2,ar-agent-v1;ipa=espeak
room-problems.there-is-a-problem-with-the-room,هناك مشكلة في الغرفة,,hunāk mushkilah fī al-ghurfah,hˈunaːkˌa mˈuʃkilˌa fˈiː ʔalɣˈurfa,,2,ar-agent-v1;ipa=espeak
room-problems.the-air-conditioning-is-broken,التكييف معطّل,,al-takyīf muʿaṭṭal,ʔattˈakjiːf mʕt̪ːl,,2,ar-agent-v1;ipa=espeak
room-problems.there-is-no-hot-water,لا يوجد ماء ساخن,,lā yūjad māʾ sākhin,lˈaː jwdʒd mˈaːʔ sˈaːxin,,2,ar-agent-v1;ipa=espeak
room-problems.can-i-change-rooms,هل يمكن تغيير الغرفة؟,,hal yumkin taghyīr al-ghurfah?,hˈal jmkˈunna tˈaɣjiːr ʔalɣˈurfa,,2,ar-agent-v1;ipa=espeak
room-problems.the-room-is-too-noisy,الغرفة فيها ضجيج,,al-ghurfah fīhā ḍajīj,ʔalɣˈurfa fˈiːhaː dˤˈadʒiːdʒ,the room has noise,2,ar-agent-v1;ipa=espeak
room-problems.the-key-does-not-work,المفتاح لا يعمل,البطاقة لا تعمل,al-miftāḥ lā yaʿmal,ʔalmˈiftaːħ lˈaː jʕml,,2,ar-agent-v1;ipa=espeak
room-problems.the-toilet-will-not-flush,السيفون لا يعمل,,al-sīfūn lā yaʿmal,ʔassˈiːfuːn lˈaː jʕml,the flush does not work,2,ar-agent-v1;ipa=espeak
room-problems.the-light-does-not-work,الضوء لا يعمل,النور لا يعمل,al-ḍawʾ lā yaʿmal,ʔadˤdˤˈawʔ lˈaː jʕml,,2,ar-agent-v1;ipa=espeak
room-problems.please-send-someone,أرجو إرسال أحد للإصلاح,,arjū irsāl aḥad lil-iṣlāḥ,ʔrdʒˈuː ʔˈirsaːl ʔˈaħad llʔs̪laːħ,,2,ar-agent-v1;ipa=espeak
room-problems.the-heating-does-not-work,التدفئة لا تعمل,,al-tadfiʾah lā taʿmal,ʔattˈadfiʔˌa lˈaː tˈaʕammˌul,,2,ar-agent-v1;ipa=espeak
massage-spa.please-stop,أرجو التوقّف، لا أريد المتابعة,,"arjū al-tawaqquf, lā urīd al-mutābaʿah",ʔrdʒˈuː ʔattˈuːqːf lˈaː ʔɹˈiːd ʔalmutˈaːbaʕˌa,please stop; I do not want to continue,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;in-pack-frame;ipa=espeak
massage-spa.please-pause,استراحة قصيرة من فضلك,,istirāḥah qaṣīrah min faḍlak,istˈiɹaːħˌa qs̪ˈiːrt mˈin fˈadˤlka,"a short break, please",2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.please-avoid-this-area,أرجو تجنّب هذه المنطقة,,arjū tajannub hādhihi al-minṭaqah,ʔrdʒˈuː tdʒnnb haˈaðihˌi ʔalmˈint̪aqˌa,please avoid this region,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;in-pack-frame;ipa=espeak
massage-spa.stronger-pressure,أرجو ضغطًا أقوى,,arjū ḍaghṭan aqwá,ʔrdʒˈuː dˤˈaɣt̪an ʔˈaqwaː,I ask for stronger pressure,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.more-gently,برفق أكثر من فضلك,ضغط أخفّ من فضلك,bi-rifq akthar min faḍlak,brfq ʔˈakθar mˈin fˈadˤlka,"more gently, please; the alt says lighter pressure",2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.that-pressure-is-good,الضغط مناسب، هكذا تمامًا,,"al-ḍaghṭ munāsib, hākadhā tamāman",ʔadˤdˤˈaɣt̪ mˈunaːsˌib hˈaːkaðˌaː tˈamaːmˌan,the pressure is right; exactly like this,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.focus-on-shoulders,أرجو التركيز على الكتفين,,arjū al-tarkīz ʿalá al-katifayn,ʔrdʒˈuː ʔattˈarkiːz ʕˈalaː ʔalkˌatifˈiːna,please concentrate on the shoulders,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.focus-on-back,أرجو التركيز على الظهر,,arjū al-tarkīz ʿalá al-ẓahr,ʔrdʒˈuː ʔattˈarkiːz ʕˈalaː ʔaððˈuhr,please concentrate on the back,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.focus-on-neck,أرجو التركيز على الرقبة,,arjū al-tarkīz ʿalá al-raqabah,ʔrdʒˈuː ʔattˈarkiːz ʕˈalaː ʔarɹˈaqabˌa,please concentrate on the neck,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.focus-on-feet,أرجو التركيز على القدمين,,arjū al-tarkīz ʿalá al-qadamayn,ʔrdʒˈuː ʔattˈarkiːz ʕˈalaː ʔalqˌadːamˈiːna,please concentrate on the feet,2,spa-board-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.reply-i-will-avoid-that-area,حسنًا، سأتجنّب هذه المنطقة,,"ḥasanan, saʾatajannab hādhihi al-minṭaqah",ħˈasanˌan sʔtdʒnnb haˈaðihˌi ʔalmˈint̪aqˌa,all right; I will avoid this region,2,spa-reply-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.reply-which-area-exactly,أي منطقة بالضبط؟,,ayy minṭaqah bi-al-ḍabṭ?,ʔˈajj mˈint̪aqˌa bidˤdˤˈabt̪,which region exactly?,2,spa-reply-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.reply-cannot-avoid-this-treatment,هذه الجلسة لا تتمّ دون هذه المنطقة,,hādhihi al-jalsah lā tatimm dūn hādhihi al-minṭaqah,haˈaðihˌi ʔaldʒˈalsa lˈaː ttmm dˈuːn haˈaðihˌi ʔalmˈint̪aqˌa,this session cannot be done without this region,2,spa-reply-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.reply-does-it-hurt-there,هل تؤلم هذه المنطقة؟,,hal tuʾlim hādhihi al-minṭaqah?,hˈal tʔlm haˈaðihˌi ʔalmˈint̪aqˌa,does this region hurt?,2,spa-reply-v1;src=al-Ghani;ar.wikipedia=tadlik;ipa=espeak
massage-spa.reply-ask-supervisor,لا أعرف بالضبط، سأسأل المسؤول,,"lā aʿrif bi-al-ḍabṭ, saʾasʾal al-masʾūl",lˈaː ʔˈaʕɹaf bidˤdˤˈabt̪ sʔsʔl ʔalmˈasʔuːl,I do not know exactly; I will ask the person in charge,2,spa-reply-v1;src=al-Ghani;ar.wikipedia=tadlik;generic-masculine-third-party;ipa=espeak
