concept_id,text,text_alt,romanization_appendix-e,ipa,literal,confidence,provenance
social-basics.excuse-me-sorry, ,,ánin apsenë,ˈaːnin ˈapsene,forgive me,1,qya-composed-v1;lex=VT43/18.3801;grammar=PE22;native=quenya-classical;ipa=appendix-e
social-basics.sorry, ,,ánin apsenë,ˈaːnin ˈapsene,forgive me,1,qya-composed-v1;lex=VT43/18.3801;grammar=PE22;native=quenya-classical;ipa=appendix-e
communication.i-do-not-speak-this-language,  {target},,lá quetin {target},laː kwˈetin {target},I do not speak it,1,qya-composed-v1;lex=PE17/137.4200 + PE22/153.1903;grammar=PE22;native=quenya-classical;ipa=appendix-e
communication.i-speak-only-a-little-of-this,  {target},,quetin pityavë {target},kwˈetin pˈitjave {target},I speak it a little -- -ve is the attested adverb ending,1,qya-composed-v1;lex=PE17/137.4200 + PE17/115.2007;grammar=PE22;native=quenya-classical;ipa=appendix-e
communication.do-you-speak-english,  {source},,ma quetilyë {source},ma kwˈetilje {source},do you speak it,1,qya-composed-v1;lex=PE17/068.0102 + PE17/137.4200;grammar=PE22;native=quenya-classical;ipa=appendix-e
communication.please-speak-more-slowly,  ,,á quetë lencavë,aː kwˈete lˈenkave,speak slowly -- lenca is Tolkien's 1910s word for slow,1,qya-composed-v1;lex=PE17/094.0610 + QL/052.8501;grammar=PE22;native=quenya-classical;ipa=appendix-e
communication.i-cannot-read-understand,  ,,lá polin tengwa,laː pˈolin tˈeŋɡwa,I cannot read written matter,1,qya-composed-v1;lex=PE17/155.3304 + VT49/48.0310;grammar=PE22;native=quenya-classical;ipa=appendix-e
communication.i-cannot-make-out-what-you-are-saying,   ,,lá istan mana quetilyë,laː ˈistan mˈana kwˈetilje,I do not know what you say,1,qya-composed-v1;lex=PE17/052.0405 + PM/395.1401;grammar=PE22;native=quenya-classical;ipa=appendix-e
communication.can-you-help-me,   ,,ma polilyë asya nin,ma pˈolilje ˈasja nin,can you help me,1,qya-composed-v1;lex=PE17/068.0102 + PE17/155.3304 + PE17/148.1604;grammar=PE22;native=quenya-classical;ipa=appendix-e
etiquette.is-this-allowed,   ,,ma ecë nin sina,ma ˈeke nin sˈina,may I do this,1,qya-composed-v1;lex=PE17/068.0102 + VT49/20.0907;grammar=PE22;native=quenya-classical;ipa=appendix-e
children.cannot-find-my-child,  ,,lá hirin hínanya,laː hˈirin hˈiːnanja,I do not find my child,1,qya-composed-v1;lex=LotR/0378.0103 + PE17/157.1405;grammar=Plotz;native=quenya-classical;ipa=appendix-e
board-answers.can-you-walk,  ,,Ma polilyë pata,ma pˈolilje pˈata,can you walk?,1,"qya-composed-v1;lex=PE17/068.0102 (ma) + PE17/155.3304 (pol-) + PE17/034.2511 (pata-);grammar=PE22 (poli-lyë + bare-stem complement, cf. 'ma polilyë asya nin' already in pack);native=quenya-classical;ipa=appendix-e"
board-answers.i-will-find-someone,     ,,Ni hiruva quén ar quén asyuva,ni hˈiruva kweːn ar kweːn ˈasjuva,I will find someone and someone will help,1,"qya-composed-v1;lex=PE17/014.2113 (ni) + WJ/361.3103 (quén) + LotR/0378.0103 (hir-, already in pack) + LotR/0377.3801 (ar) + PE17/148.1604 (asya-);grammar=PE22 (future -uva; paratactic 'ar' clause used instead of an unattested relative-clause construction);native=quenya-classical;ipa=appendix-e"
board-answers.i-will-show-you, ,,Tië tanan,tˈie tˈanan,I show the way,1,"qya-composed-v1;lex=PE17/013.3911 (tië) + MR/471.3501 (tana-);grammar=PE22 (1sg aorist -n, cf. istan/quetin already in pack);native=quenya-classical;ipa=appendix-e"
board-answers.it-is-closed,,,Pahta,pˈaxta,"closed, shut",3,qya-attested-v1;src=PE17/171.1108;eldamo=q;native=quenya-classical;ipa=appendix-e
board-answers.it-is-over-there,,,Tanomë,tˈanome,there,3,qya-attested-v1;src=VT49/11.4102;eldamo=q;native=quenya-classical;ipa=appendix-e
board-answers.not-possible,,,Lacárima,lakˈaːrima,"not feasible, impossible",3,qya-attested-v1;src=PE22/153.4003;eldamo=q;native=quenya-classical;ipa=appendix-e
board-answers.please-wait, ,,á harë,aː hˈare,sit / stay,1,qya-composed-v1;lex=PE17/162.3911 + Let/448.3604-1;grammar=PE22;native=quenya-classical;ipa=appendix-e
board-answers.say-it-again, ,,á enquetë,aː ˈenkwete,say it again,1,qya-composed-v1;lex=PE17/167.0712 + Let/448.3604-1;grammar=PE22;native=quenya-classical;ipa=appendix-e
board-answers.stay-here,  ,,á harë sinomë,aː hˈare sˈinome,stay/wait here,1,"qya-composed-v1;lex=PE17/162.3911 (harë) + PE17/162.3911 (sinomë, already in pack);grammar=PE22;native=quenya-classical;ipa=appendix-e"
board-answers.we-do-not-have-it,,,Penilmë,penˈilme,we do not have it,1,"qya-composed-v1;lex=PE17/173.0107-1, PE17/173.0310 (pen-, attested 1sg 'penin');grammar=PE22 (1pl exclusive -lmë);native=quenya-classical;ipa=appendix-e"
board-answers.what-is-your-name, ,,Mana essëlya,mˈana ˈesselja,what is your name?,1,"qya-composed-v1;lex=PM/395.1401 (mana, already in pack) + LotR/1123.0701 (essë) + PE17/057.2803 (-lya);grammar=PE22 (mana as predicate with 'essë-lya' as the queried noun; no explicit copula, cf. bare-adjective answers already in pack);native=quenya-classical;ipa=appendix-e"
