concept_id,text,text_alt,romanization_appendix-e,ipa,literal,confidence,provenance
pronouns-verbs.there-is-have,-,,ëa-,ˈea,to be / to exist,3,qya-attested-v1;src=PE17/074.4215;eldamo=q;native=quenya-classical;ipa=appendix-e
pronouns-verbs.want-to-verb,,,mínan,mˈiːnan,I desire to go -- put the goal after it,1,qya-composed-v1;lex=VT39/11.3803;grammar=PE22;native=quenya-classical;ipa=appendix-e
pronouns-verbs.want-thing,,,engwë,ˈeŋɡwe,thing that exists,3,qya-attested-v1;src=VT39/07.0109;eldamo=q;native=quenya-classical;ipa=appendix-e
pronouns-verbs.need-thing,,,sangië,sˈaŋɡie,necessity / pressing need,1,qya-deduced-v1;src=VT44/08.3601;eldamo=q#;native=quenya-classical;ipa=appendix-e
pronouns-verbs.looking-for-thing,,,cestan,kˈestan,I seek it,1,qya-composed-v1;lex=PE17/156.2801;grammar=PE22;native=quenya-classical;ipa=appendix-e
question-words.what,,,mana,mˈana,,3,qya-attested-v1;src=PE23/135.0514;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.who,,,man,man,,3,qya-attested-v1;src=LotR/0377.3502;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.when,,,yá,jaː,"when -- attested only as a relative, not as a question",3,qya-attested-v1;src=CPT/1298.0403;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.how,,,manen,mˈanen,,3,qya-attested-v1;src=PM/395.1209;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.this,,,sina,sˈina,,3,qya-attested-v1;src=PE23/135.1413;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.that,,,tana,tˈana,,3,qya-attested-v1;src=PE23/135.1412;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.here,,,sinomë,sˈinome,in this place,3,qya-attested-v1;src=LotR/0967.3505;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.there,,,tanomë,tˈanome,in the place referred to,3,qya-attested-v1;src=VT49/11.4102;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.a-little,,,pitya,pˈitja,petty / little,3,qya-attested-v1;src=PE17/115.2007;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.some,,,ma,ma,something / anything,3,qya-attested-v1;src=PE17/162.3208;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.very,,,íta,ˈiːta,very / extremely,3,qya-attested-v1;src=PE17/112.1210;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.also,,,ar,ar,and / also,3,qya-attested-v1;src=LotR/0377.3801;eldamo=q;native=quenya-classical;ipa=appendix-e
question-words.all-both,,illi,ilyë,ˈilje,illi is the pronoun,3,qya-attested-v1;src=PE17/091.1213;eldamo=q;native=quenya-classical;ipa=appendix-e
