concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
social-basics.i-do-not-know,არ ვიცი,,ar vitsi,ar vitsʰi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.good-night,ღამე მშვიდობისა,,ghame mshvidobisa,ɣame mʃvidobisa,night of peace,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
social-basics.okay-fine-i-am-okay,კარგად ვარ,,kargad var,kʼarɡad var,I am well,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.i-do-not-speak-this-language,{target} არ ვიცი,,{target} ar vitsi,{target} ar vitsʰi,I do not know {target} — the nominative frame,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Aronson, H. I., Georgian: A Reading Grammar (Slavica, 2nd ed. 1990);ipa=ka-g2p"
communication.i-speak-only-a-little-of-this,{target} ცოტა ვიცი,,{target} tsota vitsi,{target} tsʰotʼa vitsʰi,I know a little {target},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Aronson, H. I., Georgian: A Reading Grammar (Slavica, 2nd ed. 1990);ipa=ka-g2p"
communication.do-you-speak-english,{source} იცით?,,{source} itsit?,{source} itsʰitʰ,do you know {source}?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Aronson, H. I., Georgian: A Reading Grammar (Slavica, 2nd ed. 1990);ipa=ka-g2p"
communication.please-speak-more-slowly,"უფრო ნელა ილაპარაკეთ, თუ შეიძლება",,"upro nela ilaparaket, tu sheidzleba","upʰro nela ilapʼarakʼetʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.i-do-not-understand-spoken,ვერ გავიგე,,ver gavige,ver ɡaviɡe,I did not catch it,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.i-cannot-read-understand,ვერ ვკითხულობ,,ver vkitkhulob,ver vkʼitʰxulob,I cannot read,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.please-say-it-again,"გაიმეორეთ, თუ შეიძლება",,"gaimeoret, tu sheidzleba","ɡaimeoretʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.please-write-it-down,"დაწერეთ, თუ შეიძლება",,"datseret, tu sheidzleba","datsʼeretʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.please-wait-a-moment,ერთი წუთით მოიცადეთ,,erti tsutit moitsadet,ertʰi tsʼutʰitʰ moitsʰadetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.can-you-help-me,დამეხმარებით?,,damekhmarebit?,damexmarebitʰ,will you help me?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.please-show-me-the-text,{target} ტექსტი მაჩვენეთ,,{target} teksti machvenet,{target} tʼekʰstʼi matʃʰvenetʰ,show me the {target} text,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Aronson, H. I., Georgian: A Reading Grammar (Slavica, 2nd ed. 1990);ipa=ka-g2p"
communication.i-cannot-make-out-what-you-are-saying,"ვერ გავიგე, რას ამბობთ",,"ver gavige, ras ambobt","ver ɡaviɡe, ras ambobtʰ",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.i-do-not-understand,არ მესმის,,ar mesmis,ar mesmis,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.i-cannot-read-it,ამას ვერ ვკითხულობ,,amas ver vkitkhulob,amas ver vkʼitʰxulob,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
communication.please-write-it-in-roman-letters,"ლათინური ასოებით დაწერეთ, თუ შეიძლება",,"latinuri asoebit datseret, tu sheidzleba","latʰinuri asoebitʰ datsʼeretʰ, tʰu ʃeidzleba","write it in Latin letters, please",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.please-go-ahead,თუ შეიძლება,,tu sheidzleba,tʰu ʃeidzleba,if it is possible — the ordinary please,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.yes-right,დიახ / კი,,diakh / ki,diax / kʼi,"დიახ is the formal yes, კი the everyday one",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.no-not,არა,,ara,ara,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.okay-can,შეიძლება / კარგი,,sheidzleba / kargi,ʃeidzleba / kʼarɡi,it is allowed / good,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.cannot-not-allowed,არ შეიძლება,,ar sheidzleba,ar ʃeidzleba,it is not allowed,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.works-okay,მუშაობს,,mushaobs,muʃaobs,it works,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.does-not-work-no,არ მუშაობს,,ar mushaobs,ar muʃaobs,it does not work,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.can-possible,შესაძლებელია,,shesadzlebelia,ʃesadzlebelia,it is possible,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.cannot-not-possible,შეუძლებელია,,sheudzlebelia,ʃeudzlebelia,it is impossible,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.okay-fine,კარგი,კეთილი,kargi,kʼarɡi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
quick-responses.no-good-not-allowed-will-not-work,არ გამოვა,,ar gamova,ar ɡamova,it will not work out,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-translation.i-am-using-phone-translation,ტელეფონის თარგმანს ვიყენებ,,teleponis targmans viqeneb,tʼelepʰonis tʰarɡmans viqʼeneb,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-translation.please-speak-toward-the-phone,"ტელეფონში ილაპარაკეთ, თუ შეიძლება",,"teleponshi ilaparaket, tu sheidzleba","tʼelepʰonʃi ilapʼarakʼetʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-translation.please-write-the-place-name,{target} სახელი დაწერეთ,,{target} sakheli datseret,{target} saxeli datsʼeretʰ,write the {target} name — see this file's note on why the adverbial cannot be a frame,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Aronson, H. I., Georgian: A Reading Grammar (Slavica, 2nd ed. 1990);ipa=ka-g2p"
phone-translation.one-sentence-at-a-time-please,"თითო წინადადება, თუ შეიძლება",,"tito tsinadadeba, tu sheidzleba","tʰitʰo tsʼinadadeba, tʰu ʃeidzleba","one sentence at a time, please",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-translation.please-type-it-and-show-me,აკრიფეთ და მაჩვენეთ,,akripet da machvenet,akʼripʰetʰ da matʃʰvenetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-translation.please-look-at-the-screen,ეკრანს შეხედეთ,,ekrans shekhedet,ekʼrans ʃexedetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-text-power.please-type-it-for-me,"აკრიფეთ, თუ შეიძლება",,"akripet, tu sheidzleba","akʼripʰetʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-text-power.please-use-simple-words,მარტივი სიტყვები გამოიყენეთ,,martivi sitqvebi gamoiqenet,martʼivi sitʼqʼvebi ɡamoiqʼenetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-text-power.my-phone-battery-is-low,ტელეფონის ბატარეა იწურება,,teleponis batarea itsureba,tʼelepʰonis batʼarea itsʼureba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-text-power.do-you-have-a-power-bank,პაუერბანკი გაქვთ?,გადასატანი დამტენი გაქვთ?,pauerbanki gakvt?,pʼauerbankʼi ɡakʰvtʰ,"the alt is the descriptive form, portable charger",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-text-power.the-translation-may-be-inaccurate,თარგმანი შეიძლება არაზუსტი იყოს,,targmani sheidzleba arazusti iqos,tʰarɡmani ʃeidzleba arazustʼi iqʼos,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-text-power.please-confirm,"დაადასტურეთ, თუ შეიძლება",,"daadasturet, tu sheidzleba","daadastʼuretʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
phone-text-power.may-i-charge-my-phone-here,შემიძლია აქ ტელეფონი დავტენო?,,shemidzlia ak teleponi davteno?,ʃemidzlia akʰ tʼelepʰoni davtʼeno,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.i-would-like-a-tourist-sim,ტურისტული სიმ ბარათი მინდა,,turistuli sim barati minda,tʼuristʼuli sim baratʰi minda,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.may-i-use-your-wifi,შემიძლია თქვენი ვაი-ფაი გამოვიყენო?,,shemidzlia tkveni vai-pai gamoviqeno?,ʃemidzlia tʰkʰveni vaipʰai ɡamoviqʼeno,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.how-much-data-is-included,რამდენი ინტერნეტი შედის?,,ramdeni interneti shedis?,ramdeni intʼernetʼi ʃedis,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.do-you-need-my-passport,პასპორტი გჭირდებათ?,,pasporti gchirdebat?,pʼaspʼortʼi ɡtʃʼirdebatʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.how-long-is-it-valid,რამდენ ხანს მოქმედებს?,,ramden khans mokmedebs?,ramden xans mokʰmedebs,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.please-activate-it,"გააქტიურეთ, თუ შეიძლება",,"gaaktiuret, tu sheidzleba","ɡaakʰtʼiuretʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.do-you-have-an-esim,eSIM გაქვთ?,,eSIM gakvt?,isimi ɡakʰvtʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p+loan"
sim-data.my-data-is-not-working,ინტერნეტი არ მუშაობს,,interneti ar mushaobs,intʼernetʼi ar muʃaobs,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.does-it-need-registration,რეგისტრაცია სჭირდება?,,registratsia schirdeba?,reɡistʼratsʰia stʃʼirdeba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.i-have-no-signal,ქსელი არ არის,,kseli ar aris,kʰseli ar aris,there is no network,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.please-write-the-wifi-password,ვაი-ფაის პაროლი დაწერეთ,,vai-pais paroli datseret,vaipʰais pʼaroli datsʼeretʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.sim-card,სიმ ბარათი,,sim barati,sim baratʰi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.where-can-i-buy-a-plug-adapter,სად ვიყიდო გადამყვანი?,,sad viqido gadamqvani?,sad viqʼido ɡadamqʼvani,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.mobile-data,მობილური ინტერნეტი,,mobiluri interneti,mobiluri intʼernetʼi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.can-i-top-up-this-sim,შემიძლია ამ ბარათის შევსება?,,shemidzlia am baratis shevseba?,ʃemidzlia am baratʰis ʃevseba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.top-up,შევსება,,shevseba,ʃevseba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.is-there-coverage-in,ქსელი არის: {}?,,kseli aris: {}?,kʰseli aris {},"is there network: {}? — apposition, because a place name would need the locative",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Aronson, H. I., Georgian: A Reading Grammar (Slavica, 2nd ed. 1990);ipa=ka-g2p"
sim-data.signal,ქსელი,,kseli,kʰseli,"network, which is what Georgian says for signal",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.esim,eSIM,,eSIM,isimi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p+loan"
sim-data.prepaid,წინასწარ გადახდილი,,tsinastsar gadakhdili,tsʼinastsʼar ɡadaxdili,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
sim-data.roaming,როუმინგი,,roumingi,rouminɡi,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.is-this-allowed,ეს შეიძლება?,,es sheidzleba?,es ʃeidzleba,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.is-tipping-expected,ჩაის ფული უნდა დავტოვო?,,chais puli unda davtovo?,tʃʰais pʰuli unda davtʼovo,should I leave tea money? — ჩაის ფული is Georgian for a tip,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Tschenkeli, K., Georgisch-Deutsches Woerterbuch (Amirani, Zuerich, 1965-1974);ipa=ka-g2p"
etiquette.is-service-included,მომსახურება შედის?,,momsakhureba shedis?,momsaxureba ʃedis,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.may-i-enter,შემიძლია შემოვიდე?,,shemidzlia shemovide?,ʃemidzlia ʃemovide,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.remove-shoes,ფეხსაცმელი უნდა გავიხადო?,,pekhsatsmeli unda gavikhado?,pʰexsatsʰmeli unda ɡavixado,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.photo-of-you,შემიძლია გადაგიღოთ?,,shemidzlia gadagighot?,ʃemidzlia ɡadaɡiɣotʰ,may I photograph you?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.may-i-sit-here,შემიძლია აქ დავჯდე?,,shemidzlia ak davjde?,ʃemidzlia akʰ davdʒde,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.queue-for,ეს რიგია: {}?,,es rigia: {}?,es riɡia {},is this the queue: {}?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Aronson, H. I., Georgian: A Reading Grammar (Slavica, 2nd ed. 1990);ipa=ka-g2p"
etiquette.dressed-appropriately,შესაბამისად ვარ ჩაცმული?,,shesabamisad var chatsmuli?,ʃesabamisad var tʃʰatsʰmuli,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.did-not-mean-to-offend,არ მინდოდა შეურაცხყოფა,,ar mindoda sheuratskhqopa,ar mindoda ʃeuratsʰxqʼopʰa,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.what-is-customary,აქ როგორ არის მიღებული?,,ak rogor aris mighebuli?,akʰ roɡor aris miɣebuli,how is it done here?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
etiquette.keep-the-change,ხურდა დაიტოვეთ,,khurda daitovet,xurda daitʼovetʰ,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
children.cannot-find-my-child,ბავშვს ვერ ვპოულობ,,bavshvs ver vpoulob,bavʃvs ver vpʼoulob,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
children.make-an-announcement,"გამოაცხადეთ, თუ შეიძლება",,"gamoatskhadet, tu sheidzleba","ɡamoatsʰxadetʰ, tʰu ʃeidzleba",,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
children.child-age,ჩემი ბავშვი {} წლისაა,,chemi bavshvi {} tslisaa,tʃʰemi bavʃvi {} tsʼlisaa,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995);ipa=ka-g2p"
