concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
shopping.i-am-just-looking,Ես ուղղակի նայում եմ։,,Yes ughghaki nayum yem.,jes ˌuʁʁakˈi najˈum jˈem,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.how-much-is-this,Սա ի՞նչ արժե։,,Sa inch’ arzhe?,sˈa ˈintʃʰ arʒˈe,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.that-is-too-expensive,Դա շատ թանկ է։,,Da shat t’ank e.,da ʃˈat tʰˈank ˈe,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.can-it-be-a-little-cheaper,Մի քիչ էժան չի՞ լինի։,,Mi k’ich’ ezhan ch’i lini?,mi kʰˈitʃʰ eʒˈan tʃʰˈi linˈi,won't it be a little cheaper?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.is-there-a-discount,Զեղչ կա՞։,,Zeghch’ ka?,zˈeʁtʃʰ kˈa,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.where-do-i-pay,Որտե՞ղ վճարեմ։,,Vortegh vcharem?,vortˈeʁ vətʃaɾˈem,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.i-will-take-this,Սա կվերցնեմ։,,Sa kverts’nem.,sˈa kəvertsʰnˈem,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.what-is-this,Սա ի՞նչ է։,,Sa inch’ e?,sˈa ˈintʃʰ ˈe,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.where-can-i-buy,Որտե՞ղ կարող եմ գնել {}։,,Vortegh karogh yem gnel {}?,vortˈeʁ kaɾˌoʁ jˈem ɡənˈel {},,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.do-you-have-this-in-stock,Սա պահեստում ունե՞ք։,,Sa pahestum unek’?,sˈa pˌahestˈum unˈekʰ,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.two-of-these,"Սրանից երկուսը, խնդրում եմ։",,"Sranits’ yerkusy, khndrum yem.","səɾanˈitsʰ jerkˈusə, xndɾˈum jˈem","two of this, please",2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
shopping.what-is-it-made-of,Ինչի՞ց է պատրաստված։,,Inch’its’ e patrastvats?,intʃʰˈitsʰ e pˌatɾastvˈats,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
color-size-returns.do-you-have-another-color,Այլ գույն ունե՞ք։,,Ayl guyn unek’?,ˈajl ɡˈujn unˈekʰ,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
color-size-returns.do-you-have-another-size,Այլ չափս ունե՞ք։,,Ayl ch’ap’s unek’?,ˈajl tʃʰˈapʰs unˈekʰ,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
color-size-returns.may-i-try-it-on,Կարելի՞ է փորձել։,,Kareli e p’ordzel?,kˌaɾelˈi e pʰordzˈel,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
color-size-returns.can-i-return-it,Կարո՞ղ եմ վերադարձնել։,,Karogh yem veradardznel?,kaɾˌoʁ jˈem vˌeɾadardznˈel,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
color-size-returns.can-i-exchange-it,Կարո՞ղ եմ փոխանակել։,,Karogh yem p’okhanakel?,kaɾˌoʁ jˈem pʰˌoxanakˈel,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
color-size-returns.do-you-have-a-bag,Տոպրակ ունե՞ք։,,Toprak unek’?,topɾˈak unˈekʰ,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
tax-refund.can-i-get-a-tax-refund,Կարո՞ղ եմ հարկը վերադարձնել։,,Karogh yem harky veradardznel?,kaɾˌoʁ jˈem hˈarkə vˌeɾadardznˈel,may I have the tax back?,2,"State Revenue Committee of the Republic of Armenia (src.am) traveller and customs guidance; Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
tax-refund.is-tax-free-shopping-available,Առանց հարկի առևտուր կա՞։,,Arrants’ harki arrevtur ka?,arˈantsʰ harkˈi ˌarevtˈur kˈa,is there trade without tax?,2,"State Revenue Committee of the Republic of Armenia (src.am) traveller and customs guidance; Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
