concept_id,text,text_alt,romanization_rr,ipa,literal,confidence,provenance
police-consulate.my-passport-was-stolen,여권을 도난당했습니다,,yeogwoneul donandanghaetseumnida,jʌɡwʌnɯl tonandaŋhɛtsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.someone-is-following-me,누가 저를 따라와요,,nuga jeoreul ttarawayo,nuɡa tɕʌɾɯl t͈aɾawajo,,2,ko-agent-v1;ipa=rr
police-consulate.i-need-a-written-police-report,사건사고사실확인원이 필요합니다,,sageonsagosasilhwaginwoni piryohamnida,saɡʌnsaɡosasilhwaɡinwʌni pʰiɾjohamnida,police incident certificate,2,ko-agent-v1;ipa=rr
police-consulate.i-want-to-contact-my-embassy,대사관에 연락하고 싶습니다,,daesagwane yeollakago sipseumnida,tɛsaɡwane jʌllakʰaɡo sipsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.i-need-it-for-my-insurance,보험 때문에 필요합니다,,boheom ttaemune piryohamnida,pohʌm t͈ɛmune pʰiɾjohamnida,,2,ko-agent-v1;ipa=rr
police-consulate.i-need-an-interpreter,통역사가 필요합니다,,tongyeoksaga piryohamnida,tʰoŋjʌksaɡa pʰiɾjohamnida,,2,ko-agent-v1;ipa=rr
police-consulate.please-leave-me-alone,저를 내버려 두세요,,jeoreul naebeoryeo duseyo,tɕʌɾɯl nɛbʌɾjʌ tusejo,,2,ko-agent-v1;ipa=rr
police-consulate.i-was-robbed,강도를 당했습니다,,gangdoreul danghaetseumnida,kaŋdoɾɯl taŋhɛtsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.i-want-a-lawyer,변호사가 필요합니다,,byeonhosaga piryohamnida,pjʌnhosaɡa pʰiɾjohamnida,,2,ko-agent-v1;ipa=rr
police-consulate.please-notify-my-consulate,영사관에 알려 주세요,,yeongsagwane allyeo juseyo,jʌŋsaɡwane alljʌ tɕusejo,,2,ko-agent-v1;ipa=rr
police-consulate.i-am-calling-the-police,경찰을 부르겠습니다,,gyeongchareul bureugetseumnida,kjʌŋtɕʰaɾɯl puɾɯɡetsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.am-i-under-arrest,제가 체포된 겁니까?,,jega chepodoen geomnikka?,tɕeɡa tɕʰepʰodwen kʌmnik͈a,,2,ko-agent-v1;ipa=rr
police-consulate.no-thank-you-i-am-not-interested,"괜찮아요, 관심 없어요",,"gwaenchanayo, gwansim eopseoyo","kwɛntɕʰanajo, kwansim ʌpsʌjo",,2,ko-agent-v1;ipa=rr
police-consulate.someone-attacked-me,폭행을 당했습니다,,pokhaengeul danghaetseumnida,pʰokhɛŋɯl taŋhɛtsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.i-did-not-agree-to-this-price,이 가격에 동의 안 했습니다,,i gagyeoge dongui an haetseumnida,i kaɡjʌɡe toŋɰi an hɛtsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.please-write-the-report-number,접수번호를 적어 주세요,,jeopsubeonhoreul jeogeo juseyo,tɕʌpsubʌnhoɾɯl tɕʌɡʌ tɕusejo,,2,ko-agent-v1;ipa=rr
police-consulate.it-happened-here,여기서 일어났습니다,,yeogiseo ireonatseumnida,jʌɡisʌ iɾʌnatsɯmnida,,2,ko-agent-v1;ipa=rr
police-consulate.may-i-have-a-copy-of-the-report,신고서 사본을 주세요,,singoseo saboneul juseyo,sinɡosʌ sabonɯl tɕusejo,,2,ko-agent-v1;ipa=rr
police-consulate.i-will-not-sign-anything-i-cannot-read,읽지 못하면 서명 안 합니다,,ikji motamyeon seomyeong an hamnida,iktɕi motʰamjʌn sʌmjʌŋ an hamnida,,2,ko-agent-v1;ipa=rr
police-consulate.am-i-free-to-go,가도 됩니까?,,gado doemnikka?,kado twemnik͈a,,2,ko-agent-v1;ipa=rr
police-consulate.i-do-not-want-to-go-with-you,같이 가지 않겠습니다,,gachi gaji anketseumnida,katɕʰi kadʑi ankʰetsɯmnida,,2,ko-agent-v1;ipa=rr
body-parts.head,머리,,meori,mʌɾi,,2,ko-agent-v1;ipa=rr
body-parts.stomach,배,,bae,pɛ,,2,ko-agent-v1;ipa=rr
body-parts.back,등,,deung,tɯŋ,,2,ko-agent-v1;ipa=rr
body-parts.throat,목,,mok,mok,,2,ko-agent-v1;ipa=rr
body-parts.tooth,이,치아,i,i,,2,ko-agent-v1;ipa=rr
body-parts.chest,가슴,,gaseum,kasɯm,,2,ko-agent-v1;ipa=rr
body-parts.eye,눈,,nun,nun,,2,ko-agent-v1;ipa=rr
body-parts.ear,귀,,gwi,kwi,,2,ko-agent-v1;ipa=rr
body-parts.leg,다리,,dari,taɾi,,2,ko-agent-v1;ipa=rr
body-parts.arm,팔,,pal,pʰal,,2,ko-agent-v1;ipa=rr
body-parts.foot,발,,bal,pal,,2,ko-agent-v1;ipa=rr
body-parts.hand,손,,son,son,,2,ko-agent-v1;ipa=rr
body-parts.knee,무릎,,mureup,muɾɯp,,2,ko-agent-v1;ipa=rr
body-parts.ankle,발목,,balmok,palmok,,2,ko-agent-v1;ipa=rr
body-parts.skin,피부,,pibu,pʰibu,,2,ko-agent-v1;ipa=rr
emergency-medical.help,도와주세요!,,dowajuseyo!,towadʑusejo,,2,ko-agent-v1;ipa=rr
emergency-medical.please-call-an-ambulance,구급차를 불러 주세요,119를 불러 주세요,gugeupchareul bulleo juseyo,kuɡɯptɕʰaɾɯl pullʌ tɕusejo,,2,ko-agent-v1;ipa=rr
emergency-medical.i-need-a-doctor,의사가 필요합니다,,uisaga piryohamnida,ɰisaɡa pʰiɾjohamnida,,2,ko-agent-v1;ipa=rr
emergency-medical.i-am-sick,몸이 아픕니다,,momi apeumnida,momi apʰɯmnida,,2,ko-agent-v1;ipa=rr
emergency-medical.i-am-injured,다쳤습니다,,dachyeotseumnida,tatɕʰjʌtsɯmnida,,2,ko-agent-v1;ipa=rr
emergency-medical.it-hurts-here,여기가 아픕니다,,yeogiga apeumnida,jʌɡiɡa apʰɯmnida,,2,ko-agent-v1;ipa=rr
emergency-medical.where-is-a-pharmacy,약국이 어디예요?,,yakgugi eodiyeyo?,jakkuɡi ʌdijejo,,2,ko-agent-v1;ipa=rr
emergency-medical.please-take-me-to-a-hospital,병원에 데려가 주세요,,byeongwone deryeoga juseyo,pjʌŋwʌne teɾjʌɡa tɕusejo,,2,ko-agent-v1;ipa=rr
emergency-medical.i-feel-unwell,몸이 안 좋습니다,,momi an joseumnida,momi an tɕosɯmnida,,2,ko-agent-v1;ipa=rr
emergency-medical.this-is-an-emergency,응급 상황입니다,,eunggeup sanghwangimnida,ɯŋɡɯp saŋhwaŋimnida,,2,ko-agent-v1;ipa=rr
emergency-medical.i-am-having-a-severe-allergic-reaction,아나필락시스입니다,심한 알레르기 반응입니다,anapillaksiseuimnida,anapʰillaksisɯimnida,anaphylaxis,2,ko-agent-v1;ipa=rr
emergency-medical.i-cannot-breathe,숨을 못 쉽니다,,sumeul mot swimnida,sumɯl mot swimnida,,2,ko-agent-v1;ipa=rr
emergency-medical.i-am-bleeding-badly,피가 많이 납니다,,piga mani namnida,pʰiɡa mani namnida,,2,ko-agent-v1;ipa=rr
emergency-medical.i-have-chest-pain,가슴이 아픕니다,,gaseumi apeumnida,kasɯmi apʰɯmnida,,2,ko-agent-v1;ipa=rr
emergency-medical.this-person-is-unconscious,이 사람 의식이 없습니다,,i saram uisigi eopseumnida,i saɾam ɰisiɡi ʌpsɯmnida,,2,ko-agent-v1;ipa=rr
emergency-medical.where-is-the-nearest-hospital,가까운 병원이 어디예요?,,gakkaun byeongwoni eodiyeyo?,kak͈aun pjʌŋwʌni ʌdijejo,,2,ko-agent-v1;ipa=rr
emergency-medical.what-is-the-emergency-number,응급 전화번호가 뭐예요?,,eunggeup jeonhwabeonhoga mwoyeyo?,ɯŋɡɯp tɕʌnhwabʌnhoɡa mwʌjejo,,2,ko-agent-v1;ipa=rr
emergency-medical.is-there-a-doctor-who-speaks-english,{source} 하는 의사 있어요?,,{source} haneun uisa isseoyo?,{source} hanɯn ɰisa is͈ʌjo,,2,language-slots-v1;ipa=rr
emergency-medical.i-think-a-bone-is-broken,뼈가 부러진 것 같습니다,,ppyeoga bureojin geot gatseumnida,p͈jʌɡa puɾʌdʑin kʌt katsɯmnida,,2,ko-agent-v1;ipa=rr
emergency-medical.please-call-my-emergency-contact,비상 연락처에 연락해 주세요,,bisang yeollakcheoe yeollakae juseyo,pisaŋ jʌllaktɕʰʌe jʌllakʰɛ tɕusejo,,2,ko-agent-v1;ipa=rr
emergency-medical.i-have-travel-insurance,여행자 보험이 있습니다,,yeohaengja boheomi itseumnida,jʌhɛŋdʑa pohʌmi itsɯmnida,,2,ko-agent-v1;ipa=rr
lost-rescue.i-lost-my-passport,여권을 잃어버렸어요,,yeogwoneul ireobeoryeosseoyo,jʌɡwʌnɯl iɾʌbʌɾjʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-lost-my-phone,휴대폰을 잃어버렸어요,,hyudaeponeul ireobeoryeosseoyo,hjudɛpʰonɯl iɾʌbʌɾjʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.please-call-the-police,경찰을 불러 주세요,112에 신고해 주세요,gyeongchareul bulleo juseyo,kjʌŋtɕʰaɾɯl pullʌ tɕusejo,,2,ko-agent-v1;ipa=rr
lost-rescue.we-are-here,저희는 여기 있어요,,jeohuineun yeogi isseoyo,tɕʌhɰinɯn jʌɡi is͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.please-look-at-my-location-pin,제 위치 핀을 봐 주세요,,je wichi pineul bwa juseyo,tɕe witɕʰi pʰinɯl pwa tɕusejo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-cannot-walk,걸을 수 없어요,,georeul su eopseoyo,kʌɾɯl su ʌpsʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-sprained-my-ankle,발목을 삐었어요,,balmogeul ppieosseoyo,palmoɡɯl p͈iʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.please-contact-rescue,구조대에 연락해 주세요,,gujodaee yeollakae juseyo,kudʑodɛe jʌllakʰɛ tɕusejo,,2,ko-agent-v1;ipa=rr
lost-rescue.my-companion-is-missing,동행이 없어졌어요,,donghaengi eopseojyeosseoyo,toŋhɛŋi ʌpsʌdʑjʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.please-look-at-my-current-location,제 현재 위치를 봐 주세요,,je hyeonjae wichireul bwa juseyo,tɕe hjʌndʑɛ witɕʰiɾɯl pwa tɕusejo,,2,ko-agent-v1;ipa=rr
lost-rescue.my-child-is-missing,아이가 없어졌어요,,aiga eopseojyeosseoyo,aiɡa ʌpsʌdʑjʌs͈ʌjo,child has disappeared,2,ko-agent-v1;ipa=rr
lost-rescue.i-do-not-know-where-i-am,여기가 어딘지 모르겠어요,,yeogiga eodinji moreugesseoyo,jʌɡiɡa ʌdindʑi moɾɯɡes͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.my-friend-is-hurt,친구가 다쳤어요,,chinguga dachyeosseoyo,tɕʰinɡuɡa tatɕʰjʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-lost-my-wallet,지갑을 잃어버렸어요,,jigabeul ireobeoryeosseoyo,tɕiɡabɯl iɾʌbʌɾjʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-lost-my-bag,가방을 잃어버렸어요,,gabangeul ireobeoryeosseoyo,kabaŋɯl iɾʌbʌɾjʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.where-is-lost-and-found,유실물센터가 어디예요?,,yusilmulsenteoga eodiyeyo?,jusilmulsentʰʌɡa ʌdijejo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-cannot-find-my-hotel,호텔을 못 찾겠어요,,hotereul mot chatgesseoyo,hotʰeɾɯl mot tɕʰatkes͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-left-it-on-the-train,기차에 두고 내렸어요,,gichae dugo naeryeosseoyo,kitɕʰae tuɡo nɛɾjʌs͈ʌjo,,2,ko-agent-v1;ipa=rr
lost-rescue.i-cannot-get-down,내려갈 수 없어요,,naeryeogal su eopseoyo,nɛɾjʌɡal su ʌpsʌjo,,2,ko-agent-v1;ipa=rr
pharmacy-symptoms.i-think-i-have-dengue,뎅기열인 것 같아요,,denggiyeorin geot gatayo,teŋɡijʌɾin kʌt katʰajo,,2,dengue-agent-v1;in-pack-frame;ipa=rr
