concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
shopping.where-can-i-buy,Πού μπορώ να αγοράσω: {};,,Pou boro na agoraso: {};,pˈu boɾˈo n ˌaɣoɾˈaso {},Where can I buy: {}?,2,el-agent-v1;roman=elot743;ipa=espeak
shopping.do-you-have-this-in-stock,Το έχετε διαθέσιμο;,,To echete diathesimo;,to ˈeçetˌe ðˌiaθˈesimˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
shopping.two-of-these,"Δύο από αυτά, παρακαλώ",,"Dyo apo afta, parakalo","ðˈio apˈo aftˈa, pˌaɾakalˈo",,2,el-agent-v1;roman=elot743;ipa=espeak
shopping.what-is-it-made-of,Από τι είναι φτιαγμένο;,,Apo ti einai ftiagmeno;,apˈo tˈi ˈine ftˌiaɣmˈeno,,2,el-agent-v1;roman=elot743;ipa=espeak
color-size-returns.do-you-have-another-color,Έχετε άλλο χρώμα;,,Echete allo chroma;,ˈeçetˌe ˈalo xɾˈoma,,2,el-agent-v1;roman=elot743;ipa=espeak
color-size-returns.do-you-have-another-size,Έχετε άλλο μέγεθος;,,Echete allo megethos;,ˈeçetˌe ˈalo mˈejeθˌos,,2,el-agent-v1;roman=elot743;ipa=espeak
color-size-returns.may-i-try-it-on,Μπορώ να το δοκιμάσω;,,Boro na to dokimaso;,boɾˈo na to ðˌocimˈaso,,2,el-agent-v1;roman=elot743;ipa=espeak
color-size-returns.can-i-return-it,Μπορώ να το επιστρέψω;,,Boro na to epistrepso;,boɾˈo na to ˌepistɾˈepso,,2,el-agent-v1;roman=elot743;ipa=espeak
color-size-returns.can-i-exchange-it,Μπορώ να το αλλάξω;,,Boro na to allaxo;,boɾˈo na to alˈakso,,2,el-agent-v1;roman=elot743;ipa=espeak
color-size-returns.do-you-have-a-bag,Έχετε μια σακούλα;,,Echete mia sakoula;,ˈeçetˌe mɲa sakˈula,,2,el-agent-v1;roman=elot743;ipa=espeak
tax-refund.can-i-get-a-tax-refund,Μπορώ να πάρω επιστροφή ΦΠΑ;,,Boro na paro epistrofi FPA;,boɾˈo na pˈaɾo ˌepistɾofˈi fˌipˌiˈalfa,refund of VAT,2,el-agent-v1;roman=elot743;ipa=espeak
tax-refund.is-tax-free-shopping-available,Κάνετε αφορολόγητες αγορές;,,Kanete aforologites agores;,kˈanetˌe ˌafoɾolˈojitˌes ˌaɣoɾˈes,,2,el-agent-v1;roman=elot743;ipa=espeak
