concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
trail-transport.how-long-is-the-wait,Πόση ώρα θα περιμένουμε;,Πόση ώρα είναι η αναμονή;,Posi ora tha perimenoume;,pˈosi ˈoɾa θa pˌeɾimˈenumˌe,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.open,Ανοιχτό,Ανοικτό,Anoichto,ˌanixtˈo,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.closed,Κλειστό,,Kleisto,klistˈo,closed; fire ban sign: Απαγόρευση κυκλοφορίας,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.maintenance,Συντήρηση,Έργα συντήρησης,Syntirisi,sidˈiɾisˌi,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.steep-slope,Απότομη κλίση,Επικίνδυνη κατηφόρα,Apotomi klisi,apˈotomˌi klˈisi,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.caution-slippery,"Προσοχή, ολισθηρό","Προσοχή, γλιστράει","Prosochi, olisthiro","pɾˌosoçˈi, ˌolisθiɾˈo",,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.danger,Κίνδυνος,Προσοχή,Kindynos,cˈinðinˌos,danger; fire danger = Κίνδυνος πυρκαγιάς,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.beware-falling-rocks,"Προσοχή, πτώση βράχων",Καταπτώσεις,"Prosochi, ptosi vrachon","pɾˌosoçˈi, ptˈosi vɾˈaxon",falling rocks; landslide = κατολίσθηση,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.first-aid-station,Πρώτες βοήθειες,Σταθμός πρώτων βοηθειών,Protes voitheies,pɾˈotez voˈiθçes,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-warnings.service-suspended,Διακοπή λειτουργίας,Δεν λειτουργεί,Diakopi leitourgias,ðˌiakopˈi lˌituɾjˈias,"service suspended, not running",2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.trail-marker,σήμανση μονοπατιού,σηματοδότηση,simansi monopatiou,sˈimansˌi mˌonopˌatiˈu,waymarking,2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.fork-junction,διακλάδωση / διασταύρωση,,diakladosi / diastavrosi,ðˌiaklˈaðosˌi / ðˌiastˈavɾosˌi,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.boardwalk-cliff-path,ξύλινος διάδρομος / μονοπάτι σε γκρεμό,,xylinos diadromos / monopati se gkremo,ksˈilinˌoz ðiˈaðɾomˌos / mˌonopˈati se ɡɾemˈo,boardwalk / path along a cliff (γκρεμός),2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.start,αρχή,αφετηρία,archi,aɾçˈi,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.end,τέλος,,telos,tˈelos,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.elevation,υψόμετρο,,ypsometro,ipsˈometɾˌo,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.sunset,ηλιοβασίλεμα,δύση ηλίου,iliovasilema,ˌiʎovasˈilemˌa,,2,el-agent-v1;roman=elot743;ipa=espeak
trail-landmarks.water-point,βρύση / πηγή,σημείο υδροδότησης,vrysi / pigi,vɾˈisi / pijˈi,tap / spring,2,el-agent-v1;roman=elot743;ipa=espeak
