pass,concept_a,concept_b,relation
2,atm-cash.coin,toilets.do-i-need-a-coin,partial
3,atm-cash.coin,toilets.do-i-need-a-coin,partial
1,atm-cash.do-you-have-change,toilets.baby-change,none
2,atm-cash.do-you-have-change,toilets.baby-change,none
3,atm-cash.do-you-have-change,toilets.baby-change,none
1,atm-cash.exchange-rate,pronouns-verbs.look-for,none
2,atm-cash.exchange-rate,pronouns-verbs.look-for,none
3,atm-cash.exchange-rate,pronouns-verbs.look-for,none
1,atm-cash.is-there-a-fee,introductions.i-am-traveling-alone,none
2,atm-cash.is-there-a-fee,introductions.i-am-traveling-alone,none
3,atm-cash.is-there-a-fee,introductions.i-am-traveling-alone,none
1,atm-cash.is-there-a-fee,numbers-money.won-symbol,none
2,atm-cash.is-there-a-fee,numbers-money.won-symbol,none
3,atm-cash.is-there-a-fee,numbers-money.won-symbol,none
1,atm-cash.may-i-pay-in,place-words.scenic-area,none
2,atm-cash.may-i-pay-in,place-words.scenic-area,none
3,atm-cash.may-i-pay-in,place-words.scenic-area,none
1,atm-cash.the-card-was-declined,trail-warnings.maintenance,none
2,atm-cash.the-card-was-declined,trail-warnings.maintenance,none
3,atm-cash.the-card-was-declined,trail-warnings.maintenance,none
1,atm-cash.where-can-i-change-money,body-parts.throat,none
2,atm-cash.where-can-i-change-money,body-parts.throat,none
3,atm-cash.where-can-i-change-money,body-parts.throat,none
1,atm-cash.where-is-an-atm,emergency-medical.where-is-a-pharmacy,none
2,atm-cash.where-is-an-atm,emergency-medical.where-is-a-pharmacy,none
3,atm-cash.where-is-an-atm,emergency-medical.where-is-a-pharmacy,none
1,atm-cash.where-is-an-atm,toilets.where-toilet,none
2,atm-cash.where-is-an-atm,toilets.where-toilet,none
3,atm-cash.where-is-an-atm,toilets.where-toilet,none
1,attractions-tickets.do-i-need-a-reservation,emergency-medical.i-need-a-doctor,none
2,attractions-tickets.do-i-need-a-reservation,emergency-medical.i-need-a-doctor,none
3,attractions-tickets.do-i-need-a-reservation,emergency-medical.i-need-a-doctor,none
1,attractions-tickets.please-take-a-photo-of-us,emergency-medical.please-take-me-to-a-hospital,none
2,attractions-tickets.please-take-a-photo-of-us,emergency-medical.please-take-me-to-a-hospital,none
3,attractions-tickets.please-take-a-photo-of-us,emergency-medical.please-take-me-to-a-hospital,none
1,body-parts.chest,emergency-medical.i-have-chest-pain,partial
2,body-parts.chest,emergency-medical.i-have-chest-pain,partial
3,body-parts.chest,emergency-medical.i-have-chest-pain,partial
1,body-parts.ear,directions.how-far-is-it,none
2,body-parts.ear,directions.how-far-is-it,none
3,body-parts.ear,directions.how-far-is-it,none
1,body-parts.eye,weather.fog,none
2,body-parts.eye,weather.fog,none
3,body-parts.eye,weather.fog,none
1,body-parts.head,color-size-returns.do-you-have-a-bag,none
2,body-parts.head,color-size-returns.do-you-have-a-bag,none
3,body-parts.head,color-size-returns.do-you-have-a-bag,none
1,border-customs.boarding-pass,shopping.what-is-this,none
2,border-customs.boarding-pass,shopping.what-is-this,none
3,border-customs.boarding-pass,shopping.what-is-this,none
1,border-customs.here-is-my-passport,emergency-medical.it-hurts-here,none
2,border-customs.here-is-my-passport,emergency-medical.it-hurts-here,none
3,border-customs.here-is-my-passport,emergency-medical.it-hurts-here,none
1,border-customs.i-am-a-tourist,emergency-medical.i-am-injured,none
2,border-customs.i-am-a-tourist,emergency-medical.i-am-injured,none
3,border-customs.i-am-a-tourist,emergency-medical.i-am-injured,none
1,border-customs.i-am-a-tourist,emergency-medical.i-am-sick,none
2,border-customs.i-am-a-tourist,emergency-medical.i-am-sick,none
3,border-customs.i-am-a-tourist,emergency-medical.i-am-sick,none
1,border-customs.i-am-in-transit,emergency-medical.i-am-injured,none
2,border-customs.i-am-in-transit,emergency-medical.i-am-injured,none
3,border-customs.i-am-in-transit,emergency-medical.i-am-injured,none
1,border-customs.i-am-in-transit,emergency-medical.i-am-sick,none
2,border-customs.i-am-in-transit,emergency-medical.i-am-sick,none
3,border-customs.i-am-in-transit,emergency-medical.i-am-sick,none
1,border-customs.i-am-staying-at,emergency-medical.i-am-injured,none
2,border-customs.i-am-staying-at,emergency-medical.i-am-injured,none
3,border-customs.i-am-staying-at,emergency-medical.i-am-injured,none
1,border-customs.i-am-staying-at,emergency-medical.i-am-sick,none
2,border-customs.i-am-staying-at,emergency-medical.i-am-sick,none
3,border-customs.i-am-staying-at,emergency-medical.i-am-sick,none
1,border-customs.this-is-for-personal-use,toilets.may-i-use-the-toilet,none
2,border-customs.this-is-for-personal-use,toilets.may-i-use-the-toilet,none
3,border-customs.this-is-for-personal-use,toilets.may-i-use-the-toilet,none
1,border-customs.where-do-i-collect-my-baggage,trail-landmarks.trail-marker,none
2,border-customs.where-do-i-collect-my-baggage,trail-landmarks.trail-marker,none
3,border-customs.where-do-i-collect-my-baggage,trail-landmarks.trail-marker,none
1,building-help.i-am-lost,emergency-medical.i-am-injured,none
2,building-help.i-am-lost,emergency-medical.i-am-injured,none
3,building-help.i-am-lost,emergency-medical.i-am-injured,none
1,building-help.i-am-lost,emergency-medical.i-am-sick,none
2,building-help.i-am-lost,emergency-medical.i-am-sick,none
3,building-help.i-am-lost,emergency-medical.i-am-sick,none
1,building-help.what-room-number-is-this,emergency-medical.what-is-the-emergency-number,none
2,building-help.what-room-number-is-this,emergency-medical.what-is-the-emergency-number,none
3,building-help.what-room-number-is-this,emergency-medical.what-is-the-emergency-number,none
1,building-help.where-is-reception,emergency-medical.where-is-a-pharmacy,none
2,building-help.where-is-reception,emergency-medical.where-is-a-pharmacy,none
3,building-help.where-is-reception,emergency-medical.where-is-a-pharmacy,none
1,building-help.where-is-reception,toilets.where-toilet,none
2,building-help.where-is-reception,toilets.where-toilet,none
3,building-help.where-is-reception,toilets.where-toilet,none
1,building-words.key,toilets.may-i-have-the-toilet-key,none
2,building-words.key,toilets.may-i-have-the-toilet-key,partial
3,building-words.key,toilets.may-i-have-the-toilet-key,partial
1,building-words.women,pharmacy-symptoms.i-think-it-is-infected,none
2,building-words.women,pharmacy-symptoms.i-think-it-is-infected,none
3,building-words.women,pharmacy-symptoms.i-think-it-is-infected,none
1,children.baby-changing-room,dietary-needs.i-am-vegetarian,none
2,children.baby-changing-room,dietary-needs.i-am-vegetarian,none
3,children.baby-changing-room,dietary-needs.i-am-vegetarian,none
1,children.baby-changing-room,toilets.baby-change,partial
2,children.baby-changing-room,toilets.baby-change,partial
3,children.baby-changing-room,toilets.baby-change,partial
1,children.cannot-find-my-child,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,children.cannot-find-my-child,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,children.cannot-find-my-child,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,children.child-age,medical-conditions.this-card-lists-my-conditions,none
2,children.child-age,medical-conditions.this-card-lists-my-conditions,none
3,children.child-age,medical-conditions.this-card-lists-my-conditions,none
1,children.childrens-menu,taxi.please-take-me-here,none
2,children.childrens-menu,taxi.please-take-me-here,none
3,children.childrens-menu,taxi.please-take-me-here,none
1,children.high-chair,medical-conditions.i-carry-an-adrenaline-injector,none
2,children.high-chair,medical-conditions.i-carry-an-adrenaline-injector,none
3,children.high-chair,medical-conditions.i-carry-an-adrenaline-injector,none
1,children.playground,lost-rescue.i-cannot-walk,none
2,children.playground,lost-rescue.i-cannot-walk,none
3,children.playground,lost-rescue.i-cannot-walk,none
1,children.stroller,pronouns-verbs.want,none
2,children.stroller,pronouns-verbs.want,none
3,children.stroller,pronouns-verbs.want,none
1,color-size-returns.can-i-exchange-it,days-of-week.wednesday,none
2,color-size-returns.can-i-exchange-it,days-of-week.wednesday,none
3,color-size-returns.can-i-exchange-it,days-of-week.wednesday,none
1,common-signs.caution,numbers-money.won,none
2,common-signs.caution,numbers-money.won,none
3,common-signs.caution,numbers-money.won,none
1,common-signs.caution,payment-receipt.the-bill-is-wrong,none
2,common-signs.caution,payment-receipt.the-bill-is-wrong,none
3,common-signs.caution,payment-receipt.the-bill-is-wrong,none
1,common-signs.closed-off,quick-responses.no-good-not-allowed-will-not-work,none
2,common-signs.closed-off,quick-responses.no-good-not-allowed-will-not-work,none
3,common-signs.closed-off,quick-responses.no-good-not-allowed-will-not-work,none
1,common-signs.no-entry,medical-conditions.please-give-me-sugar-or-juice,none
2,common-signs.no-entry,medical-conditions.please-give-me-sugar-or-juice,none
3,common-signs.no-entry,medical-conditions.please-give-me-sugar-or-juice,none
1,common-signs.pork-code,quick-directions.that-way,none
2,common-signs.pork-code,quick-directions.that-way,none
3,common-signs.pork-code,quick-directions.that-way,none
1,common-signs.stopped-stop,laundry.where-is-a-laundromat,none
2,common-signs.stopped-stop,laundry.where-is-a-laundromat,none
3,common-signs.stopped-stop,laundry.where-is-a-laundromat,none
1,communication.can-you-help-me,emergency-medical.help,partial
2,communication.can-you-help-me,emergency-medical.help,partial
3,communication.can-you-help-me,emergency-medical.help,partial
1,communication.can-you-help-me,hotel-requests.another-night,none
2,communication.can-you-help-me,hotel-requests.another-night,none
3,communication.can-you-help-me,hotel-requests.another-night,none
1,communication.do-you-speak-english,emergency-medical.is-there-a-doctor-who-speaks-english,partial
2,communication.do-you-speak-english,emergency-medical.is-there-a-doctor-who-speaks-english,partial
3,communication.do-you-speak-english,emergency-medical.is-there-a-doctor-who-speaks-english,partial
1,communication.i-cannot-read-it,emergency-medical.i-cannot-breathe,none
2,communication.i-cannot-read-it,emergency-medical.i-cannot-breathe,none
3,communication.i-cannot-read-it,emergency-medical.i-cannot-breathe,none
1,communication.i-cannot-read-it,sim-data.can-i-top-up-this-sim,none
2,communication.i-cannot-read-it,sim-data.can-i-top-up-this-sim,none
3,communication.i-cannot-read-it,sim-data.can-i-top-up-this-sim,none
1,communication.i-do-not-speak-this-language,quick-responses.cannot-not-possible,none
2,communication.i-do-not-speak-this-language,quick-responses.cannot-not-possible,none
3,communication.i-do-not-speak-this-language,quick-responses.cannot-not-possible,none
1,communication.i-speak-only-a-little-of-this,toilets.is-it-only-for-customers,none
2,communication.i-speak-only-a-little-of-this,toilets.is-it-only-for-customers,none
3,communication.i-speak-only-a-little-of-this,toilets.is-it-only-for-customers,none
1,communication.please-speak-more-slowly,dietary-needs.i-do-not-eat,none
2,communication.please-speak-more-slowly,dietary-needs.i-do-not-eat,none
3,communication.please-speak-more-slowly,dietary-needs.i-do-not-eat,none
1,days-of-week.monday,lost-rescue.i-lost-my-phone,none
2,days-of-week.monday,lost-rescue.i-lost-my-phone,none
3,days-of-week.monday,lost-rescue.i-lost-my-phone,none
1,days-of-week.monday,medical-conditions.this-card-lists-my-conditions,none
2,days-of-week.monday,medical-conditions.this-card-lists-my-conditions,none
3,days-of-week.monday,medical-conditions.this-card-lists-my-conditions,none
1,days-of-week.saturday,place-words.tourist-spot-sightseeing-area,none
2,days-of-week.saturday,place-words.tourist-spot-sightseeing-area,none
3,days-of-week.saturday,place-words.tourist-spot-sightseeing-area,none
1,dietary-needs.does-it-contain-pork-stock,lost-rescue.please-contact-rescue,none
2,dietary-needs.does-it-contain-pork-stock,lost-rescue.please-contact-rescue,none
3,dietary-needs.does-it-contain-pork-stock,lost-rescue.please-contact-rescue,none
1,dietary-needs.i-am-allergic-to,emergency-medical.i-am-having-a-severe-allergic-reaction,partial
2,dietary-needs.i-am-allergic-to,emergency-medical.i-am-having-a-severe-allergic-reaction,none
3,dietary-needs.i-am-allergic-to,emergency-medical.i-am-having-a-severe-allergic-reaction,none
1,dietary-needs.i-am-allergic-to,emergency-medical.i-am-injured,none
2,dietary-needs.i-am-allergic-to,emergency-medical.i-am-injured,none
3,dietary-needs.i-am-allergic-to,emergency-medical.i-am-injured,none
1,dietary-needs.i-am-allergic-to,emergency-medical.i-am-sick,none
2,dietary-needs.i-am-allergic-to,emergency-medical.i-am-sick,none
3,dietary-needs.i-am-allergic-to,emergency-medical.i-am-sick,none
1,dietary-needs.i-am-vegan,emergency-medical.i-am-injured,none
2,dietary-needs.i-am-vegan,emergency-medical.i-am-injured,none
3,dietary-needs.i-am-vegan,emergency-medical.i-am-injured,none
1,dietary-needs.i-am-vegan,emergency-medical.i-am-sick,none
2,dietary-needs.i-am-vegan,emergency-medical.i-am-sick,none
3,dietary-needs.i-am-vegan,emergency-medical.i-am-sick,none
1,dietary-needs.i-am-vegetarian,emergency-medical.i-am-injured,none
2,dietary-needs.i-am-vegetarian,emergency-medical.i-am-injured,none
3,dietary-needs.i-am-vegetarian,emergency-medical.i-am-injured,none
1,dietary-needs.i-am-vegetarian,emergency-medical.i-am-sick,none
2,dietary-needs.i-am-vegetarian,emergency-medical.i-am-sick,none
3,dietary-needs.i-am-vegetarian,emergency-medical.i-am-sick,none
1,dietary-needs.i-am-vegetarian,time-scheduling.when-is-convenient,none
2,dietary-needs.i-am-vegetarian,time-scheduling.when-is-convenient,none
3,dietary-needs.i-am-vegetarian,time-scheduling.when-is-convenient,none
1,dietary-needs.i-do-not-eat,trail-conditions.is-the-trail-open,none
2,dietary-needs.i-do-not-eat,trail-conditions.is-the-trail-open,none
3,dietary-needs.i-do-not-eat,trail-conditions.is-the-trail-open,none
1,dietary-needs.i-have-a-severe-allergy-to,emergency-medical.i-am-having-a-severe-allergic-reaction,partial
2,dietary-needs.i-have-a-severe-allergy-to,emergency-medical.i-am-having-a-severe-allergic-reaction,none
3,dietary-needs.i-have-a-severe-allergy-to,emergency-medical.i-am-having-a-severe-allergic-reaction,none
1,dietary-needs.less-spicy,phone-text-power.please-use-simple-words,none
2,dietary-needs.less-spicy,phone-text-power.please-use-simple-words,none
3,dietary-needs.less-spicy,phone-text-power.please-use-simple-words,none
1,dietary-needs.no-meat,hotel-basics.for-nights,none
2,dietary-needs.no-meat,hotel-basics.for-nights,none
3,dietary-needs.no-meat,hotel-basics.for-nights,none
1,dietary-needs.no-sesame,lost-rescue.i-cannot-get-down,none
2,dietary-needs.no-sesame,lost-rescue.i-cannot-get-down,none
3,dietary-needs.no-sesame,lost-rescue.i-cannot-get-down,none
1,directions.west,numbers-money.zloty-symbol,none
2,directions.west,numbers-money.zloty-symbol,none
3,directions.west,numbers-money.zloty-symbol,none
1,directions.where-am-i,emergency-medical.i-am-injured,none
2,directions.where-am-i,emergency-medical.i-am-injured,none
3,directions.where-am-i,emergency-medical.i-am-injured,none
1,directions.where-am-i,emergency-medical.i-am-sick,none
2,directions.where-am-i,emergency-medical.i-am-sick,none
3,directions.where-am-i,emergency-medical.i-am-sick,none
1,directions.where-am-i,emergency-medical.where-is-a-pharmacy,none
2,directions.where-am-i,emergency-medical.where-is-a-pharmacy,none
3,directions.where-am-i,emergency-medical.where-is-a-pharmacy,none
1,directions.where-am-i,toilets.where-toilet,none
2,directions.where-am-i,toilets.where-toilet,none
3,directions.where-am-i,toilets.where-toilet,none
1,directions.where-is,emergency-medical.where-is-a-pharmacy,partial
2,directions.where-is,emergency-medical.where-is-a-pharmacy,partial
3,directions.where-is,emergency-medical.where-is-a-pharmacy,none
1,directions.where-is,emergency-medical.where-is-the-nearest-hospital,partial
2,directions.where-is,emergency-medical.where-is-the-nearest-hospital,partial
3,directions.where-is,emergency-medical.where-is-the-nearest-hospital,none
1,directions.where-is,toilets.where-can-i-wash-my-hands,none
2,directions.where-is,toilets.where-can-i-wash-my-hands,partial
3,directions.where-is,toilets.where-can-i-wash-my-hands,none
1,directions.where-is,toilets.where-public-toilet,partial
2,directions.where-is,toilets.where-public-toilet,partial
3,directions.where-is,toilets.where-public-toilet,none
1,directions.where-is,toilets.where-toilet,partial
2,directions.where-is,toilets.where-toilet,partial
3,directions.where-is,toilets.where-toilet,none
1,directions.where-is-the-nearest,emergency-medical.where-is-a-pharmacy,partial
2,directions.where-is-the-nearest,emergency-medical.where-is-a-pharmacy,partial
3,directions.where-is-the-nearest,emergency-medical.where-is-a-pharmacy,none
1,directions.where-is-the-nearest,emergency-medical.where-is-the-nearest-hospital,partial
2,directions.where-is-the-nearest,emergency-medical.where-is-the-nearest-hospital,partial
3,directions.where-is-the-nearest,emergency-medical.where-is-the-nearest-hospital,none
1,directions.where-is-the-nearest,toilets.where-toilet,partial
2,directions.where-is-the-nearest,toilets.where-toilet,partial
3,directions.where-is-the-nearest,toilets.where-toilet,none
1,emergency-medical.help,emergency-medical.i-am-bleeding-badly,none
2,emergency-medical.help,emergency-medical.i-am-bleeding-badly,none
3,emergency-medical.help,emergency-medical.i-am-bleeding-badly,none
1,emergency-medical.help,emergency-medical.i-am-having-a-severe-allergic-reaction,none
2,emergency-medical.help,emergency-medical.i-am-having-a-severe-allergic-reaction,none
3,emergency-medical.help,emergency-medical.i-am-having-a-severe-allergic-reaction,none
1,emergency-medical.help,emergency-medical.i-am-injured,none
2,emergency-medical.help,emergency-medical.i-am-injured,none
3,emergency-medical.help,emergency-medical.i-am-injured,none
1,emergency-medical.help,emergency-medical.i-am-sick,none
2,emergency-medical.help,emergency-medical.i-am-sick,none
3,emergency-medical.help,emergency-medical.i-am-sick,none
1,emergency-medical.help,emergency-medical.i-cannot-breathe,none
2,emergency-medical.help,emergency-medical.i-cannot-breathe,none
3,emergency-medical.help,emergency-medical.i-cannot-breathe,none
1,emergency-medical.help,emergency-medical.i-feel-unwell,none
2,emergency-medical.help,emergency-medical.i-feel-unwell,none
3,emergency-medical.help,emergency-medical.i-feel-unwell,none
1,emergency-medical.help,emergency-medical.i-have-chest-pain,none
2,emergency-medical.help,emergency-medical.i-have-chest-pain,none
3,emergency-medical.help,emergency-medical.i-have-chest-pain,none
1,emergency-medical.help,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.help,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.help,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.help,emergency-medical.i-need-a-doctor,none
2,emergency-medical.help,emergency-medical.i-need-a-doctor,none
3,emergency-medical.help,emergency-medical.i-need-a-doctor,none
1,emergency-medical.help,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.help,emergency-medical.i-think-a-bone-is-broken,none
3,emergency-medical.help,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.help,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.help,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.help,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.help,emergency-medical.it-hurts-here,none
2,emergency-medical.help,emergency-medical.it-hurts-here,none
3,emergency-medical.help,emergency-medical.it-hurts-here,none
1,emergency-medical.help,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.help,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.help,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.help,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.help,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.help,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.help,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.help,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.help,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.help,emergency-medical.this-is-an-emergency,none
2,emergency-medical.help,emergency-medical.this-is-an-emergency,none
3,emergency-medical.help,emergency-medical.this-is-an-emergency,partial
1,emergency-medical.help,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.help,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.help,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.help,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.help,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.help,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.help,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.help,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.help,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.help,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.help,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.help,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-having-a-severe-allergic-reaction,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-having-a-severe-allergic-reaction,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-having-a-severe-allergic-reaction,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-injured,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-injured,partial
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-injured,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-sick,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-sick,partial
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-am-sick,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-cannot-breathe,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-cannot-breathe,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-cannot-breathe,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-feel-unwell,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-feel-unwell,partial
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-feel-unwell,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-have-chest-pain,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-have-chest-pain,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-have-chest-pain,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-have-travel-insurance,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-have-travel-insurance,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-have-travel-insurance,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-need-a-doctor,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-need-a-doctor,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-need-a-doctor,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.i-think-a-bone-is-broken,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.i-think-a-bone-is-broken,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.i-think-a-bone-is-broken,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.is-there-a-doctor-who-speaks-english,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.is-there-a-doctor-who-speaks-english,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.is-there-a-doctor-who-speaks-english,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.it-hurts-here,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.it-hurts-here,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.it-hurts-here,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.please-call-an-ambulance,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.please-call-an-ambulance,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.please-call-an-ambulance,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.please-call-my-emergency-contact,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.please-call-my-emergency-contact,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.please-call-my-emergency-contact,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.please-take-me-to-a-hospital,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.please-take-me-to-a-hospital,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.please-take-me-to-a-hospital,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.this-is-an-emergency,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.this-is-an-emergency,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.this-is-an-emergency,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.this-person-is-unconscious,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.this-person-is-unconscious,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.this-person-is-unconscious,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.what-is-the-emergency-number,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.what-is-the-emergency-number,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.what-is-the-emergency-number,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.where-is-a-pharmacy,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.where-is-a-pharmacy,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.where-is-a-pharmacy,none
1,emergency-medical.i-am-bleeding-badly,emergency-medical.where-is-the-nearest-hospital,none
2,emergency-medical.i-am-bleeding-badly,emergency-medical.where-is-the-nearest-hospital,none
3,emergency-medical.i-am-bleeding-badly,emergency-medical.where-is-the-nearest-hospital,none
1,emergency-medical.i-am-bleeding-badly,utility-templates.i-cannot-find,none
2,emergency-medical.i-am-bleeding-badly,utility-templates.i-cannot-find,none
3,emergency-medical.i-am-bleeding-badly,utility-templates.i-cannot-find,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-am-injured,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-am-injured,partial
3,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-am-injured,none
1,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-am-sick,none
2,emergency-medical.i-am-having-a-severe-allergic-reaction,emergency-medical.i-am-sick,partial
