concept_id,respell
tax-refund.can-i-get-a-tax-refund,POH-soo puh-DEER oo huh-eng-BOL-soo doo EE-vah
social-basics.hello,oh-LAH
communication.i-do-not-speak-this-language,nowng FAH-loo ESH-tah LEENG-gwah
quick-responses.please-go-ahead,fahzh fah-VOR
phone-translation.i-am-using-phone-translation,shtoh ah oo-ZAR oong trah-doo-TOR ow-too-MAH-tee-koo
phone-text-power.please-type-it-for-me,"shKREH-vah PAH-rah MEENG, poor fah-VOR"
sim-data.i-would-like-a-tourist-sim,kuh-REE-ah oong kar-TOWNG SEENG PAH-rah too-REESH-tah
etiquette.is-this-allowed,EESH-too EH per-mee-TEE-doo
children.cannot-find-my-child,nowng kong-SEE-goo eng-kong-TRAR oo MEH-oo FEE-lyoo
time-scheduling.what-time-is-it,kee OH-rahsh SOWNG
time-words.today,OH-zhuh
days-of-week.monday,suh-GOONG-dah-FAY-rah
months.january,zhah-NAY-roo
directions.where-is,ONG-duh FEE-kah {}
quick-directions.go-straight,SEE-gah eng FRENG-tuh
taxi.please-take-me-here,"LEH-vuh-muh ah ESH-tuh eng-duh-REH-soo, poor fah-VOR"
transit-rides.two-tickets,doysh bee-LYEH-tish
border-customs.i-am-a-tourist,soh too-REESH-tah
pickup-meeting.where-is-the-pickup-point,ONG-dee EH oo PONG-too duh huh-KOH-lyah
rail-station-words.high-speed-rail,oo kong-BOY-oo duh AL-tah vuh-loo-see-DAH-duh
common-signs.open-on,ah-BEHR-too
utility-templates.i-want-to-go-to,KEH-roo EER PAH-rah {}
building-help.i-am-lost,shtoh per-DEE-doo
accessibility.wheelchair-access,EH ah-suh-SEE-vel ah kah-DAY-rahzh duh HOH-dahsh
toilets.where-public-toilet,ONG-duh AH OO-mah KAH-zah duh BAH-nyoo POO-blee-kah
building-words.stairs,ahzh shKAH-dahsh
pronouns-verbs.we-us,NAWSH / noosh
question-words.where,ONG-duh
emergency-medical.please-call-an-ambulance,"SHAH-muh OO-mah ang-boo-LANG-syah, poor fah-VOR"
medical-conditions.i-need-insulin,pruh-SEE-zoo duh eeng-soo-LEE-nah
pharmacy-symptoms.i-need-medicine-for,pruh-SEE-zoo duh oong muh-dee-kah-MENG-too PAH-rah {}
body-parts.stomach,ah bah-HEE-gah
lost-rescue.i-lost-my-phone,per-DEE oo MEH-oo tuh-luh-MAW-vel
police-consulate.i-want-to-report-a-theft,KEH-roo duh-noong-SYAR oong HOH-boo
dietary-needs.no-eggs,seng OH-voosh
food-ordering.is-a-table-available,ah MEH-zah LEE-vruh
trail-words.trailhead,oo ee-NEE-syoo doo TREE-lyoo
weather.will-it-rain,vy shoo-VER OH-zhuh
hiking-parks.where-is-the-trailhead,ONG-duh koo-MEH-sah oo TREE-lyoo
trail-conditions.can-we-return-the-same-way,poo-DEH-moosh vol-TAR PEH-loo MEZH-moo kah-MEE-nyoo
trail-transport.what-time-is-the-last-shuttle,ah kee OH-rahzh EH oo OOL-tee-moo ow-too-KAH-hoo
trail-warnings.closed,eng-suh-HAH-doo
trail-landmarks.fork-junction,ah bee-foor-kah-SOWNG
hotel-words.room-key-card,oo kar-TOWNG doo KWAR-too
hotel-basics.there-are-two-of-us,SOH-moosh DOYSH
hotel-requests.what-time-does-breakfast-start,ah kee OH-rahsh koo-MEH-sah oo puh-KEH-noo-al-MOH-soo
room-problems.the-air-conditioning-is-broken,oo AR kong-dee-syoo-NAH-doo shtah ah-vah-RYAH-doo
laundry.where-is-a-laundromat,ONG-duh AH OO-mah lah-vang-dah-REE-ah self-SER-veesh
introductions.nice-to-meet-you,MWEENG-too prah-ZER
numbers-money.y,oong
atm-cash.does-this-atm-take-foreign-cards,ESH-tah MAH-kee-nah ah-SAY-tah kar-TOYNGSH shtrang-ZHAY-roosh
attractions-tickets.do-i-need-a-reservation,EH pruh-SEE-zoo huh-zer-VAR
payment-receipt.pay-cash,pah-GAR eng dee-NYAY-roo
shopping.how-much-is-this,KWANG-too KOOSH-tah EESH-too
color-size-returns.do-you-have-another-size,teng OH-troo tah-MAH-nyoo
social-basics.hello-polite,bong DEE-ah
communication.i-speak-only-a-little-of-this,FAH-loo SAW oong POH-koo DESH-tah LEENG-gwah
quick-responses.yes-right,seeng
phone-translation.please-speak-toward-the-phone,"FAH-luh PAH-rah oo tuh-luh-MAW-vel, poor fah-VOR"
phone-translation.please-write-the-place-name,shKREH-vah ah-KEE oo NOH-muh doo loo-GAR
sim-data.may-i-use-your-wifi,POH-soo oo-ZAR oo WY-fy
etiquette.is-tipping-expected,EH koosh-TOO-muh DAR gor-ZHEH-tah
children.make-an-announcement,"POH-deng fah-ZER oong ah-NOONG-syoo, poor fah-VOR"
time-scheduling.how-many-minutes,KWANG-toosh mee-NOO-toosh
time-words.tomorrow,ah-mah-NYANG
days-of-week.tuesday,TER-sah-FAY-rah
months.february,fuh-vuh-RAY-roo
directions.how-do-i-get-to,KOH-moo suh VY PAH-rah {}
quick-directions.turn-left,VEE-ruh ah shKER-dah
taxi.please-send-me-the-address,"eng-VEE-uh-muh oo eng-duh-REH-soo, poor fah-VOR"
transit-rides.where-is-the-subway-station,ONG-duh FEE-kah ah shtah-SOWNG duh MEH-troo
place-words.visitor-center,oo SENG-troo duh vee-zee-TANG-tish
border-customs.here-is-my-passport,ah-KEE shtah oo MEH-oo pah-sah-POR-tuh
pickup-meeting.please-send-me-the-pickup-point,eng-VEE-uh-muh oo PONG-too duh huh-KOH-lyah
common-signs.closed-off,fuh-SHAH-doo
utility-templates.please-give-me,"DAY-muh {}, poor fah-VOR"
building-help.where-is-reception,ONG-dee EH ah huh-suh-SOWNG
accessibility.elevator,ah ee-luh-vah-DOR
in-a-building.do-you-have-wi-fi,teng WY-fy
toilets.may-i-use-the-toilet,POH-soo oo-ZAR ah KAH-zah duh BAH-nyoo
building-words.entrance,ah eng-TRAH-dah
pronouns-verbs.you,voh-SAY
question-words.who,KENG
emergency-medical.i-need-a-doctor,pruh-SEE-zoo duh oong MEH-dee-koo
medical-conditions.i-have-asthma,TEH-nyoo AZH-mah
pharmacy-symptoms.i-have-a-fever,TEH-nyoo FEH-bruh
body-parts.back,ahzh KOSH-tahsh
lost-rescue.please-call-the-police,"SHAH-muh ah poo-LEE-syah, poor fah-VOR"
police-consulate.my-bag-was-stolen,hoh-BAH-rowng-muh ah MAH-lah
dietary-needs.not-spicy,seng pee-KANG-tuh
food-ordering.menu-please,"ah ee-MENG-tah, poor fah-VOR"
trail-words.summit,oo KOO-muh
weather.is-it-safe-today,OH-zhee EH suh-GOO-roo
hiking-parks.how-long-to-the-summit,KWANG-too TENG-poo ah-TEH ow KOO-muh
trail-conditions.can-we-return-before-dark,poo-DEH-moosh vol-TAR ANG-tish dish-koo-ruh-SER
trail-transport.when-does-the-cableway-stop,ah kee OH-rahsh FEH-shah oo tuh-luh-FEH-ree-koo
trail-warnings.maintenance,mah-noo-teng-SOWNG
trail-landmarks.boardwalk-cliff-path,oo pah-sah-DEE-soo
hotel-words.check-in,oo shehk-EEN
hotel-basics.i-have-a-reservation,TEH-nyoo huh-ZEHR-vah
hotel-requests.can-i-store-my-luggage,POH-soo day-SHAR ah bah-GAH-zheng
room-problems.there-is-no-hot-water,nowng AH AH-gwah KENG-tuh
laundry.when-will-it-be-ready,KWANG-doo FEE-kah PRONG-too
introductions.what-is-your-name,KOH-moo suh SHAH-mah
numbers-money.r,doysh
atm-cash.the-atm-kept-my-card,ah MAH-kee-nah fee-KOH kong oo MEH-oo kar-TOWNG
attractions-tickets.what-is-the-latest-entry-time,kwal EH ah OOL-tee-mah OH-rah duh eng-TRAH-dah
payment-receipt.pay-by-qr-code,pah-GAR kong KAW-dee-goo koo-EH-huh
shopping.that-is-too-expensive,EH MWEENG-too KAH-roo
color-size-returns.may-i-try-it-on,POH-soo shpuh-ree-meng-TAR
social-basics.good-morning,bong DEE-ah
communication.do-you-speak-english,FAH-lah eeng-GLESH
quick-responses.no-not,nowng
phone-translation.one-sentence-at-a-time-please,"OO-mah FRAH-zuh duh KAH-dah VESH, poor fah-VOR"
phone-text-power.please-use-simple-words,"OO-zuh pah-LAH-vrahsh SEENG-plish, poor fah-VOR"
sim-data.how-much-data-is-included,KWANG-toosh DAH-doosh shtowng eeng-KLWEE-doosh
etiquette.is-service-included,oo ser-VEE-soo shtah eeng-KLWEE-doo
children.child-age,oo MEH-oo FEE-lyoo teng {} AH-noosh
time-scheduling.what-time-should-we-meet,ah kee OH-rahsh noosh eng-kong-TRAH-moosh
time-words.yesterday,ONG-teng
days-of-week.wednesday,KWAR-tah-FAY-rah
months.march,MAR-soo
directions.is-it-far,EH LONG-zhuh
quick-directions.turn-right,VEE-ruh ah dee-RAY-tah
taxi.we-need-the-east-gate-not-the-south-gate,"kuh-REH-moosh ah POR-tah LESH-tuh, nowng ah POR-tah SOOL"
transit-rides.does-this-bus-train-go-to,ESH-tuh ow-too-KAH-hoo oh kong-BOY-oo VY PAH-rah {}
place-words.railway-station,ah shtah-SOWNG duh kong-BOY-oosh
border-customs.i-am-staying-for-days,FEE-koo {} DEE-ahsh
pickup-meeting.please-pick-us-up-here,VEH-nyah boosh-KAR-noosh ah-KEE
rail-station-words.transfer,oo trangzh-BOR-doo
common-signs.occupied,oh-koo-PAH-doo
utility-templates.may-i,POH-soo {}
building-help.where-is-a-power-outlet,ONG-duh AH OO-mah too-MAH-dah
accessibility.ramp,ah HANG-pah
in-a-building.what-is-the-wi-fi-password,kwal EH ah pah-LAH-vrah-PAH-suh doo WY-fy
toilets.is-it-only-for-customers,EH SAW PAH-rah klee-ENG-tish
building-words.exit,ah sah-EE-dah
pronouns-verbs.you-polite,oo suh-NYOR / ah suh-NYOH-rah
question-words.which-one,KWAL
emergency-medical.i-am-sick,shtoh DWENG-tuh
medical-conditions.i-have-a-heart-condition,TEH-nyoo oong proo-BLEH-mah kar-DEE-ah-koo
pharmacy-symptoms.i-have-diarrhea,TEH-nyoo dee-ah-HAY-ah
body-parts.throat,ah gar-GANG-tah
lost-rescue.we-are-here,sh-TAH-moosh ah-KEE
police-consulate.my-passport-was-stolen,hoh-BAH-rowng-muh oo pah-sah-POR-tuh
dietary-needs.less-spicy,MEH-noosh pee-KANG-tuh
food-ordering.i-want-this,KEH-roo EESH-too
trail-words.viewpoint,oo mee-rah-DOH-roo
weather.how-cold-at-night,kuh FREE-oo FAHZH duh NOY-tuh
hiking-parks.how-long-to-the-viewpoint,KWANG-too TENG-poo ah-TEH ow mee-rah-DOH-roo
trail-conditions.is-the-trail-open,oo TREE-lyoo shtah ah-BEHR-too
trail-transport.where-can-we-buy-water,ONG-duh poo-DEH-moosh kong-PRAR AH-gwah
trail-warnings.steep-slope,eng-KOSH-tah EENG-gruh-muh
trail-landmarks.start,ee-NEE-syoo
hotel-words.check-out,oo shehk-OWT
hotel-basics.can-i-charge-my-phone,POH-soo kah-huh-GAR oo tuh-luh-MAW-vel
hotel-requests.no-housekeeping,nowng EH pruh-SEE-zoo leeng-PAR oo KWAR-too
room-problems.can-i-change-rooms,POH-soo moo-DAR duh KWAR-too
laundry.how-much-per-kilo,KWANG-too KOOSH-tah poor KEE-loo
introductions.we-are-traveling-together,vyah-ZHAH-moosh ZHOONG-toosh
atm-cash.is-there-a-fee,ah koo-mee-SOWNG
attractions-tickets.are-there-lockers,ah kah-SEE-foosh
payment-receipt.a-receipt-please,"oong huh-SEE-boo, poor fah-VOR"
shopping.can-it-be-a-little-cheaper,POH-duh SER oong POH-koo MYZH bah-RAH-too
color-size-returns.can-i-return-it,POH-soo duh-vol-VER
social-basics.good-evening,BOH-ah NOY-tuh
communication.please-speak-more-slowly,"FAH-luh MYSH duh-vah-GAR, poor fah-VOR"
quick-responses.okay-can,duh ah-KOR-doo
phone-text-power.my-phone-battery-is-low,shtoh KWAH-zuh seng bah-tuh-REE-ah
sim-data.do-you-need-my-passport,pruh-SEE-zah doo MEH-oo pah-sah-POR-tuh
etiquette.may-i-enter,POH-soo eng-TRAR
children.high-chair,teng kah-DAY-rah AL-tah PAH-rah kree-ANG-sahsh
time-scheduling.can-we-change-the-time,poo-DEH-moosh moo-DAR ah OH-rah
time-words.this-week,ESH-tah suh-MAH-nah
days-of-week.thursday,KEENG-tah-FAY-rah
months.april,ah-BREEL
directions.how-long-on-foot,KWANG-too TENG-poo ah PEH
quick-directions.this-way,poor ah-KEE
taxi.please-stop-here,"PAH-ruh ah-KEE, poor fah-VOR"
transit-rides.what-is-the-next-stop,kwal EH ah PRAW-see-mah pah-RAH-zheng
place-words.airport,oo ah-eh-roo-POR-too
border-customs.nothing-to-declare,NAH-dah ah duh-klah-RAR
pickup-meeting.meet-us-at,eng-KONG-truh-noosh eng {}
rail-station-words.ticket-gate,ah kang-SEH-lah
common-signs.vacant,LEE-vruh
utility-templates.please-do-not-add,"seng {}, poor fah-VOR"
accessibility.how-many-steps,KWANG-toosh duh-GROWSH SOWNG
in-a-building.which-floor,kuh ang-DAR
toilets.toilet-wc,vay-SAY
building-words.men,OH-mengsh
pronouns-verbs.he-him,EH-luh
question-words.when,KWANG-doo
emergency-medical.i-am-injured,shtoh feh-REE-doo
medical-conditions.i-am-allergic-to-penicillin,soh ah-LEHR-zhee-koo ah puh-nee-see-LEE-nah
pharmacy-symptoms.where-is-an-all-night-pharmacy,ONG-duh AH OO-mah far-MAH-syah duh ser-VEE-soo
body-parts.tooth,oo DENG-tuh
lost-rescue.please-look-at-my-location-pin,VAY-zhah oo MEH-oo PONG-too noo MAH-pah
police-consulate.someone-is-following-me,al-GENG shtah ah suh-GEER-muh
dietary-needs.no-peanuts,seng ah-meng-doo-EENG
food-ordering.do-you-have-drinking-water,teng AH-gwah poo-TAH-vel
trail-words.cableway,oo tuh-luh-FEH-ree-koo
weather.rain,ah SHOO-vah
hiking-parks.which-route-is-easier,kwal EH oo per-KOOR-soo MYSH FAH-seel
trail-conditions.is-the-route-steep,oo per-KOOR-soo EH EENG-gruh-muh
trail-transport.where-can-we-refill-water,ONG-duh poo-DEH-moosh eng-SHER ahzh gah-HAH-fahsh
trail-warnings.caution-slippery,ah-teng-SOWNG: PEE-zoo shkoo-huh-gah-DEE-oo
trail-landmarks.end,FEENG
hotel-basics.i-would-like-a-non-smoking-room,kuh-REE-ah oong KWAR-too PAH-rah nowng foo-mah-DOH-rish
room-problems.the-room-is-too-noisy,oo KWAR-too EH MWEENG-too bah-roo-LYENG-too
laundry.can-it-be-ready-today,POH-duh fee-KAR PRONG-too OH-zhuh
introductions.this-is-my-friend,ESH-tuh EH oo MEH-oo ah-MEE-goo
numbers-money.s-n,TRESH
atm-cash.the-card-was-declined,oo kar-TOWNG foy huh-koo-ZAH-doo
attractions-tickets.may-i-take-photos,POH-soo tee-RAR foo-too-grah-FEE-ahsh
color-size-returns.can-i-exchange-it,POH-soo troo-KAR
social-basics.goodbye,ah-DEH-oosh
communication.i-do-not-understand-spoken,nowng eng-TENG-doo oo kuh DEESH
quick-responses.cannot-not-allowed,nowng POH-duh
phone-text-power.do-you-have-a-power-bank,teng oong kah-huh-gah-DOR poor-TAH-teel
sim-data.how-long-is-it-valid,KWANG-too TENG-poo EH VAH-lee-doo
etiquette.remove-shoes,DEH-voo tee-RAR oosh sah-PAH-toosh
children.baby-changing-room,ONG-duh FEE-kah oo fral-DAH-ryoo
time-scheduling.when-is-convenient,ah kee OH-rahzh EH muh-LYOR
time-words.next-week,ah PRAW-see-mah suh-MAH-nah
days-of-week.friday,SAYSH-tah-FAY-rah
months.may,MY-oo
directions.please-show-me-on-the-map,"MOSH-truh-muh noo MAH-pah, poor fah-VOR"
quick-directions.that-way,poor ah-LEE
taxi.can-you-wait-for-me-here,POH-duh shpuh-RAR poor MEENG ah-KEE
transit-rides.please-tell-me-where-to-get-off,DEE-gah-muh ONG-duh DEH-voo sah-EER
place-words.service-desk,oo bal-KOWNG duh ah-teng-dee-MENG-too
border-customs.i-am-staying-at,FEE-koo eng {}
pickup-meeting.please-call-me-a-ride,"SHAH-muh-muh oong KAH-hoo, poor fah-VOR"
rail-station-words.platform,ah plah-tah-FOR-mah
common-signs.caution,ah-teng-SOWNG
utility-templates.do-you-have,teng {}
accessibility.cannot-climb-stairs,nowng kong-SEE-goo soo-BEER shKAH-dahsh
toilets.is-it-free,EH GRAH-teesh
building-words.women,moo-LYEH-rish
pronouns-verbs.she-her,EH-lah
question-words.how,KOH-moo
emergency-medical.it-hurts-here,DOY ah-KEE
medical-conditions.i-have-epilepsy,TEH-nyoo eh-pee-lep-SEE-ah
pharmacy-symptoms.painkiller,ah-nal-ZHEH-zee-koo
body-parts.chest,oo PAY-too
lost-rescue.i-cannot-walk,nowng kong-SEE-goo ang-DAR
police-consulate.i-need-a-written-police-report,pruh-SEE-zoo dah KAY-shah poor shKREE-too
dietary-needs.no-nuts,seng FROO-toosh duh KAHSH-kah HEE-zhah
food-ordering.to-go-please,"PAH-rah luh-VAR, poor fah-VOR"
trail-words.shuttle-bus,oo ow-too-KAH-hoo duh lee-gah-SOWNG
weather.snow,ah NEH-vuh
trail-conditions.is-the-path-slippery,oo kah-MEE-nyoo shtah shkoo-huh-gah-DEE-oo
trail-transport.is-there-cell-signal-here,ah HEH-duh ah-KEE
trail-warnings.danger,puh-REE-goo
trail-landmarks.elevation,al-tee-TOO-duh
hotel-basics.i-would-like-a-quiet-room,kuh-REE-ah oong KWAR-too see-leng-SYOH-zoo
room-problems.the-key-does-not-work,oo kar-TOWNG nowng AH-bruh ah POR-tah
laundry.please-do-not-use-bleach,"nowng OO-zuh lee-SHEE-vyah, poor fah-VOR"
introductions.i-am-from,soh duh {}
numbers-money.s,KWAH-troo
atm-cash.what-is-the-exchange-rate,kwal EH ah TAH-shah duh KANG-byoo
attractions-tickets.please-take-a-photo-of-us,"TEE-ruh-noosh OO-mah foo-too-grah-FEE-ah, poor fah-VOR"
color-size-returns.do-you-have-a-bag,teng oong SAH-koo
social-basics.thank-you,oh-bree-GAH-doo
communication.i-cannot-read-understand,nowng SAY LER EESH-too
quick-responses.works-okay,foong-SYOH-nah
phone-text-power.the-translation-may-be-inaccurate,ah trah-doo-SOWNG POH-duh shTAR ee-HAH-dah
sim-data.please-activate-it,"POH-duh ah-tee-VAR, poor fah-VOR"
etiquette.photo-of-you,POH-soo tee-RAR OO-mah FAW-too SOO-ah
children.childrens-menu,ah muh-NOO PAH-rah kree-ANG-sahsh
time-scheduling.what-is-today-s-date,kwal EH ah DAH-tah duh OH-zhuh
time-words.morning,ah mah-NYANG
days-of-week.saturday,SAH-bah-doo
months.june,ZHOO-nyoo
directions.where-is-the-nearest,ONG-duh FEE-kah oo {} MYSH PRAW-see-moo
quick-directions.on-the-left,ah shKER-dah
taxi.we-need-to-catch-the-high-speed-train,TEH-moosh duh ah-pah-NYAR oo kong-BOY-oo HAH-pee-doo
transit-rides.is-this-direct,EH dee-REH-too
place-words.bus-stop,ah pah-RAH-zheng duh ow-too-KAH-hoo
border-customs.i-am-here-for-business,VEH-nyoo eng nuh-GAW-syoosh
rail-station-words.ticket-office,ah bee-lyuh-TAY-rah
common-signs.no-entry,eng-TRAH-dah proo-ee-BEE-dah
utility-templates.please-write-the-number,"shKREH-vah oo NOO-muh-roo, poor fah-VOR"
accessibility.need-to-sit-down,pruh-SEE-zoo duh muh seng-TAR
toilets.do-i-need-a-coin,EH pruh-SEE-zoo MWEH-dah oh FEE-shah
building-words.door,ah POR-tah
pronouns-verbs.they-them,EH-lish / EH-lahsh
question-words.how-much-many,KWANG-too
emergency-medical.where-is-a-pharmacy,ONG-duh FEE-kah OO-mah far-MAH-syah
medical-conditions.my-blood-sugar-is-low,oo MEH-oo ah-SOO-kar noo SANG-guh shtah BY-shoo
pharmacy-symptoms.do-i-need-a-prescription,EH pruh-SEE-zoo huh-SAY-tah MEH-dee-kah
body-parts.eye,oo OH-lyoo
lost-rescue.i-sprained-my-ankle,tor-SEE oo tor-noo-ZEH-loo
police-consulate.i-want-to-contact-my-embassy,KEH-roo kong-tak-TAR ah MEE-nyah eng-by-SHAH-dah
dietary-needs.no-seafood,seng mah-REESH-koo neng PAY-shuh
food-ordering.check-please,"ah KONG-tah, poor fah-VOR"
trail-words.park-shuttle,oo ow-too-KAH-hoo doo PAR-kuh
weather.wind,oo VENG-too
trail-transport.do-you-have-a-map,teng oong MAH-pah
trail-warnings.beware-falling-rocks,ah-teng-SOWNG ah KEH-dah duh PEH-drahsh
trail-landmarks.sunset,oo POR doo SOL
hotel-basics.is-there-a-washing-machine,ah MAH-kee-nah duh lah-VAR
room-problems.the-toilet-will-not-flush,oo ow-too-KLEEZH-moo nowng foong-SYOH-nah
laundry.laundromat,ah lah-vang-dah-REE-ah self-SER-veesh
introductions.where-are-you-from,duh ONG-dee EH
numbers-money.w,SEENG-koo
atm-cash.no-money-came-out,nowng sah-EE-oo dee-NYAY-roo
social-basics.you-are-welcome,duh NAH-dah
communication.please-say-it-again,"huh-PEE-tah, poor fah-VOR"
quick-responses.does-not-work-no,nowng foong-SYOH-nah
phone-text-power.please-confirm,"kong-FEER-muh, poor fah-VOR"
sim-data.do-you-have-an-esim,teng ee-SEENG
etiquette.may-i-sit-here,POH-soo seng-TAR-muh ah-KEE
children.suitable-for-children,EESH-too EH ah-duh-KWAH-doo PAH-rah kree-ANG-sahsh
time-scheduling.what-day-is-it-today,kuh DEE-ah EH OH-zhuh
time-words.afternoon,ah TAR-duh
days-of-week.sunday,doo-MEENG-goo
months.july,ZHOO-lyoo
directions.where-am-i,ONG-duh shTOH
quick-directions.on-the-right,ah dee-RAY-tah
taxi.please-use-the-meter,"LEE-guh oo tak-SEE-muh-troo, poor fah-VOR"
transit-rides.do-i-need-to-transfer,TEH-nyoo duh fah-ZER trangzh-BOR-doo
place-words.luggage-storage,oo duh-PAW-zee-too duh bah-GAH-zheng
border-customs.i-have-a-return-ticket,TEH-nyoo bee-LYEH-tuh duh huh-GREH-soo
rail-station-words.waiting-room,ah SAH-lah duh shPEH-rah
common-signs.no-smoking,proo-ee-BEE-doo foo-MAR
utility-templates.i-need,pruh-SEE-zoo duh {}
accessibility.accessible-restroom,ah KAH-zah duh BAH-nyoo ah-suh-SEE-vel
toilets.is-the-tap-water-safe-to-drink,ah AH-gwah dah tor-NAY-rah EH poo-TAH-vel
building-words.key,ah SHAH-vuh
pronouns-verbs.my-mine,oo MEH-oo / ah MEE-nyah
question-words.how-many,KWANG-toosh
emergency-medical.please-take-me-to-a-hospital,"LEH-vuh-muh ah oong osh-pee-TAL, poor fah-VOR"
medical-conditions.i-need-my-inhaler,pruh-SEE-zoo doo MEH-oo ee-nah-lah-DOR
pharmacy-symptoms.i-have-a-headache,TEH-nyoo DOR duh kah-BEH-sah
body-parts.ear,oo oh-VEE-doo
lost-rescue.please-contact-rescue,"SHAH-muh oo hezh-GAH-tuh, poor fah-VOR"
police-consulate.i-need-it-for-my-insurance,pruh-SEE-zoo DEESH-too PAH-rah oo suh-GOO-roo
dietary-needs.i-am-vegetarian,soh vuh-zhuh-tah-RYAH-noo
food-ordering.does-it-contain,LEH-vah {}
trail-words.steps,oosh duh-GROWSH
weather.storm,ah teng-pish-TAH-duh
trail-warnings.first-aid-station,POSH-too duh pree-MAY-roosh soo-KOH-hoosh
room-problems.the-light-does-not-work,ah LOOSH nowng foong-SYOH-nah
laundry.please-iron-this,"PAH-suh EESH-too ah FEH-hoo, poor fah-VOR"
introductions.how-are-you,KOH-moo shTAH
numbers-money.li,SAYSH
atm-cash.where-can-i-change-money,ONG-duh POH-soo troo-KAR dee-NYAY-roo
social-basics.excuse-me-sorry,kong lee-SENG-sah
communication.please-write-it-down,"shKREH-vah, poor fah-VOR"
sim-data.my-data-is-not-working,oosh DAH-doosh MAW-vaysh nowng foong-SYOH-nowng
etiquette.queue-for,ESH-tah EH ah FEE-lah PAH-rah {}
children.minimum-age,kwal EH ah ee-DAH-duh MEE-nee-mah
time-scheduling.what-time-does-it-open,ah kee OH-rahzh AH-bruh
time-words.evening,oo FEENG dah TAR-duh
months.august,ah-GOSH-too
directions.which-way,PAH-rah kuh LAH-doo
quick-directions.across-from-here,eng FRENG-tuh dah-KEE
transit-rides.is-it-delayed,shtah ah-trah-ZAH-doo
border-customs.i-am-visiting-family,VEH-nyoo vee-zee-TAR fah-mee-LYAH-rish
rail-station-words.train-number,oo NOO-muh-roo doo kong-BOY-oo
common-signs.no-photography,proo-ee-BEE-doo foo-too-grah-FAR
utility-templates.is-there-nearby,ah {} ah-KEE PEHR-too
accessibility.station-assistance,ah ah-seesh-TENG-syah nah shtah-SOWNG
toilets.it-is-urgent,EH oor-ZHENG-tuh
pronouns-verbs.your-yours,oo SEH-oo / ah SOO-ah
question-words.why,poor-KAY
medical-conditions.i-am-pregnant,shtoh GRAH-vee-dah
pharmacy-symptoms.paracetamol-acetaminophen,pah-rah-suh-tah-MOL
body-parts.leg,ah PEHR-nah
lost-rescue.my-companion-is-missing,oo MEH-oo ah-kong-pah-NYANG-tuh duh-zah-pah-ruh-SEH-oo
police-consulate.i-need-an-interpreter,pruh-SEE-zoo duh oong eeng-TEHR-pruh-tuh
dietary-needs.i-am-vegan,soh vuh-GAH-noo
food-ordering.is-this-vegetarian,EESH-too EH vuh-zhuh-tah-RYAH-noo
trail-words.up-uphill,ah soo-BEE-dah
weather.ice,oo ZHEH-loo
trail-warnings.service-suspended,ser-VEE-soo soosh-PENG-soo
trail-landmarks.water-point,oo PONG-too DAH-gwah
room-problems.please-send-someone,POH-deng mang-DAR al-GENG huh-pah-RAR
