concept_id,respell
social-basics.hello-polite,chow ang / chee ah
communication.i-speak-only-a-little-of-this,toy chee noy duh-uk moht choot
quick-responses.yes-right,vuhng
phone-translation.please-speak-toward-the-phone,seen noy vow dee-un twigh
phone-translation.please-write-the-place-name,seen vee-ut tayn dee-uh dee-um vow digh
sim-data.may-i-use-your-wifi,chaw toy zoong wai-fai ah
etiquette.is-tipping-expected,kaw kuhn tee-un teep khohng ah?
children.make-an-announcement,seen tohng bow chayn lwah
time-scheduling.how-many-minutes,bow nyee-oh foot ah?
time-words.tomorrow,ngigh migh
days-of-week.tuesday,tuh bah
months.february,tahng high
directions.how-do-i-get-to,dee {} tay now ah?
quick-directions.turn-left,reh chigh
taxi.please-send-me-the-address,seen guh-ee dee-uh chee chaw toy
transit-rides.where-is-the-subway-station,gah tow dee-un nguhm uh doh ah?
place-words.visitor-center,choong tuhm zoo khak
border-customs.here-is-my-passport,hoh chee-oh koo-uh toy digh
pickup-meeting.please-send-me-the-pickup-point,seen guh-ee dee-um dawn chaw toy
common-signs.closed-off,dawng
utility-templates.please-give-me,seen chaw toy {}
building-help.where-is-reception,lay tuhn uh doh ah?
accessibility.elevator,uh digh kaw tahng migh khohng ah?
in-a-building.do-you-have-wi-fi,uh digh kaw wai-fai khohng ah?
toilets.may-i-use-the-toilet,toy zoong nyah vay sing duh-uk khohng ah?
building-words.entrance,loy vow
pronouns-verbs.you,bahn
question-words.who,eye
emergency-medical.i-need-a-doctor,toy kuhn bahk see
medical-conditions.i-have-asthma,toy bee hen swee-un
pharmacy-symptoms.i-have-a-fever,toy bee soht
body-parts.back,luhng
lost-rescue.please-call-the-police,seen goy kohng ahn
police-consulate.my-bag-was-stolen,toy bee ligh kap too-ee sak
dietary-needs.not-spicy,khohng kigh
food-ordering.menu-please,chaw toy tuhk duhn ah
trail-words.summit,ding noo-ee
weather.is-it-safe-today,hohm nigh kaw ahn twahn khohng ah?
hiking-parks.how-long-to-the-summit,layn ding muht bow loh ah?
trail-conditions.can-we-return-before-dark,vay keep chuh-uk toy khohng ah?
trail-transport.when-does-the-cableway-stop,kahp cheh-oh zuhng look migh zuh ah?
trail-warnings.maintenance,dahng bow chee
trail-landmarks.boardwalk-cliff-path,duh-ung vahn goh / vak dah
hotel-words.check-in,nyuhn fawng
hotel-basics.i-have-a-reservation,toy kaw dat fawng chuh-uk
hotel-requests.can-i-store-my-luggage,guh-ee hang lee duh-uk khohng ah?
room-problems.there-is-no-hot-water,khohng kaw nuh-uk nawng
laundry.when-will-it-be-ready,khee now sawng ah?
introductions.what-is-your-name,seen chaw hoy tayn zee ah?
numbers-money.r,high
atm-cash.the-atm-kept-my-card,migh noo-ut teh koo-uh toy
attractions-tickets.what-is-the-latest-entry-time,vow kuh-uh moo-un nyuht look migh zuh ah?
payment-receipt.pay-by-qr-code,kwet mah kyoo-ar duh-uk khohng ah?
shopping.that-is-too-expensive,dat kwah
color-size-returns.may-i-try-it-on,chaw toy mak tuh ah
social-basics.good-morning,chow boo-oy sahng
communication.do-you-speak-english,kaw noy duh-uk tee-ung ang khohng ah?
quick-responses.no-not,khohng
phone-translation.one-sentence-at-a-time-please,seen noy tuhng koh moht
phone-text-power.please-use-simple-words,seen zoong tuh duhn zahn
sim-data.how-much-data-is-included,duh-uk bow nyee-oh day-tah ah?
etiquette.is-service-included,dah ting fee fook voo chuh-uh ah?
children.child-age,kawn toy {} too-oy
time-scheduling.what-time-should-we-meet,migh zuh gap nyow ah?
time-words.yesterday,hohm kwah
days-of-week.wednesday,tuh tuh
months.march,tahng bah
directions.is-it-far,kaw sah khohng ah?
quick-directions.turn-right,reh figh
taxi.we-need-the-east-gate-not-the-south-gate,"kohng dohng, khohng figh kohng nahm"
transit-rides.does-this-bus-train-go-to,seh nigh kaw dee {} khohng ah?
place-words.railway-station,gah tow hwah
border-customs.i-am-staying-for-days,toy uh {} ngigh
pickup-meeting.please-pick-us-up-here,seen dawn choong toy uh digh
rail-station-words.transfer,doy tow
common-signs.occupied,kaw nguh-oy
utility-templates.may-i,toy {} duh-uk khohng ah?
building-help.where-is-a-power-outlet,oh kam dee-un uh doh ah?
accessibility.ramp,uh digh kaw duh-ung zohk khohng ah?
in-a-building.what-is-the-wi-fi-password,muht khoh wai-fai lah zee ah?
toilets.is-it-only-for-customers,chee zang chaw khak hahng ah?
building-words.exit,loy rah
pronouns-verbs.you-polite,ang / chee
question-words.which-one,kigh now
emergency-medical.i-am-sick,toy bee bayng
medical-conditions.i-have-a-heart-condition,toy bee bayng teem
pharmacy-symptoms.i-have-diarrhea,toy bee tee-oh chigh
body-parts.throat,hawng
lost-rescue.we-are-here,choong toy uh digh
police-consulate.my-passport-was-stolen,toy bee ligh kap hoh chee-oh
dietary-needs.less-spicy,eet kigh toy
food-ordering.i-want-this,toy moo-un mawn nigh
trail-words.viewpoint,dee-um ngam kang
weather.how-cold-at-night,bahn daym lang bow nyee-oh doh ah?
hiking-parks.how-long-to-the-viewpoint,dayn dee-um ngam kang muht bow loh ah?
trail-conditions.is-the-trail-open,duh-ung mawn kaw muh khohng ah?
trail-transport.where-can-we-buy-water,moo-uh nuh-uk uh doh ah?
trail-warnings.steep-slope,zohk duhng
trail-landmarks.start,dee-um bat doh
hotel-words.check-out,chah fawng
hotel-basics.can-i-charge-my-phone,sahk dee-un twigh duh-uk khohng ah?
hotel-requests.no-housekeeping,khohng kuhn zawn fawng
room-problems.can-i-change-rooms,doy fawng duh-uk khohng ah?
laundry.how-much-per-kilo,bow nyee-oh moht kee ah?
introductions.we-are-traveling-together,choong toy dee koong nyow
atm-cash.is-there-a-fee,kaw muht fee khohng ah?
attractions-tickets.are-there-lockers,kaw too guh-ee doh khohng ah?
payment-receipt.a-receipt-please,chaw toy hwah duhn ah
shopping.can-it-be-a-little-cheaper,buht choot duh-uk khohng ah?
color-size-returns.can-i-return-it,chah ligh duh-uk khohng ah?
social-basics.good-evening,chow boo-oy toy
communication.please-speak-more-slowly,seen noy chuhm huhn
quick-responses.okay-can,duh-uk
phone-text-power.my-phone-battery-is-low,dee-un twigh toy sap hayt peen
sim-data.do-you-need-my-passport,kaw kuhn hoh chee-oh khohng ah?
etiquette.may-i-enter,toy vow duh-uk khohng ah?
children.high-chair,kaw gay an chaw beh khohng ah?
time-scheduling.can-we-change-the-time,doy zuh duh-uk khohng ah?
time-words.this-week,twuhn nigh
days-of-week.thursday,tuh nam
months.april,tahng tuh
directions.how-long-on-foot,dee boh muht bow loh ah?
quick-directions.this-way,loy nigh
taxi.please-stop-here,seen zuhng uh digh
transit-rides.what-is-the-next-stop,chahm sow lah chahm now ah?
place-words.airport,suhn bigh
border-customs.nothing-to-declare,khohng kaw zee khigh bow
pickup-meeting.meet-us-at,gap choong toy uh {}
rail-station-words.ticket-gate,kohng swaht veh
common-signs.vacant,chohng
utility-templates.please-do-not-add,seen duhng chaw {}
accessibility.how-many-steps,kaw bow nyee-oh buhk tahng ah?
in-a-building.which-floor,tuhng migh ah?
toilets.toilet-wc,nyah vay sing
building-words.men,nahm
pronouns-verbs.he-him,ang eye
question-words.when,khee now
emergency-medical.i-am-injured,toy bee tuh-ung
medical-conditions.i-am-allergic-to-penicillin,toy zee uhng pay-nee-see-leen
pharmacy-symptoms.where-is-an-all-night-pharmacy,nyah too-uk now muh bahn daym ah?
body-parts.tooth,rang
lost-rescue.please-look-at-my-location-pin,seen sem geem vee chee koo-uh toy
police-consulate.someone-is-following-me,kaw nguh-oy dahng bahm teh-oh toy
dietary-needs.no-peanuts,khohng doh fohng
food-ordering.do-you-have-drinking-water,kaw nuh-uk oo-ung khohng ah?
trail-words.cableway,kahp cheh-oh
weather.rain,muh-uh
hiking-parks.which-route-is-easier,duh-ung now zay dee huhn ah?
trail-conditions.is-the-route-steep,duh-ung kaw zohk khohng ah?
trail-transport.where-can-we-refill-water,ligh taym nuh-uk uh doh ah?
trail-warnings.caution-slippery,kuhn tuhn chuhn chuh-ut
trail-landmarks.end,dee-um kayt took
hotel-basics.i-would-like-a-non-smoking-room,chaw toy fawng khohng hoot too-uk ah
room-problems.the-room-is-too-noisy,fawng ohn kwah
laundry.can-it-be-ready-today,hohm nigh sawng duh-uk khohng ah?
introductions.this-is-my-friend,digh lah bahn toy
numbers-money.s-n,bah
atm-cash.the-card-was-declined,teh bee tuh choy
attractions-tickets.may-i-take-photos,choop ang duh-uk khohng ah?
color-size-returns.can-i-exchange-it,doy duh-uk khohng ah?
social-basics.goodbye,tahm bee-ut
communication.i-do-not-understand-spoken,toy ngeh khohng hee-oh
quick-responses.cannot-not-allowed,khohng duh-uk
phone-text-power.do-you-have-a-power-bank,kaw sahk zuh fawng khohng ah?
sim-data.how-long-is-it-valid,zoong duh-uk bow loh ah?
etiquette.remove-shoes,kaw figh kuh-ee zigh khohng ah?
children.baby-changing-room,fawng tigh tah uh doh ah?
time-scheduling.when-is-convenient,khee now tee-un ah?
time-words.next-week,twuhn sow
days-of-week.friday,tuh sow
months.may,tahng nam
directions.please-show-me-on-the-map,seen chee zoop chayn bahn doh
quick-directions.that-way,loy kee-uh
taxi.can-you-wait-for-me-here,chuh toy uh digh duh-uk khohng ah?
transit-rides.please-tell-me-where-to-get-off,seen bow toy choh soo-ung
place-words.service-desk,kwigh zik voo
border-customs.i-am-staying-at,toy uh tigh {}
pickup-meeting.please-call-me-a-ride,seen goy seh zoop toy
rail-station-words.platform,suhn gah
common-signs.caution,choo ee
utility-templates.do-you-have,kaw {} khohng ah?
accessibility.cannot-climb-stairs,toy khohng leh-oh koh tahng duh-uk
toilets.is-it-free,kaw mee-un fee khohng ah?
building-words.women,nuh
pronouns-verbs.she-her,koh eye
question-words.how,tay now
emergency-medical.it-hurts-here,toy dow uh digh
medical-conditions.i-have-epilepsy,toy bee dohng king
pharmacy-symptoms.painkiller,too-uk zahm dow
body-parts.chest,nguhk
lost-rescue.i-cannot-walk,toy khohng dee duh-uk
police-consulate.i-need-a-written-police-report,toy kuhn bee-un bahn koo-uh kohng ahn
dietary-needs.no-nuts,khohng kahk lwigh haht
food-ordering.to-go-please,chaw toy mahng vay ah
trail-words.shuttle-bus,seh choong chwee-un
weather.snow,twee-ut
trail-conditions.is-the-path-slippery,duh-ung kaw chuhn khohng ah?
trail-transport.is-there-cell-signal-here,uh digh kaw sawng khohng ah?
trail-warnings.danger,ngwee hee-um
trail-landmarks.elevation,doh kow
hotel-basics.i-would-like-a-quiet-room,chaw toy fawng ee-un ting ah
room-problems.the-key-does-not-work,teh fawng khohng muh duh-uk
laundry.please-do-not-use-bleach,seen duhng zoong too-uk tigh
introductions.i-am-from,toy dayn tuh {}
numbers-money.s,bohn
atm-cash.what-is-the-exchange-rate,tee zah bow nyee-oh ah?
attractions-tickets.please-take-a-photo-of-us,choop zoop choong toy moht tuhm ah
color-size-returns.do-you-have-a-bag,chaw toy kigh too-ee ah
social-basics.thank-you,kahm uhn
communication.i-cannot-read-understand,toy dawk khohng hee-oh
quick-responses.works-okay,ohn
phone-text-power.the-translation-may-be-inaccurate,bahn zik kaw tay khohng ching sahk
sim-data.please-activate-it,seen kik hwaht zoop
etiquette.photo-of-you,chaw toy choop hing ang / chee ah?
children.childrens-menu,kaw mawn chaw cheh em khohng ah?
time-scheduling.what-is-today-s-date,hohm nigh ngigh migh ah?
time-words.morning,boo-oy sahng
days-of-week.saturday,tuh bigh
months.june,tahng sow
directions.where-is-the-nearest,{} guhn nyuht uh doh ah?
quick-directions.on-the-left,bayn chigh
taxi.we-need-to-catch-the-high-speed-train,choong toy figh keep tow kow tohk
transit-rides.is-this-direct,kaw dee tang khohng ah?
place-words.bus-stop,chahm seh bweet
border-customs.i-am-here-for-business,toy dee kohng tahk
rail-station-words.ticket-office,fawng bahn veh
common-signs.no-entry,kuhm vow
utility-templates.please-write-the-number,seen gee soh rah zigh
accessibility.need-to-sit-down,toy kuhn ngoy ngee
toilets.do-i-need-a-coin,kaw kuhn tee-un soo high teh khohng ah?
building-words.door,kuh-uh
pronouns-verbs.they-them,haw
question-words.how-much-many,bow nyee-oh
emergency-medical.where-is-a-pharmacy,nyah too-uk uh doh ah?
medical-conditions.my-blood-sugar-is-low,toy bee hah duh-ung hwee-ut
pharmacy-symptoms.do-i-need-a-prescription,kaw kuhn duhn too-uk khohng ah?
body-parts.eye,mat
lost-rescue.i-sprained-my-ankle,toy bee bawng guhn koh chuhn
police-consulate.i-want-to-contact-my-embassy,toy moo-un lee-un hay digh suh kwahn
dietary-needs.no-seafood,khohng high sahn
food-ordering.check-please,ting tee-un ah
trail-words.park-shuttle,seh dee-un tahm kwahn
weather.wind,zaw
trail-transport.do-you-have-a-map,kaw bahn doh khohng ah?
trail-warnings.beware-falling-rocks,kuhn tuhn dah ruh-ee
trail-landmarks.sunset,hwahng hohn
hotel-basics.is-there-a-washing-machine,kaw migh zat khohng ah?
room-problems.the-toilet-will-not-flush,bohn koh khohng sah nuh-uk duh-uk
laundry.laundromat,tee-um zat
introductions.where-are-you-from,kway uh doh ah?
numbers-money.w,nam
atm-cash.no-money-came-out,migh khohng nyah tee-un
social-basics.you-are-welcome,khohng kaw zee
communication.please-say-it-again,seen noy ligh
quick-responses.does-not-work-no,khohng ohn
phone-text-power.please-confirm,seen sahk nyuhn zoop
sim-data.do-you-have-an-esim,kaw ee-seem khohng ah?
etiquette.may-i-sit-here,toy ngoy digh duh-uk khohng ah?
children.suitable-for-children,kigh nigh huhp vuh-ee cheh em khohng ah?
time-scheduling.what-day-is-it-today,hohm nigh tuh migh ah?
time-words.afternoon,boo-oy chee-oh
days-of-week.sunday,choo nyuht
months.july,tahng bigh
directions.where-am-i,toy dahng uh doh ah?
quick-directions.on-the-right,bayn figh
taxi.please-use-the-meter,seen buht dohng hoh
transit-rides.do-i-need-to-transfer,kaw figh doy seh khohng ah?
place-words.luggage-storage,nuh-ee guh-ee hang lee
border-customs.i-have-a-return-ticket,toy kaw veh khuh hoy
rail-station-words.waiting-room,fawng chuh
common-signs.no-smoking,kuhm hoot too-uk
utility-templates.i-need,toy kuhn {}
accessibility.accessible-restroom,kaw nyah vay sing chaw nguh-oy khwee-ut tuht khohng?
toilets.is-the-tap-water-safe-to-drink,nuh-uk migh oo-ung duh-uk khohng ah?
building-words.key,chee-uh khwah
pronouns-verbs.my-mine,koo-uh toy
question-words.how-many,migh
emergency-medical.please-take-me-to-a-hospital,seen duh-uh toy dayn bayng vee-un
medical-conditions.i-need-my-inhaler,toy kuhn bing seet hen
pharmacy-symptoms.i-have-a-headache,toy bee dow doh
body-parts.ear,tigh
lost-rescue.please-contact-rescue,seen lee-un hay doy kew hoh
police-consulate.i-need-it-for-my-insurance,toy kuhn kigh nigh chaw bow hee-um
dietary-needs.i-am-vegetarian,toy an chigh
food-ordering.does-it-contain,mawn nigh kaw {} khohng ah?
trail-words.steps,buhk tahng
weather.storm,bow
trail-warnings.first-aid-station,chahm suh kew
room-problems.the-light-does-not-work,den khohng sahng
laundry.please-iron-this,seen oo-ee zoop kigh nigh
introductions.how-are-you,kaw khweh khohng ah?
numbers-money.li,sow
atm-cash.where-can-i-change-money,doy tee-un uh doh ah?
social-basics.excuse-me-sorry,seen loy
communication.please-write-it-down,seen vee-ut rah zigh
sim-data.my-data-is-not-working,day-tah khohng zoong duh-uk
etiquette.queue-for,digh lah hahng chuh {} figh khohng ah?
children.minimum-age,bow nyee-oh too-oy chuh layn ah?
time-scheduling.what-time-does-it-open,migh zuh muh kuh-uh ah?
time-words.evening,boo-oy toy
months.august,tahng tahm
directions.which-way,dee huh-ung now ah?
quick-directions.across-from-here,doy zee-un digh
transit-rides.is-it-delayed,kaw bee chay khohng ah?
border-customs.i-am-visiting-family,toy tam zah ding
rail-station-words.train-number,soh hee-oh tow
common-signs.no-photography,kuhm choop ang
utility-templates.is-there-nearby,guhn digh kaw {} khohng ah?
accessibility.station-assistance,uh gah kaw hoh chuh nguh-oy khwee-ut tuht khohng ah?
toilets.it-is-urgent,guhp lam ah
pronouns-verbs.your-yours,koo-uh bahn
question-words.why,tigh sow
medical-conditions.i-am-pregnant,toy dahng mahng tigh
pharmacy-symptoms.paracetamol-acetaminophen,pah-rah-say-tah-mawl
body-parts.leg,chuhn
lost-rescue.my-companion-is-missing,nguh-oy dee koong toy bee lahk
police-consulate.i-need-an-interpreter,toy kuhn nguh-oy fee-un zik
dietary-needs.i-am-vegan,toy an twuhn chigh
food-ordering.is-this-vegetarian,mawn nigh lah mawn chigh ah?
trail-words.up-uphill,layn zohk
weather.ice,bang
trail-warnings.service-suspended,tahm nguhng fook voo
trail-landmarks.water-point,dee-um ligh nuh-uk
room-problems.please-send-someone,seen chaw nguh-oy dayn suh-uh
laundry.detergent,boht zat
introductions.i-am-a-tourist,toy lah khak zoo lik
numbers-money.q,bigh
atm-cash.the-machine-is-out-of-service,migh khohng hwaht dohng
social-basics.sorry,toy seen loy
communication.please-wait-a-moment,seen chuh moht choot
sim-data.does-it-need-registration,kaw kuhn dang kee khohng ah?
etiquette.dressed-appropriately,toy mak tay nigh duh-uk khohng ah?
children.do-children-pay,cheh em kaw figh moo-uh veh khohng ah?
time-scheduling.what-time-does-it-close,migh zuh dawng kuh-uh ah?
time-words.spring,moo-uh swuhn
months.september,tahng cheen
directions.can-i-walk-there,dee boh dayn duh-uk khohng ah?
quick-directions.in-front,fee-uh chuh-uk
transit-rides.i-am-in-a-hurry,toy dahng voy
border-customs.this-is-for-personal-use,doh zoong kah nyuhn
rail-station-words.carriage,twah tow
common-signs.do-not-touch,khohng chahm vow
utility-templates.how-much-is,{} bow nyee-oh tee-un ah?
accessibility.help-me-carry,seen zoop toy mahng kigh nigh
toilets.may-i-have-the-toilet-key,chaw toy muh-un chee-uh khwah nyah vay sing ah
pronouns-verbs.be-called-call,tayn lah / goy
question-words.this,kigh nigh
medical-conditions.i-carry-an-adrenaline-injector,toy kaw boot tee-um ad-ray-nah-leen
pharmacy-symptoms.how-much-should-i-take,oo-ung bow nyee-oh ah?
body-parts.arm,kang tigh
police-consulate.please-leave-me-alone,seen day toy ee-un
dietary-needs.i-do-not-eat,toy khohng an {}
trail-words.down-downhill,soo-ung zohk
weather.fog,suh-ung moo
room-problems.the-heating-does-not-work,migh suh-oy khohng chigh
laundry.dry-cleaning,zat khoh
introductions.this-is-my-husband-wife,digh lah chohng / vuh toy
numbers-money.b,tahm
atm-cash.please-give-me-smaller-notes,seen chaw toy tuh nyaw huhn
social-basics.no-problem,khohng sow
communication.can-you-help-me,zoop toy duh-uk khohng ah?
sim-data.i-have-no-signal,toy khohng kaw sawng
etiquette.did-not-mean-to-offend,"toy khohng koh ee, seen tuh loy"
children.crib,kaw noy em beh khohng ah?
time-words.summer,moo-uh heh
months.october,tahng muh-oy
directions.how-far-is-it,bow sah ah?
quick-directions.behind,fee-uh sow
transit-rides.which-platform,suhn gah now ah?
border-customs.i-am-in-transit,toy kwah kang
rail-station-words.seat,choh ngoy
common-signs.temporarily-closed,tahm dawng kuh-uh
utility-templates.is-this,digh lah {} figh khohng ah?
accessibility.board-first,toy layn chuh-uk duh-uk khohng ah?
toilets.there-is-no-toilet-paper,hayt zigh vay sing roy ah
pronouns-verbs.have,kaw
question-words.that,kigh kee-uh
medical-conditions.i-take-medicine-for,toy oo-ung too-uk chee {}
pharmacy-symptoms.i-am-vomiting,toy bee nohn
body-parts.foot,bahn chuhn
police-consulate.i-was-robbed,toy bee kuh-up
dietary-needs.i-am-allergic-to,toy bee zee uhng vuh-ee {}
trail-words.one-way,moht chee-oh
weather.heat,nawng
laundry.dryer,migh sigh
introductions.this-is-my-daughter-son,digh lah kawn gigh / kawn chigh toy
numbers-money.ji,cheen
atm-cash.do-you-have-change,kaw tee-un leh khohng ah?
social-basics.i-do-not-know,toy khohng bee-ut
communication.please-show-me-the-text,seen chaw toy sem chuh
sim-data.please-write-the-wifi-password,seen gee muht khoh wai-fai
etiquette.what-is-customary,uh digh tuh-ung lahm tay now ah?
children.warm-this-bottle,seen huhm nawng bing suh-uh nigh
time-words.fall,moo-uh too
months.november,tahng muh-oy moht
directions.which-exit,loy rah now ah?
transit-rides.what-time-is-the-next-one,chwee-un sow migh zuh ah?
border-customs.i-have-in-cash,toy mahng teh-oh {} tee-un mat
rail-station-words.last-train,chwee-un tow koo-oy
utility-templates.please,chaw toy {} ah
accessibility.door-width,kuh-uh rohng bow nyee-oh ah?
toilets.toilet-paper,zigh vay sing
pronouns-verbs.do-not-have,khohng kaw
question-words.here,uh digh
medical-conditions.i-take-blood-thinners,toy zoong too-uk chohng dohng mow
pharmacy-symptoms.rehydration-salts,oh-ray-sawl
body-parts.hand,bahn tigh
police-consulate.i-want-a-lawyer,toy moo-un kaw lwuht suh
trail-words.round-trip,khuh hoy
weather.cold,lang
laundry.coin-operated,migh zoong soo
introductions.i-am-traveling-alone,toy dee zoo lik moht ming
numbers-money.sh,muh-oy
atm-cash.may-i-pay-in,chah bang {} duh-uk khohng ah?
sim-data.sim-card,teh seem
etiquette.keep-the-change,khohng kuhn chah ligh ah
children.car-seat,choong toy kuhn gay oh toh chaw beh
time-words.winter,moo-uh dohng
months.december,tahng muh-oy high
directions.can-you-show-me-the-way,chee duh-ung zoop toy vuh-ee ah
transit-rides.i-went-past-my-stop,toy dee kwah chahm roy
border-customs.this-is-a-gift,digh lah kwah
rail-station-words.delayed,chuhm chwee-un
utility-templates.i-am-looking-for,toy dahng teem {}
accessibility.wheelchair-width,seh lan koo-uh toy rohng {} sang-tee-met
toilets.it-is-out-of-order,bee hawng roy ah
pronouns-verbs.go,dee
question-words.there,uh daw
medical-conditions.medicine-allergy,zee uhng too-uk: {}
pharmacy-symptoms.how-many-times-a-day,ngigh oo-ung migh luhn ah?
body-parts.knee,doh goy
police-consulate.please-notify-my-consulate,seen bow chaw lang suh kwahn koo-uh toy
weather.humid,uhm
numbers-money.y-b-i,moht cham
atm-cash.please-charge-in-local-currency,seen ting bang tee-un vee-ut
sim-data.where-can-i-buy-a-plug-adapter,moo-uh oh kam chwee-un uh doh ah?
children.stroller,seh digh
directions.north,bak
border-customs.where-do-i-collect-my-baggage,ligh hang lee uh doh ah?
rail-station-words.final-stop,gah koo-oy
utility-templates.do-you-accept,kaw nyuhn {} khohng ah?
accessibility.hard-of-hearing,toy ngeh kem
toilets.out-of-order,hawng
pronouns-verbs.come,dayn
question-words.a-little,moht choot
medical-conditions.this-card-lists-my-conditions,teh nigh gee bayng koo-uh toy
pharmacy-symptoms.i-have-a-stomach-ache,toy bee dow boong
body-parts.ankle,koh chuhn
police-consulate.i-am-calling-the-police,toy seh goy kohng ahn
weather.sunrise,bing ming
numbers-money.y-qi-n,moht ngeen
atm-cash.where-can-i-get-coins,doy tee-un soo uh doh ah?
sim-data.mobile-data,zuh lee-oh zee dohng
children.playground,kaw khoo voo-ee chuh-ee khohng ah?
directions.south,nahm
border-customs.how-long-may-i-stay,toy duh-uk uh bow loh ah?
rail-station-words.ticket-validator,migh swaht veh
utility-templates.i-cannot-find,toy khohng teem tigh {}
