concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
time-words.this-week,ອາທິດນີ້,,athitni,ʔaː˩tʰit˧niː˥˨,ອາທິດ is both 'week' and 'Sunday',2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.next-week,ອາທິດໜ້າ,,athitna,ʔaː˩tʰit˧naː˧˩,"literally 'the face week', which is Lao for 'next'",2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.morning,ຕອນເຊົ້າ,,tonxao,tɔːn˩saw˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.afternoon,ຕອນບ່າຍ,,tonbay,tɔːn˩baːj˧,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.evening,ຕອນແລງ,,tonlèng,tɔːn˩lɛːŋ˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.night,ຕອນກາງຄືນ,,tonkangkhun,tɔːn˩kaːŋ˩kʰɯːn˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.spring,ລະດູໃບໄມ້ປົ່ງ,,ladoubaimaipông,laʔ˧duː˩baj˩maj˥˨poŋ˧,a calendrical name: Laos has a rainy and a dry season rather than four,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.summer,ລະດູຮ້ອນ,,ladouhon,laʔ˧duː˩hɔːn˥˨,"the hot months of March to May, before the rains",2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.fall,ລະດູໃບໄມ້ຫຼົ່ນ,,ladoubaimailôn,laʔ˧duː˩baj˩maj˥˨lon˧,"a calendrical name, as spring is",2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.winter,ລະດູໜາວ,,ladounao,laʔ˧duː˩naːw˩,the cool dry months of November to February,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
days-of-week.monday,ວັນຈັນ,,vanchan,wan˧˥can˩,literally 'moon day',2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
days-of-week.tuesday,ວັນອັງຄານ,,vanangkhan,wan˧˥ʔaŋ˩kʰaːn˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
days-of-week.wednesday,ວັນພຸດ,,vanphout,wan˧˥pʰut˧,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
days-of-week.thursday,ວັນພະຫັດ,,vanphahat,wan˧˥pʰaʔ˧hat˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
days-of-week.friday,ວັນສຸກ,,vansouk,wan˧˥suk˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
days-of-week.saturday,ວັນເສົາ,,vansao,wan˧˥saw˩,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
days-of-week.sunday,ວັນອາທິດ,,vanathit,wan˧˥ʔaː˩tʰit˧,literally 'sun day',2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.january,ມັງກອນ,,mangkon,maŋ˧˥kɔːn˩,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.february,ກຸມພາ,,koumpha,kum˩pʰaː˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.march,ມີນາ,,mina,miː˧˥naː˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.april,ເມສາ,,mésa,meː˧˥saː˩,Lao New Year falls in mid-April,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.may,ພຶດສະພາ,,phutsapha,pʰɯt˧saʔ˧˥pʰaː˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.june,ມິຖຸນາ,,mithouna,miʔ˧tʰuʔ˧˥naː˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.july,ກໍລະກົດ,,kolakôt,kɔː˩laʔ˧kot˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.august,ສິງຫາ,,singha,siŋ˩haː˩,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.september,ກັນຍາ,,kangna,kan˩ɲaː˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.october,ຕຸລາ,,toula,tuʔ˧˥laː˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.november,ພະຈິກ,,phachik,pʰaʔ˧cik˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
months.december,ທັນວາ,,thanva,tʰan˧˥waː˧˥,,2,"CLDR / Intl.DateTimeFormat Lao day and month names, quoted rather than translated;ipa=lo-g2p"
time-words.clock-offset,"ໂມງແບບພາສາສະວາຮີລິເລີ່ມຕອນຕາເວັນຂຶ້ນ ຫ່າງຈາກໂມງໃນໂທລະສັບຫົກຊົ່ວໂມງ saa moja ແມ່ນ 7:00, saa sita ແມ່ນຕອນທ່ຽງ, saa kumi ແມ່ນ 16:00 ໃຫ້ບອກເປັນເລກ ຫຼື ຖາມວ່າ saa ngapi za kizungu ເພື່ອເອົາໂມງແບບຝຣັ່ງ",,"môngbèpphasasavahilileumtontavénkhun hangchakmôngnaithlôsaphôkxouamông saa moja mèn 7:00, saa sita mèntonthiang, saa kumi mèn 16:00 haibokpénlék lu thamva saa ngapi za kizungu phuaaomôngbèpfrang",,,2,"Standard descriptions of the Swahili clock, as in the `sw` pack's own note"
