concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
hotel-requests.can-i-check-in-early,વહેલું ચેક-ઇન થઈ શકે?,,vahēluṁ cēk-in thaī śakē?,ʋəheːlũ ceːkɪn tʰʌi ʃʌkeː,can an early check-in be done?,2,gu-agent-v1;ipa=espeak
hotel-requests.another-night,એક રાત વધુ મળી શકે?,,ēk rāt vadhu maḷī śakē?,eːk ɾaːt ʋʌdʰu mʌɭi ʃʌkeː,may one more night be got?,2,gu-agent-v1;ipa=espeak
hotel-requests.is-there-a-safe,લૉકર છે?,,lôkar chē?,lɔkəɾ cʰeː,is there a locker?,2,gu-agent-v1;ipa=espeak
hotel-requests.another-blanket,એક વધુ ધાબળો આપો,,ēk vadhu dhābaḷō āpō,eːk ʋʌdʰu dʰaːbʌɭoː aːpoː,give one more blanket,2,gu-agent-v1;ipa=espeak
hotel-requests.wake-up-call,મને {} વાગ્યે ઉઠાડી દો,,manē {} vāgyē uṭhāḍī dō,mʌneː {} ʋaːɡjeː ʊʈʰaːɖi doː,wake me at {} o clock,2,gu-agent-v1;ipa=espeak
room-problems.there-is-a-problem-with-the-room,ઓરડામાં એક તકલીફ છે,,ōraḍāmāṁ ēk takalīph chē,oːɾɖaːmã eːk təkliːpʰ cʰeː,there is one trouble in the room,2,gu-agent-v1;ipa=espeak
room-problems.the-air-conditioning-is-broken,એસી ચાલતું નથી,,ēsī cālatuṁ nathī,eːsi caːlʌtũ nʌtʰi,the AC does not run,2,gu-agent-v1;ipa=espeak
room-problems.there-is-no-hot-water,ગરમ પાણી આવતું નથી,,garam pāṇī āvatuṁ nathī,ɡəɾʌm paːɳi aːʋʌtũ nʌtʰi,hot water does not come,2,gu-agent-v1;ipa=espeak
room-problems.can-i-change-rooms,ઓરડો બદલી શકાય?,,ōraḍō badalī śakāy?,oːɾʌɖoː bədʌli ʃəkaːjə,can the room be changed?,2,gu-agent-v1;ipa=espeak
room-problems.the-room-is-too-noisy,ઓરડામાં બહુ ઘોંઘાટ છે,,ōraḍāmāṁ bahu ghōṁghāṭ chē,oːɾɖaːmã bʌhu ɡʰonɡʰaːʈ cʰeː,there is much noise in the room,2,gu-agent-v1;ipa=espeak
room-problems.the-key-does-not-work,ચાવી ચાલતી નથી,,cāvī cālatī nathī,caːʋi caːlʌti nʌtʰi,the key does not run,2,gu-agent-v1;ipa=espeak
room-problems.the-toilet-will-not-flush,ફ્લશ ચાલતું નથી,,phlaś cālatuṁ nathī,pʰlʌʃ caːlʌtũ nʌtʰi,the flush does not run,2,gu-agent-v1;ipa=espeak
room-problems.the-light-does-not-work,બત્તી થતી નથી,,battī thatī nathī,bʌtti tʰʌti nʌtʰi,the light does not come on,2,gu-agent-v1;ipa=espeak
room-problems.please-send-someone,કોઈને ઠીક કરવા મોકલો,,kōīnē ṭhīk karavā mōkalō,koːiːneː ʈʰiːk kəɾʌʋaː moːkʌloː,send someone to put it right,2,gu-agent-v1;ipa=espeak
room-problems.the-heating-does-not-work,હીટર ચાલતું નથી,,hīṭar cālatuṁ nathī,hiːʈəɾ caːlʌtũ nʌtʰi,the heater does not run,2,gu-agent-v1;ipa=espeak
laundry.please-wash-these-clothes,આ કપડાં ધોવડાવી આપો,,ā kapaḍāṁ dhōvaḍāvī āpō,aː kəpʌɖã dʰoːʋɖaːʋi aːpoː,get these clothes washed for me,2,gu-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,લૉન્ડ્રી ક્યાં છે?,,lônḍrī kyāṁ chē?,lɔnɖɾi kjã cʰeː,where is a laundry?,2,gu-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,ક્યારે તૈયાર થશે?,,kyārē taiyār thaśē?,kjaːɾeː tɛjaːɾ tʰʌʃeː,when will it be ready?,2,gu-agent-v1;ipa=espeak
laundry.how-much-per-kilo,એક કિલોના કેટલા?,,ēk kilōnā kēṭalā?,eːk kɪloːnaː keːʈʌlaː,how much for one kilo?,2,gu-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,આજે તૈયાર થઈ જશે?,,ājē taiyār thaī jaśē?,aːɟeː tɛjaːɾ tʰʌi ɟʌʃeː,will it be ready today?,2,gu-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,બ્લીચ ન નાખો,,blīc n nākhō,bliːc nə naːkʰoː,do not put in bleach,2,gu-agent-v1;ipa=espeak
laundry.laundromat,લૉન્ડ્રી,,lônḍrī,lɔnɖɾi,laundry,2,gu-agent-v1;ipa=espeak
laundry.please-iron-this,આને પ્રેસ કરી આપો,,ānē prēs karī āpō,aːneː pɾeːs kʌɾi aːpoː,iron this for me,2,gu-agent-v1;ipa=espeak
laundry.detergent,ડિટર્જન્ટ,,ḍiṭarjanṭ,ɖɪʈəɾɟʌnʈ,detergent,2,gu-agent-v1;ipa=espeak
laundry.dry-cleaning,ડ્રાય ક્લીનિંગ,,ḍrāy klīniṁg,ɖɾaːjə klinɪnɡ,dry cleaning,2,gu-agent-v1;ipa=espeak
laundry.dryer,ડ્રાયર,,ḍrāyar,ɖɾaːjɾ,dryer,2,gu-agent-v1;ipa=espeak
laundry.coin-operated,સિક્કો નાખીને,,sikkō nākhīnē,sɪkkoː naːkʰiːneː,by inserting a coin,2,gu-agent-v1;ipa=espeak
massage-spa.please-stop,"બંધ કરો, હવે આગળ નહીં",,"baṁdh karō, havē āgaḷ nahīṁ","bʌndʰ kʌɾoː, hʌʋeː aːɡʌɭ nʌhĩ","stop, no further now -- no softener, the row ends the session",2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;ipa=espeak
massage-spa.please-pause,"થોડી વાર થોભો, પછી ચાલુ કરો",,"thōḍī vār thōbhō, pachī cālu karō","tʰoːɖi ʋaːɾ tʰoːbʰoː, pʌcʰi caːlu kʌɾoː","pause a short while, then carry on",2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;ipa=espeak
massage-spa.please-avoid-this-area,આ જગ્યાએ માલિશ ન કરો,,ā jagyāē māliś na karō,aː ɟəɡjaːeː maːlɪʃ nə kʌɾoː,,2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;ipa=espeak
massage-spa.stronger-pressure,થોડું વધારે દબાણ આપો,,thōḍuṁ vadhārē dabāṇ āpō,tʰoːɖũ ʋədʰaːɾeː dəbaːɳ aːpoː,દબાણ is the pressure word Gujarati Ayurvedic writing uses of a massage stroke,2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-dabaan-pair;ipa=espeak
massage-spa.more-gently,હળવા હાથે માલિશ કરો,,haḷavā hāthē māliś karō,həɭʌʋaː haːtʰeː maːlɪʃ kʌɾoː,"massage with a light hand -- ધીમે was rejected, the pack spells 'more slowly' with it",2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-dabaan-pair;ipa=espeak
massage-spa.that-pressure-is-good,"દબાણ બરાબર છે, આમ જ ચાલુ રાખો",,"dabāṇ barābar chē, ām ja cālu rākhō","dəbaːɳ bəɾaːbəɾ cʰeː, aːm ɟə caːlu ɾaːkʰoː","the pressure is right, keep it just like this",2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-dabaan-pair;ipa=espeak
massage-spa.focus-on-shoulders,ખભા પર વધારે માલિશ કરો,,khabhā par vadhārē māliś karō,kʰʌbʰaː pʌɾ ʋədʰaːɾeː maːlɪʃ kʌɾoː,,2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;ipa=espeak
massage-spa.focus-on-back,પીઠ પર વધારે માલિશ કરો,,pīṭh par vadhārē māliś karō,piːʈʰ pʌɾ ʋədʰaːɾeː maːlɪʃ kʌɾoː,,2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;ipa=espeak
massage-spa.focus-on-neck,ગરદન પર વધારે માલિશ કરો,,garadan par vadhārē māliś karō,ɡəɾədʌn pʌɾ ʋədʰaːɾeː maːlɪʃ kʌɾoː,,2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;ipa=espeak
massage-spa.focus-on-feet,પગ પર વધારે માલિશ કરો,,pag par vadhārē māliś karō,pʌɡ pʌɾ ʋədʰaːɾeː maːlɪʃ kʌɾoː,"પગ is leg and foot alike, as body-parts.leg says; પગની માલિશ is what the service is called",2,spa-board-v1;gu-agent-v1;gu-vikaspedia-abhyanga;ipa=espeak
massage-spa.reply-i-will-avoid-that-area,"ઠીક છે, આ જગ્યા છોડી દઈશ",,"ṭhīk chē, ā jagyā chōḍī daīś","ʈʰiːk cʰeː, aː ɟʌɡjaː cʰoːɖi dəiːʃ",the -īś future does not agree with the speaker where a perfective participle would,2,spa-reply-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-neutral-reply;rule=future-tense-does-not-agree-with-speaker;ipa=espeak
massage-spa.reply-which-area-exactly,તમે કઈ જગ્યાની વાત કરો છો?,,tamē kaī jagyānī vāt karō chō?,tʌmeː kʌi ɟəɡjaːni ʋaːt kʌɾoː cʰoː,"which place are you talking about -- the simple present કરો છો carries no gender where આપ plus a participle would, and બરાબર is left to the pressure row",2,spa-reply-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-neutral-reply;ipa=espeak
massage-spa.reply-cannot-avoid-this-treatment,આ સારવારમાં આ જગ્યા છોડી શકાય નહીં,,ā sāravāramāṁ ā jagyā chōḍī śakāy nahīṁ,aː saːɾʋaːɾʌmã aː ɟʌɡjaː cʰoːɖi ʃəkaːjə nʌhĩ,"impersonal શકાય, so nothing agrees with anyone",2,spa-reply-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-neutral-reply;ipa=espeak
massage-spa.reply-does-it-hurt-there,આ જગ્યાએ દુખે છે?,,ā jagyāē dukhē chē?,aː ɟəɡjaːeː dukʰeː cʰeː,"follows emergency-medical.it-hurts-here; no આપ and no participle, which together are the Indo-Aryan trap",2,spa-reply-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-neutral-reply;rule=no-second-person-participle;ipa=espeak
massage-spa.reply-ask-supervisor,"મને ખાતરી નથી, મેનેજરને પૂછવું પડશે",,"manē khātarī nathī, mēnējaranē pūchavuṁ paḍaśē","mʌneː kʰaːtʌɾi nʌtʰi, meːneːɟəɾʌneː puːcʰʌʋũ pəɖʌʃeː","મને ખાતરી નથી is nominal and agrees with ખાતરી, not with the speaker; મેનેજર is not sex-marked",2,spa-reply-v1;gu-agent-v1;gu-vikaspedia-abhyanga;gu-neutral-reply;rule=possessive-agrees-with-possessed-noun-not-speaker;ipa=espeak
