metabolite_name	refmet_name	rt	mz	neutral_mass	formula
PC P-30:0 or PC O-30:1	PC P-30:0 or PC O-30:1	6.63	690.543774999999	689.535942	C38H76NO7P
PC P-32:1 or PC O-32:2	PC P-32:1 or PC O-32:2	6.55	716.557202699999	715.551592	C40H78NO7P
PC P-32:0 or PC O-32:1	PC P-32:0 or PC O-32:1	6.57	718.5736326	717.567242	C40H80NO7P
PC O-32:0	PC O-32:0	6.64	720.589058799999	719.582892	C40H82NO7P
PC P-34:3 or PC O-34:4	PC P-34:3 or PC O-34:4	6.52	740.5581885	739.551592	C42H78NO7P
PC P-34:2 or PC O-34:3	PC P-34:2 or PC O-34:3	6.52	742.5738324	741.567242	C42H80NO7P
PC P-34:1 or PC O-34:2	PC P-34:1 or PC O-34:2	6.609	744.58936	743.582892	C42H82NO7P
PC P-34:0 or PC O-34:1	PC P-34:0 or PC O-34:1	6.61	746.604057099999	745.598542	C42H84NO7P
PC P-35:3 or PC O-35:4	PC P-35:3 or PC O-35:4	6.49	754.573878799999	753.567242	C43H80NO7P
PC P-35:2 or PC O-35:3	PC P-35:2 or PC O-35:3	6.5	756.5894412	755.582892	C43H82NO7P
PC P-36:5 or PC O-36:6	PC P-36:5 or PC O-36:6	6.447	764.55835	763.551592	C44H78NO7P
PC P-36:4 or PC O-36:5	PC P-36:4 or PC O-36:5	6.439	766.573729999999	765.567242	C44H80NO7P
PC P-36:3 or PC O-36:4	PC P-36:3 or PC O-36:4	6.469	768.58771	767.582892	C44H82NO7P
PC P-36:2 or PC O-36:3	PC P-36:2 or PC O-36:3	6.47	770.604968099999	769.598542	C44H84NO7P
PC P-35:1 or PC O-35:2	PC P-35:1 or PC O-35:2	6.42	780.5895719	757.598542	C43H84NO7P
PC P-38:6 or PC O-38:7	PC P-38:6 or PC O-38:7	6.408	790.573909999999	789.567242	C46H80NO7P
PC P-38:5 or PC O-38:6	PC P-38:5 or PC O-38:6	6.40399999999999	792.58978	791.582892	C46H82NO7P
PC P-38:4 or PC O-38:5	PC P-38:4 or PC O-38:5	6.4	794.6047651	793.598542	C46H84NO7P
PC 28:0	PC 28:0	6.7	678.5057195	677.499557	C36H72NO8P
PC 30:2	PC 30:2	6.66	702.506099299999	701.499557	C38H72NO8P
PC 30:1	PC 30:1	6.65	704.522266599999	703.515207	C38H74NO8P
PC 30:0	PC 30:0	6.65	706.537665999999	705.530857	C38H76NO8P
PC 31:1	PC 31:1	6.64	718.538281399999	717.530857	C39H76NO8P
PC 31:0	PC 31:0	6.64	720.553546099999	719.546507	C39H78NO8P
PC 32:3	PC 32:3	6.64	728.5217353	727.515207	C40H74NO8P
PC 32:2	PC 32:2	6.631	730.53723	729.530857	C40H76NO8P
PC 32:0	PC 32:0	6.63	734.5690894	733.562157	C40H80NO8P
PC 33:2	PC 33:2	6.617	744.553649999999	743.546507	C41H78NO8P
PC 33:1	PC 33:1	6.62	746.5685297	745.562157	C41H80NO8P
PC 33:0	PC 33:0	6.61	748.582984099999	747.577807	C41H82NO8P
PC 34:4	PC 34:4	6.53	754.5370741	753.530857	C42H76NO8P
PC 34:2	PC 34:2	6.58699999999999	758.56885	757.562157	C42H80NO8P
PC 35:3	PC 35:3	6.55	770.5689274	769.562157	C43H80NO8P
PC 35:2	PC 35:2	6.548	772.585209999999	771.577807	C43H82NO8P
PC 36:5	PC 36:5	6.49099999999999	780.55322	779.546507	C44H78NO8P
PC 36:4	PC 36:4	6.482	782.56885	781.562157	C44H80NO8P
PC 36:3	PC 36:3	6.52599999999999	784.58398	783.577807	C44H82NO8P
LPE 18:2	LPE 18:2	6.11	478.2925947	477.285541999999	C23H44NO7P
LPE 18:0	LPE 18:0	6.12	482.3239236	481.316842	C23H48NO7P
LPE 20:4	LPE 20:4	6.05	502.292606499999	501.285541999999	C25H44NO7P
LPE P-18:0 or LPE O-18:1	LPE P-18:0 or LPE O-18:1	6.01	466.3287636	465.321927	C23H48NO6P
PE P-34:2 or PE O-34:3	PE P-34:2 or PE O-34:3	5.339	700.527469999999	699.520292	C39H74NO7P
PE P-34:0 or PE O-34:1	PE P-34:0 or PE O-34:1	5.4	704.558928499999	703.551592	C39H78NO7P
PE P-35:2 or PE O-35:3	PE P-35:2 or PE O-35:3	5.32	714.542670499999	713.535942	C40H76NO7P
PE P-36:4 or PE O-36:5	PE P-36:4 or PE O-36:5	5.26499999999999	724.526669999999	723.520292	C41H74NO7P
PE P-36:2 or PE O-36:3	PE P-36:2 or PE O-36:3	5.3	728.5584628	727.551592	C41H78NO7P
PE P-36:1 or PE O-36:2	PE P-36:1 or PE O-36:2	5.38	730.572767699999	729.567242	C41H80NO7P
PE P-38:6 or PE O-38:7	PE P-38:6 or PE O-38:7	5.243	748.527159999999	747.520292	C43H74NO7P
PE P-38:5 or PE O-38:6	PE P-38:5 or PE O-38:6	5.234	750.542789999999	749.535942	C43H76NO7P
PE P-38:4 or PE O-38:5	PE P-38:4 or PE O-38:5	5.24	752.5580124	751.551592	C43H78NO7P
PE P-39:6 or PE O-39:7	PE P-39:6 or PE O-39:7	5.23	762.542602399999	761.535942	C44H76NO7P
PE P-39:4 or PE O-39:5	PE P-39:4 or PE O-39:5	5.22	766.573875199999	765.567242	C44H80NO7P
PE P-40:6 or PE O-40:7	PE P-40:6 or PE O-40:7	5.21199999999999	776.558589999999	775.551592	C45H78NO7P
PE P-40:4 or PE O-40:5	PE P-40:4 or PE O-40:5	5.23	780.589728599999	779.582892	C45H82NO7P
PE 32:1	PE 32:1	5.41	690.5068244	689.499557	C37H72NO8P
PE 34:2	PE 34:2	5.391	716.521849999999	715.515207	C39H74NO8P
PE 34:1	PE 34:1	5.39	718.5383279	717.530857	C39H76NO8P
PE 35:2	PE 35:2	5.38	730.537868	729.530857	C40H76NO8P
PE 36:4	PE 36:4	5.32	740.5220013	739.515207	C41H74NO8P
PE 36:3	PE 36:3	5.35599999999999	742.53778	741.530857	C41H76NO8P
PE 36:2	PE 36:2	5.36	744.553031799999	743.546507	C41H78NO8P
PE 37:4	PE 37:4	5.3	754.5382067	753.530857	C42H76NO8P
PE 38:6	PE 38:6	5.3	764.521796099999	763.515207	C43H74NO8P
PE 38:4	PE 38:4	5.29	768.5529542	767.546507	C43H78NO8P
PE 40:6	PE 40:6	5.26499999999999	792.553469999999	791.546507	C45H78NO8P
PS P-36:2 or PS O-36:3	PS P-36:2 or PS O-36:3	6.65	772.5486611	771.541422	C42H78NO9P
PS P-36:1 or PS O-36:2	PS P-36:1 or PS O-36:2	6.66	774.5642239	773.557072	C42H80NO9P
AICAR	AICAR	4.78	259.1034672	258.096421	C9H14N4O5
7-Methylguanine	7-Methylguanine	5.76	166.0722064	165.06506	C6H7N5O
Adenosine	Adenosine	4.97	268.1038346	267.096755	C10H13N5O4
Inosine	Inosine	4.78	269.087886099999	268.080770999999	C10H12N4O5
1-Methyladenosine	1-Methyladenosine	7.71	282.119523899999	281.112405	C11H15N5O4
Guanosine	Guanosine	5.18	284.0987958	283.09167	C10H13N5O5
5'-Methylthioadenosine	5'-Methylthioadenosine	4.19	298.0966684	297.089562	C11H15N5O3S
N2,N2-Dimethylguanosine	N2,N2-Dimethylguanosine	5.28	312.129928199999	311.12297	C12H17N5O5
Uric acid	Uric acid	4.05999999999999	169.0354629	168.028341	C5H4N4O3
Caffeine	Caffeine	3.02	195.0875004	194.080376	C8H10N4O2
Ectoine	Ectoine	8.97	143.08142	142.074228	C6H10N2O2
Cytidine	Cytidine	5.82	244.092619899999	243.085522	C9H13N3O5
Pseudouridine	Pseudouridine	4.04	245.076658799999	244.069538	C9H12N2O6
5-Methylcytidine	5-Methylcytidine	5.697	258.10825	257.101172	C10H15N3O5
N4-Acetylcytidine	N4-Acetylcytidine	4.22	286.103216999999	285.096087	C11H15N3O6
Thiamine	Thiamine	9.94999999999999	265.1115269	265.111759417	C12H17N4OS+
Monoethylglycinexylidide	Monoethylglycinexylidide	6.16	207.1489304	206.141913	C12H18N2O
Glycine	Glycine	7.87399999999999	76.0392499999999	75.032029	C2H5NO2
Alanine	Alanine	7.77	90.05478026	89.047679	C3H7NO2
beta-Alanine	beta-Alanine	7.966	90.0548	89.047679	C3H7NO2
Dimethylglycine	Dimethylglycine	8.56	104.070411699999	103.063329	C4H9NO2
Serine	Serine	7.62	106.0496771	105.042594	C3H7NO3
Proline	Proline	8.14	116.0704143	115.063329	C5H9NO2
Guanidoacetic acid	Guanidoacetic acid	7.809	118.06097	117.053827	C3H7N3O2
Valine	Valine	7.41199999999999	118.08609	117.078978999999	C5H11NO2
Betaine	Betaine	9.06	118.0860555	117.078978999999	C5H11NO2
Threonine	Threonine	7.53	120.0653387	119.058244	C4H9NO3
Pipecolic acid	Pipecolic acid	8.02	130.0860872	129.078979	C6H11NO2
Hydroxyproline	Hydroxyproline	7.86	132.0654006	131.058244	C5H9NO3
Creatine	Creatine	8.31	132.0765939	131.069477	C4H9N3O2
Leucine	Leucine	6.96199999999999	132.101789999999	131.094629	C6H13NO2
Isoleucine	Isoleucine	7.097	132.101779999999	131.094629	C6H13NO2
Asparagine	Asparagine	7.88	133.060645099999	132.053493	C4H8N2O3
Ornithine	Ornithine	9.25	133.0970398	132.089878	C5H12N2O2
Proline betaine	Proline betaine	9.38	144.1018191	143.094629	C7H13NO2
4-Guanidinobutanoic acid	4-Guanidinobutanoic acid	7.21	146.092287599999	145.085127	C5H11N3O2
Glutamine	Glutamine	7.99	147.076291599999	146.069143	C5H10N2O3
Lysine	Lysine	9.38	147.1126811	146.105528	C6H14N2O2
Glutamic acid	Glutamic acid	7.54	148.060309499999	147.053159	C5H9NO4
Methionine	Methionine	7.03	150.058201599999	149.051051	C5H11NO2S
Histidine	Histidine	9.36	156.0766541	155.069477	C6H9N3O2
N(6)-Methyllysine	N(6)-Methyllysine	9.72	161.1283458	160.121178	C7H16N2O2
Methionine sulfoxide	Methionine sulfoxide	8.646	166.05319	165.045966	C5H11NO3S
Phenylalanine	Phenylalanine	6.692	166.08609	165.078979	C9H11NO2
3-Methylhistidine	3-Methylhistidine	9.84	170.0922787	169.085127	C7H11N3O2
N-Acetylleucine	N-Acetylleucine	2.88	174.1123255	173.105194	C8H15NO3
N-Acetylornithine	N-Acetylornithine	8.41	175.1075672	174.100443	C7H14N2O3
Arginine	Arginine	9.16	175.1187717	174.111676	C6H14N4O2
N(6),N(6)-Dimethyl-lysine	N(6),N(6)-Dimethyl-lysine	10.33	175.143984999999	174.136828	C8H18N2O2
Citrulline	Citrulline	8.32	176.102794899999	175.095692	C6H13N3O3
Tyrosine	Tyrosine	6.761	182.08093	181.073894	C9H11NO3
N6-Acetyllysine	N6-Acetyllysine	8.406	189.123259999999	188.116093	C8H16N2O3
Homoarginine	Homoarginine	9.21	189.1343859	188.127326	C7H16N4O2
N-6-Trimethyllysine	N-6-Trimethyllysine	11.33	189.1596006	189.159754417	C9H21N2O2+
N-Acetylglutamic acid	N-Acetylglutamic acid	4.31799999999999	190.070709999999	189.063724	C7H11NO5
Symmetric dimethylarginine	Symmetric dimethylarginine	9.72	203.150119999999	202.142976	C8H18N4O2
Dimethylarginine	Dimethylarginine	9.829	203.150129999999	202.142976	C8H18N4O2
Tryptophan	Tryptophan	6.456	205.096939999999	204.089878	C11H12N2O2
N-Acetylarginine	N-Acetylarginine	8.17	217.1293707	216.122241	C8H16N4O3
Pantothenic acid	Pantothenic acid	3.21	220.117743899999	219.110674	C9H17NO5
Ergothioneine	Ergothioneine	8.23	230.095592399999	229.088499	C9H15N3O2S
alpha-N-Phenylacetylglutamine	alpha-N-Phenylacetylglutamine	4.47	265.1181126	264.111008	C13H16N2O4
Argininosuccinic acid	Argininosuccinic acid	9.249	291.129759999999	290.122636	C10H18N4O6
NA-Gly 18:2	NA-Gly 18:2	2.45	338.2688015	337.261694	C20H35NO3
Gln-Ala	Gln-Ala	8.6	218.1133619	217.106257	C8H15N3O4
Ala-Lys	Ala-Lys	9.84	218.149777	217.142642	C9H19N3O3
Ala-His	Ala-His	9.75	227.1136869	226.106591	C9H14N4O3
Ile-Pro	Ile-Pro	7.45	229.1545041	228.147393	C11H20N2O3
Arg-Ala	Arg-Ala	9.68	246.1557179	245.14879	C9H19N5O3
Lys-Asp	Lys-Asp	9.52999999999999	262.1395673	261.132472	C10H19N3O5
Anserine	Anserine	10.52	241.129442299999	240.122241	C10H16N4O3
Glutathione	Glutathione	7.78	308.0909029	307.083809	C10H17N3O6S
N1-Acetylspermidine	N1-Acetylspermidine	9.92	188.1755702	187.168462	C9H21N3O
N1,N12-Diacetylspermine	N1,N12-Diacetylspermine	10.53	287.2439934	286.236876	C14H30N4O2
sn-Glycero-3-phosphocholine	sn-Glycero-3-phosphocholine	10.48	258.109809999999	257.102827	C8H20NO6P
Hypotaurine	Hypotaurine	7.95	110.0268417	109.019751	C2H7NO2S
Taurine	Taurine	5.98	126.021772	125.014666	C2H7NO3S
Diethanolamine	Diethanolamine	7.52	106.0860687	105.078979	C4H11NO2
Trimethylamine N-oxide	Trimethylamine N-oxide	8.14899999999999	76.07563	75.068414	C3H9NO
Histamine	Histamine	9.27	112.0867446	111.079647	C5H9N3
1-Methylhistamine	1-Methylhistamine	9.772	126.1024	125.095296999999	C6H11N3
Triethanolamine	Triethanolamine	7.74	150.1123594	149.105194	C6H15NO3
Tributylamine	Tributylamine	5.77	186.221556099999	185.214349	C12H27N
Carnitine	Carnitine	8.85	162.1122746	161.105194	C7H15NO3
Choline	Choline	8.38	104.1067501	104.106990417	C5H14NO+
Acetylcholine	Acetylcholine	7.9	146.1174528	146.117555417	C7H16NO2+
Cyclohexylamine	Cyclohexylamine	6.44	100.111832699999	99.104799	C6H13N
N,N-Dicyclohexylamine	N,N-Dicyclohexylamine	5.97	182.190128499999	181.183049	C12H23N
Methylguanidine	Methylguanidine	6.81	74.07122811	73.063997	C2H7N3
3-Guanidinopropanoic acid	3-Guanidinopropanoic acid	7.46	132.0766161	131.069477	C4H9N3O2
Creatinine	Creatinine	6.5	114.0659631	113.058912	C4H7N3O
Biotin	Biotin	3.85	245.095217999999	244.088165	C10H16N2O3S
Urocanic acid	Urocanic acid	4.58	139.0500723	138.042928	C6H6N2O2
Imidazolepropionic acid	Imidazolepropionic acid	7.44	141.0657368	140.058578	C6H8N2O2
Methylimidazoleacetic acid	Methylimidazoleacetic acid	8.913	141.065699999999	140.058578	C6H8N2O2
Lenticin	Lenticin	7.32	247.1438862	246.136828	C14H18N2O2
Heme	Heme	5.003	616.17682	616.177296	C34H32FeN4O4
Acisoga	Acisoga	5.73	185.128244999999	184.121178	C9H16N2O2
Biopterin	Biopterin	4.80999999999999	238.0933081	237.08619	C9H11N5O3
N1-Methyl-2-pyridone-5-carboxamide	N1-Methyl-2-pyridone-5-carboxamide	4.29	153.0657486	152.058578	C7H8N2O2
Niacinamide	Niacinamide	3.84	123.0551145	122.048013	C6H6N2O
1-Methyl nicotinamide	1-Methyl nicotinamide	8.28999999999999	137.070747799999	137.070939416999	C7H9N2O+
Trigonelline	Trigonelline	8.94999999999999	138.054858	137.047679	C7H7NO2
Allantoin	Allantoin	3.39299999999999	159.05116	158.043991	C4H6N4O3
Cer 18:1;O2/2:0	Cer 18:1;O2/2:0	1.9	342.3001641	341.292994	C20H39NO3
Cer 18:1;O2/14:0	Cer 18:1;O2/14:0	1.91	510.487816	509.480794	C32H63NO3
Cer 18:1;O2/16:1	Cer 18:1;O2/16:1	1.9	536.503449	535.496444	C34H65NO3
Cer 18:1;O2/16:0	Cer 18:1;O2/16:0	1.9	538.519146099999	537.512094	C34H67NO3
Cer 18:1;O2/17:0	Cer 18:1;O2/17:0	1.89	552.5349098	551.527744	C35H69NO3
Cer 18:1;O2/18:2	Cer 18:1;O2/18:2	1.88	562.5190215	561.512094	C36H67NO3
Cer 18:1;O2/18:1	Cer 18:1;O2/18:1	1.88	564.534797199999	563.527744	C36H69NO3
Cer 18:1;O2/18:0	Cer 18:1;O2/18:0	1.88	566.5505811	565.543394	C36H71NO3
Cer 18:1;O2/19:0	Cer 18:1;O2/19:0	1.88	580.566218499999	579.559044	C37H73NO3
Cer 18:1;O2/20:1	Cer 18:1;O2/20:1	1.87	592.566173	591.559044	C38H73NO3
Cer 18:1;O2/20:0	Cer 18:1;O2/20:0	1.87	594.582341499999	593.574694	C38H75NO3
Cer 18:1;O2/22:1	Cer 18:1;O2/22:1	1.86	620.5973023	619.590344	C40H77NO3
Cer 18:1;O2/22:0	Cer 18:1;O2/22:0	1.86	622.6138316	621.605994	C40H79NO3
Cer 18:1;O2/23:1	Cer 18:1;O2/23:1	1.85	634.613047299999	633.605994	C41H79NO3
Cer 18:1;O2/23:0	Cer 18:1;O2/23:0	1.85	636.6294262	635.621644	C41H81NO3
Cer 18:1;O2/24:2	Cer 18:1;O2/24:2	1.85	646.6129733	645.605994	C42H79NO3
Cer 18:1;O2/24:1	Cer 18:1;O2/24:1	1.84	648.62886	647.621644	C42H81NO3
Cer 18:1;O2/24:0	Cer 18:1;O2/24:0	1.835	650.644409999999	649.637294	C42H83NO3
GlcCer 18:2;O2/22:0	GlcCer 18:2;O2/22:0	1.58	782.650086699999	781.643169	C46H87NO8
SM 18:1;O2/14:0	SM 18:1;O2/14:0	7.22	675.543150599999	674.536275999999	C37H75N2O6P
SM 18:1;O2/15:0	SM 18:1;O2/15:0	7.18	689.559110499999	688.551926	C38H77N2O6P
SM 18:1;O2/16:1	SM 18:1;O2/16:1	7.17	701.5588904	700.551926	C39H77N2O6P
SM 18:1;O2/16:0	SM 18:1;O2/16:0	7.15	703.574230299999	702.567575999999	C39H79N2O6P
SM 18:1;O2/17:1	SM 18:1;O2/17:1	7.15	715.5739653	714.567575999999	C40H79N2O6P
SM 18:1;O2/17:0	SM 18:1;O2/17:0	7.12	717.589913	716.583226	C40H81N2O6P
SM 18:1;O2/18:1	SM 18:1;O2/18:1	7.08	729.5900519	728.583226	C41H81N2O6P
SM 18:1;O2/18:0	SM 18:1;O2/18:0	7.07	731.605557299999	730.598875999999	C41H83N2O6P
SM 18:1;O2/19:0	SM 18:1;O2/19:0	7.03	745.621208499999	744.614526	C42H85N2O6P
SM 18:1;O2/20:1	SM 18:1;O2/20:1	7	757.621241599999	756.614526	C43H85N2O6P
SM 18:1;O2/20:0	SM 18:1;O2/20:0	6.99	759.637332099999	758.630176	C43H87N2O6P
SM 18:1;O2/21:0	SM 18:1;O2/21:0	6.93	773.6524364	772.645825999999	C44H89N2O6P
SM 18:1;O2/22:2	SM 18:1;O2/22:2	6.96	783.637295699999	782.630176	C45H87N2O6P
SM 18:1;O2/22:1	SM 18:1;O2/22:1	6.92	785.652933299999	784.645825999999	C45H89N2O6P
SM 18:1;O2/22:0	SM 18:1;O2/22:0	6.92	787.6683444	786.661476	C45H91N2O6P
Phytosphingosine	Phytosphingosine	5.83	318.2997619	317.292994	C18H39NO3
Sphinganine	Sphinganine	5.74	302.305125999999	301.298079	C18H39NO2
C20 Sphinganine	C20 Sphinganine	5.74	330.3364002	329.329379	C20H43NO2
C16 Sphingosine	C16 Sphingosine	5.77	272.258290199999	271.251129	C16H33NO2
C20 Sphingosine	C20 Sphingosine	5.9	328.320772999999	327.313729	C20H41NO2
C22 Sphingosine	C22 Sphingosine	5.5	356.3519883	355.345029	C22H45NO2
Sphingosine	Sphingosine	5.72	300.2895507	299.282429	C18H37NO2
Solanidine	Solanidine	5.88	398.3414171	397.334464	C27H43NO
N-methyl pipecolic acid	N-methyl pipecolic acid	8.73	144.1017792	143.094629	C7H13NO2
Tridecylamine	Tridecylamine	5.76	200.2371248	199.229999	C13H29N
