concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
hotel-requests.can-i-check-out-later,Можно выехать позже?,,Mozhno vyyekhatʼ pozzhe?,mˈoʒnʌ vˈɨjixʌtʲ pˈoʒʒɨ,,2,ru-agent-v1;ipa=espeak
hotel-requests.what-time-does-breakfast-start,Во сколько завтрак?,,Vo skolʼko zavtrak?,vˈo skˈoɭkʌ zˈɑftrʌk,,2,ru-agent-v1;ipa=espeak
hotel-requests.can-i-store-my-luggage,Можно оставить багаж?,,Mozhno ostavitʼ bagazh?,mˈoʒnʌ ʌstˈɑvʲitʲ baɡˈɑʃ,,2,ru-agent-v1;ipa=espeak
hotel-requests.no-housekeeping,Уборка не нужна.,,Uborka ne nuzhna.,ubˈorka nʲe nuʒnˈɑ,,2,ru-agent-v1;ipa=espeak
hotel-requests.another-towel-please,"Ещё одно полотенце, пожалуйста.",,"Yeshchë odno polotentse, pozhaluysta.","jɪɕˈɵ ʌdnˈo pʌɭʌtʲˈentsɨ, pʌʒˈɑɭujsta",,2,ru-agent-v1;ipa=espeak
hotel-requests.what-time-is-check-out,Во сколько выезд?,,Vo skolʼko vyyezd?,vˈo skˈoɭkʌ vˈɨjist,,2,ru-agent-v1;ipa=espeak
hotel-requests.can-i-check-in-early,Можно заселиться раньше?,,Mozhno zaselitʼsya ranʼshe?,mˈoʒnʌ zasʲˈeɭʲitʲsʲʌ rˈɑnʃɨ,,2,ru-agent-v1;ipa=espeak
hotel-requests.another-night,Можно остаться ещё на ночь?,,Mozhno ostatʼsya yeshchë na nochʼ?,mˈoʒnʌ ʌstˈɑtʲsʲʌ jɪɕˈɵ nə nˈotʃʲ,,2,ru-agent-v1;ipa=espeak
hotel-requests.is-there-a-safe,Есть сейф?,,Yestʼ seyf?,jestʲ sʲˈejf,,2,ru-agent-v1;ipa=espeak
hotel-requests.another-blanket,"Ещё одно одеяло, пожалуйста.",,"Yeshchë odno odeyalo, pozhaluysta.","jɪɕˈɵ ʌdnˈo ʌdʲiˈjaɭʌ, pʌʒˈɑɭujsta",,2,ru-agent-v1;ipa=espeak
hotel-requests.wake-up-call,"Разбудите меня в {}, пожалуйста.",,"Razbudite menya v {}, pozhaluysta.","razbˈudʲitʲi mʲinʲˈɑ vˈɛ {}, pʌʒˈɑɭujsta",,2,ru-agent-v1;ipa=espeak
room-problems.there-is-a-problem-with-the-room,В номере проблема.,,V nomere problema.,v nˈomʲirʲi prʌbɭʲˈema,,2,ru-agent-v1;ipa=espeak
room-problems.the-air-conditioning-is-broken,Кондиционер не работает.,,Konditsioner ne rabotayet.,kʌndʲitsɨʌnʲˈer nʲe rabˈotʌjit,,2,ru-agent-v1;ipa=espeak
room-problems.there-is-no-hot-water,Нет горячей воды.,,Net goryachey vody.,nʲˈet ɡʌrʲˈɑtʃʲij vˈodɨ,,2,ru-agent-v1;ipa=espeak
room-problems.can-i-change-rooms,Можно поменять номер?,,Mozhno pomenyatʼ nomer?,mˈoʒnʌ pʌmʲinʲˈɑtʲ nˈomʲir,,2,ru-agent-v1;ipa=espeak
room-problems.the-room-is-too-noisy,В номере очень шумно.,,V nomere ochenʼ shumno.,v nˈomʲirʲi ˈotʃʲin ʃˈumnʌ,,2,ru-agent-v1;ipa=espeak
room-problems.the-key-does-not-work,Ключ не работает.,,Klyuch ne rabotayet.,kɭʲˈʉtʃʲ nʲe rabˈotʌjit,,2,ru-agent-v1;ipa=espeak
room-problems.the-toilet-will-not-flush,Туалет не смывается.,,Tualet ne smyvayetsya.,tuaɭʲˈet nʲe smɨvˈɑjitsʌ,,2,ru-agent-v1;ipa=espeak
room-problems.the-light-does-not-work,Свет не работает.,,Svet ne rabotayet.,svʲˈet nʲe rabˈotʌjit,,2,ru-agent-v1;ipa=espeak
room-problems.please-send-someone,"Пришлите, пожалуйста, мастера.",,"Prishlite, pozhaluysta, mastera.","prʲiʃɭʲˈitʲi, pʌʒˈɑɭujsta, masʲtʲˈera",,2,ru-agent-v1;ipa=espeak
room-problems.the-heating-does-not-work,Отопление не работает.,,Otopleniye ne rabotayet.,ʌtʌpɭʲˈenʲijɪ nʲe rabˈotʌjit,,2,ru-agent-v1;ipa=espeak
laundry.please-wash-these-clothes,"Постирайте эту одежду, пожалуйста.",,"Postirayte etu odezhdu, pozhaluysta.","pʌsʲtʲˈirʌjtʲi ˈɛtu ʌdʲˈeʒdu, pʌʒˈɑɭujsta",,2,ru-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,Где прачечная?,Где прачечная самообслуживания?,Gde prachechnaya?,ɡdʲˈe prˈɑtʃʲitʃʲnʌja,,2,ru-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,Когда будет готово?,,Kogda budet gotovo?,kʌɡdˈɑ bˌudʲit ɡʌtˈovʌ,,2,ru-agent-v1;ipa=espeak
laundry.how-much-per-kilo,Сколько за килограмм?,,Skolʼko za kilogramm?,skˈoɭkʌ zˈɑ kʲiɭʌɡrˈɑmm,,2,ru-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,Можно сегодня?,,Mozhno segodnya?,mˈoʒnʌ sʲivˈodnʲʌ,,2,ru-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,"Без отбеливателя, пожалуйста.",,"Bez otbelivatelya, pozhaluysta.","bʲˈes ʌdbʲiɭʲˈivʌtʲiɭʲʌ, pʌʒˈɑɭujsta",,2,ru-agent-v1;ipa=espeak
laundry.laundromat,прачечная,,prachechnaya,prˈɑtʃʲitʃʲnʌja,,2,ru-agent-v1;ipa=espeak
laundry.please-iron-this,"Погладьте это, пожалуйста.",,"Pogladʼte eto, pozhaluysta.","pʌɡɭˈɑdʲtʲi ˈɛtʌ, pʌʒˈɑɭujsta",,2,ru-agent-v1;ipa=espeak
laundry.detergent,стиральный порошок,,stiralʼnyy poroshok,sʲtʲirˈɑɭnɨj pʌrʌʃˈok,,2,ru-agent-v1;ipa=espeak
laundry.dry-cleaning,химчистка,,khimchistka,ximtʃʲˈistka,,2,ru-agent-v1;ipa=espeak
laundry.dryer,сушилка,,sushilka,suʃˈɨɭka,,2,ru-agent-v1;ipa=espeak
laundry.coin-operated,оплата монетами,,oplata monetami,ʌpɭˈɑta mʌnʲˈetʌmʲɪ,,2,ru-agent-v1;ipa=espeak
massage-spa.please-stop,"Остановитесь, дальше не надо.",,"Ostanovitesʼ, dalʼshe ne nado.","ʌstanˈovʲitʲisʲ, dˈɑɭʃɨ nʲe nˈɑdʌ","stop, nothing further is needed -- the second clause is what makes it terminal, exactly as in the Mandarin row, because a bare Остановитесь would be heard as the pause below it. A plain imperative, unsoftened, against this pack's usual Можно ...? requests",2,ru-massage-spa-v1;spa-board-v1;in-pack-neighbour;ipa=espeak
massage-spa.please-pause,"Сделайте паузу, пожалуйста.",,"Sdelayte pauzu, pozhaluysta.","ʑdʲˈeɭʌjtʲi pˈɑuzu, pʌʒˈɑɭujsta","make a pause, please -- пауза says temporarily on its own, and unlike this pack's communication.please-wait-a-moment (Подождите, пожалуйста) it asks the listener to suspend what they are doing rather than to wait for the speaker",2,ru-massage-spa-v1;spa-board-v1;in-pack-frame;ipa=espeak
massage-spa.please-avoid-this-area,"Не надавливайте на эту зону, пожалуйста.",,"Ne nadavlivayte na etu zonu, pozhaluysta.","nʲe nʌdavɭʲˈivʌjtʲi nə ˈɛtu zˈonu, pʌʒˈɑɭujsta","please do not press on this zone -- надавливание is one of the named strokes of the trade, and зона is what the Russian professional standard for медицинский массаж calls a worked region of the body",2,ru-massage-spa-v1;spa-board-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;ipa=espeak
massage-spa.stronger-pressure,"Надавите посильнее, пожалуйста.",,"Nadavite posilʼneye, pozhaluysta.","nadˈɑvʲitʲi pʌsʲiɭnʲˈejɪ, pʌʒˈɑɭujsta","press a bit harder, please -- посильнее and помягче are the pair the trade labels its two intensities with (a Russian massager's own manual names its two modes помягче and посильнее). Three words against the one of Помягче, and the politeness marker sits on this row only, because neither button carries a labelKey on the spa board and the owner's own wording is what labels them, side by side",2,ru-massage-spa-v1;spa-board-v1;src=and-rus-mn-102-rezhimy;ipa=espeak
massage-spa.more-gently,Помягче.,,Pomyagche.,pʌmʲˈɑktʃʲi,"softer -- the other half of the same pair. The по- prefix is itself the request, so the bare word is not curt, and leaving it bare is what makes its shape differ from the row beside it",2,ru-massage-spa-v1;spa-board-v1;src=and-rus-mn-102-rezhimy;ipa=espeak
massage-spa.that-pressure-is-good,"Вот так хорошо, так и продолжайте.",,"Vot tak khorosho, tak i prodolzhayte.","vˈot tˈɑk xʌrʌʃˈo, tˈɑk ˈi prʌdʌɭʒˈɑjtʲi","just like that is good, carry on like that -- a confirmation with a keep-it-there clause, not praise. давление is deliberately not used: in Russian it is read first as blood pressure, so the row names the action rather than the noun",2,ru-massage-spa-v1;spa-board-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;ipa=espeak
massage-spa.focus-on-shoulders,"Поработайте с плечами, пожалуйста.",,"Porabotayte s plechami, pozhaluysta.","pʌrabˈotʌjtʲi s pɭʲitʃʲˈɑmʲɪ, pʌʒˈɑɭujsta",please work on the shoulders -- работать с зоной is the trade's own phrasing for spending the time on one region,2,ru-massage-spa-v1;spa-board-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;ipa=espeak
massage-spa.focus-on-back,"Поработайте со спиной, пожалуйста.",,"Porabotayte so spinoy, pozhaluysta.","pʌrabˈotʌjtʲi sˈo spʲinˈoj, pʌʒˈɑɭujsta",,2,ru-massage-spa-v1;spa-board-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;in-pack-neighbour;ipa=espeak
massage-spa.focus-on-neck,"Поработайте с шеей, пожалуйста.",,"Porabotayte s sheyey, pozhaluysta.","pʌrabˈotʌjtʲi s ʃˈɛjij, pʌʒˈɑɭujsta","the trade groups this with the shoulders and the upper back as the шейно-воротниковая зона and sells it as one service, but the two rows stay separate because a board button is one meaning",2,ru-massage-spa-v1;spa-board-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;ipa=espeak
massage-spa.focus-on-feet,"Поработайте со стопами, пожалуйста.",,"Porabotayte so stopami, pozhaluysta.","pʌrabˈotʌjtʲi sˈo stʌpˈɑmʲɪ, pʌʒˈɑɭujsta","стопа rather than this pack's body-parts.foot ступня, because массаж стоп is the trade's own name for foot massage as a bookable service",2,ru-massage-spa-v1;spa-board-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;ipa=espeak
massage-spa.reply-i-will-avoid-that-area,"Хорошо, эту зону не трогаю.",,"Khorosho, etu zonu ne trogayu.","xʌrʌʃˈo, ˈɛtu zˈonu nʲe trˈoɡʌju","all right, I am leaving this zone alone -- 1sg non-past, which does not inflect for the speaker's gender, where a past-tense l-participle would",2,ru-massage-spa-v1;spa-reply-v1;reply-neutrality-rule;ipa=espeak
massage-spa.reply-which-area-exactly,Какую именно зону?,,Kakuyu imenno zonu?,kakˈuju ˈimʲinnʌ zˈonu,,2,ru-massage-spa-v1;spa-reply-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;ipa=espeak
massage-spa.reply-cannot-avoid-this-treatment,В этой процедуре без этой зоны не обойтись.,,V etoy protsedure bez etoy zony ne oboytisʼ.,v ˈɛtʌj prʌtsɨdˈurʲi bʲˈes ˈɛtʌj zˈonɨ nʲe ʌbʌjtʲˈisʲ,"in this procedure there is no doing without this zone -- an impersonal infinitive, so neither speaker nor listener is gendered; процедура is one bookable service, not a курс, which would be a course of several and overstate what is being refused",2,ru-massage-spa-v1;spa-reply-v1;src=mintrud-744n-spetsialist-po-meditsinskomu-massazhu;reply-neutrality-rule;ipa=espeak
massage-spa.reply-does-it-hurt-there,Эта зона болит?,,Eta zona bolit?,ˈɛta zˈona bʌɭʲˈit,,2,ru-massage-spa-v1;spa-reply-v1;in-pack-neighbour;ipa=espeak
massage-spa.reply-ask-supervisor,"Я не знаю, нужно спросить у администратора.",,"Ya ne znayu, nuzhno sprositʼ u administratora.","ˈja nʲe znˈɑju, nˈuʒnʌ sprʌsʲˈitʲ ˈu admʲinʲistrˈɑtʌra","I do not know, I need to ask the administrator -- не знаю replaces не уверен/уверена, a predicative adjective that would inflect for the speaker; нужно is impersonal; and администратор, the salon's shift supervisor, is an epicene -тор title with no feminine form in the official register, so the person named is not gendered either",2,ru-massage-spa-v1;spa-reply-v1;reply-neutrality-rule;in-pack-neighbour;ipa=espeak
