concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
room-problems.the-heating-does-not-work,Опалення не працює.,,Opalennia ne pratsiuie.,opˈalɛnɲa nˈɛ pratsjˈujɛ,,2,uk-agent-v1;ipa=espeak
laundry.please-wash-these-clothes,"Виперіть, будь ласка, цей одяг.",,"Vyperit, bud laska, tsei odiah.","ʋɪpˈɛriːt, bˈud lˈaska, tsˈɛj ˈodjah",,2,uk-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,Де пральня?,Де пральня самообслуговування?,De pralnia?,dˈɛ prˈaʎɲa,,2,uk-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,Коли буде готово?,,Koly bude hotovo?,kolˈɪ bˈudɛ hotˈoʋo,,2,uk-agent-v1;ipa=espeak
laundry.how-much-per-kilo,Скільки за кілограм?,,Skilky za kilohram?,skˈiːʎkɪ zˈa kiːlˈohram,,2,uk-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,Можна сьогодні?,,Mozhna sohodni?,mˈoʒna sohˈodɲiː,,2,uk-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,"Без відбілювача, будь ласка.",,"Bez vidbiliuvacha, bud laska.","bˈɛz ʋiːdbiːʎˈuʋatʃa, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
laundry.laundromat,пральня,,pralnia,prˈaʎɲa,,2,uk-agent-v1;ipa=espeak
laundry.please-iron-this,"Попрасуйте це, будь ласка.",,"Poprasuite tse, bud laska.","poprˈasujtɛ tsˈɛ, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
laundry.detergent,пральний порошок,,pralnyi poroshok,prˈaʎnɪj poroʃˈok,,2,uk-agent-v1;ipa=espeak
laundry.dry-cleaning,хімчистка,,khimchystka,xiːmtʃˈɪstka,,2,uk-agent-v1;ipa=espeak
laundry.dryer,сушарка,,susharka,suʃˈarka,,2,uk-agent-v1;ipa=espeak
laundry.coin-operated,оплата монетами,,oplata monetamy,oplˈata monˈɛtamɪ,,2,uk-agent-v1;ipa=espeak
massage-spa.please-stop,"Зупиніться, далі не треба.",,"Zupynitsia, dali ne treba.","zupˈɪɲiːtsja, dˈaʎiː nˈɛ trˈɛba","stop, nothing further is needed -- the second clause is what makes it terminal, exactly as in the Mandarin row, because a bare Зупиніться would be heard as the pause below it. A plain imperative, unsoftened, against this pack's usual Можна ...? requests",2,uk-massage-spa-v1;spa-board-v1;in-pack-neighbour;ipa=espeak
massage-spa.please-pause,"Зробіть паузу, будь ласка.",,"Zrobit pauzu, bud laska.","zrˈobiːt paˈuzu, bˈud lˈaska","make a pause, please -- пауза says temporarily on its own, and unlike this pack's communication.please-wait-a-moment (Зачекайте, будь ласка) it asks the listener to suspend what they are doing rather than to wait for the speaker",2,uk-massage-spa-v1;spa-board-v1;in-pack-frame;ipa=espeak
massage-spa.please-avoid-this-area,"Не натискайте на цю ділянку, будь ласка.",,"Ne natyskaite na tsiu dilianku, bud laska.","nˈɛ natˈɪskajtɛ nˈa tsjˈu diːʎˈanku, bˈud lˈaska","please do not press on this area -- ділянка is the word Ukrainian massage writing uses for a worked region of the body (ділянка шийного відділу, ділянка попереку), and натискання is one of its named strokes",2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.stronger-pressure,"Натисніть сильніше, будь ласка.",,"Natysnit sylnishe, bud laska.","natˈɪsɲiːt sɪʎɲˈiːʃɛ, bˈud lˈaska","press harder, please -- натискати keeps it about pressure rather than speed. Four words against the one of М'якше, because neither button carries a labelKey on the spa board and the owner's own wording is what labels them, side by side",2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.more-gently,М'якше.,,Miakshe.,mjˈakʃɛ,softer -- the low end of the трохи м'який / помірний / інтенсивний тиск scale the same source uses. Left bare so its shape differs from the row beside it,2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.that-pressure-is-good,"Ось так добре, так і продовжуйте.",,"Os tak dobre, tak i prodovzhuite.","ˈos tˈaɡ dˈobrɛ, tˈak ˈiː prodˈoʋʒujtɛ","just like that is good, carry on like that -- a confirmation with a keep-it-there clause, not praise. тиск is deliberately not used: in Ukrainian it is read first as blood pressure, so the row names the action rather than the noun",2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.focus-on-shoulders,"Попрацюйте з плечима, будь ласка.",,"Popratsiuite z plechyma, bud laska.","poprˈatsjujtɛ s plɛtʃˈɪma, bˈud lˈaska",please work on the shoulders -- працювати з зоною is the phrasing the same source uses for spending the time on one region,2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.focus-on-back,"Попрацюйте зі спиною, будь ласка.",,"Popratsiuite zi spynoiu, bud laska.","poprˈatsjujtɛ zˈiː spɪnˈoju, bˈud lˈaska",,2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;in-pack-neighbour;ipa=espeak
massage-spa.focus-on-neck,"Попрацюйте з шиєю, будь ласка.",,"Popratsiuite z shyieiu, bud laska.","poprˈatsjujtɛ s ʃɪjˈɛju, bˈud lˈaska","the trade groups this with the shoulders and the upper back as the шийно-комірцева зона -- Kyiv clinics sell Масаж шийно-комірцевої зони as one bookable service covering шия, плечі and the upper back, but the two rows stay separate because a board button is one meaning",2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.focus-on-feet,"Попрацюйте зі стопами, будь ласка.",,"Popratsiuite zi stopamy, bud laska.","poprˈatsjujtɛ zˈiː stopˈamɪ, bˈud lˈaska","стопа rather than this pack's body-parts.foot ступня, because масаж стоп is the trade's own name for foot massage as a bookable service",2,uk-massage-spa-v1;spa-board-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.reply-i-will-avoid-that-area,"Добре, цю ділянку не чіпаю.",,"Dobre, tsiu dilianku ne chipaiu.","dˈobrɛ, tsjˈu diːʎˈanku nˈɛ tʃiːpˈaju","all right, I am leaving this area alone -- 1sg non-past, which does not inflect for the speaker's gender, where a past tense derived from a participle would",2,uk-massage-spa-v1;spa-reply-v1;reply-neutrality-rule;ipa=espeak
massage-spa.reply-which-area-exactly,Яку саме ділянку?,,Yaku same dilianku?,jˈaku sˈamɛ diːʎˈanku,,2,uk-massage-spa-v1;spa-reply-v1;src=onclinic.ua-masazh-spyny;ipa=espeak
massage-spa.reply-cannot-avoid-this-treatment,У цій процедурі без цієї ділянки не обійтися.,,U tsii protseduri bez tsiiei dilianky ne obiitysia.,ˈu tsˈiːj protsɪdˈuriː bˈɛs tsiːjˈɛjiː diːʎˈankɪ nˈɛ obˈiːjtɪsja,"in this procedure there is no doing without this area -- an impersonal infinitive, so neither speaker nor listener is gendered; процедура is one bookable service, not a курс, which would be a course of several and overstate what is being refused",2,uk-massage-spa-v1;spa-reply-v1;src=onclinic.ua-masazh-spyny;reply-neutrality-rule;ipa=espeak
massage-spa.reply-does-it-hurt-there,Ця ділянка болить?,,Tsia dilianka bolyt?,tsjˈa diːʎˈanka bˈolɪt,,2,uk-massage-spa-v1;spa-reply-v1;in-pack-neighbour;ipa=espeak
massage-spa.reply-ask-supervisor,"Я не знаю, треба запитати в адміністратора.",,"Ya ne znaiu, treba zapytaty v administratora.","jˈa nˈɛ znˈaju, trˈɛba zapˈɪtatɪ ʋ admiːɲˈiːstratora","I do not know, I have to ask the administrator -- не знаю is 1sg non-past and treba is impersonal, so the speaker is not gendered; адміністратор, the salon's shift supervisor, is an epicene -тор title with no feminine form in the official register, so the person named is not gendered either",2,uk-massage-spa-v1;spa-reply-v1;reply-neutrality-rule;in-pack-neighbour;ipa=espeak
