concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
accessibility.speak-louder,ଦୟାକରି ଜୋରରେ କୁହନ୍ତୁ,,daẏākari jōrarē kuhantu,dˈɔjɔˌakɔɾˌi ɟˈoɾɔɾˌe kuhˈɔntu,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.visually-impaired,ମୋର ଆଖି କମ୍ ଦେଖେ,,mōra ākhi kam dēkhē,mˈoɾɔ ˈakʰi kˈɔm dˈekʰe,my eyes see little,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.take-your-arm,ଆପଣଙ୍କ ହାତ ଧରିପାରିବି କି?,,āpaṇaṅka hāta dharipāribi ki?,ˌapɔnˈɔŋkɔ hˈatɔ dʰˈɔɾipˌaɾibˌi kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
accessibility.guide-dog,ଏଇଟା ମୋର ପଥପ୍ରଦର୍ଶକ କୁକୁର,,ēiṭā mōra pathapradarśaka kukura,ˈeiʈˌa mˈoɾɔ pˌɔtʰɔpɾɔdˈɔrsɔkˌɔ kˈukuɾˌɔ,this is my path-showing dog,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
in-a-building.is-this-the-correct-entrance,ଏଇଟା ଠିକ୍ ପ୍ରବେଶ ଦ୍ୱାର କି?,,ēiṭā ṭhik prabēśa dwāra ki?,ˈeiʈˌa ʈʰˈik pɾˈɔbesˌɔ dwˈaɾɔ kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
in-a-building.do-you-have-wi-fi,ୱାଇ-ଫାଇ ଅଛି କି?,,wāi-phāi achi ki?,wˈaipʰai ˈɔtʃʰi kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
in-a-building.what-is-the-wi-fi-password,ୱାଇ-ଫାଇ ପାସୱାର୍ଡ କଣ?,,wāi-phāi pāsawārḍa kaṇa?,wˈaipʰai pˌasɔwˈaɾɖɔ kˈɔɳɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
in-a-building.which-floor,କେଉଁ ମହଲା?,,kēum̐ mahalā?,kˈeũ mˈɔhɔlˌa,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.where-toilet,ଟଏଲେଟ୍ କେଉଁଠି?,ଶୌଚାଳୟ,ṭaēlēṭ kēum̐ṭhi?,ʈˈɔelˌeʈ keˈũʈʰi,ଶୌଚାଳୟ is what the sign says; the everyday Odia word ପାଇଖାନା is too blunt to ask a stranger with,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.where-public-toilet,ସାର୍ବଜନୀନ ଶୌଚାଳୟ କେଉଁଠି?,,sārbajanīna śaucāḷaẏa kēum̐ṭhi?,saɾbˈɔɟninˌɔ sˈowtʃaɭˌɔj keˈũʈʰi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.may-i-use-the-toilet,ଟଏଲେଟ୍ ବ୍ୟବହାର କରିପାରିବି କି?,,ṭaēlēṭ bẏabahāra karipāribi ki?,ʈˈɔelˌeʈ bjˈɔbɔhˌaɾɔ kˈɔɾipˌaɾibˌi kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.is-it-only-for-customers,ଏହା କେବଳ ଗ୍ରାହକଙ୍କ ପାଇଁ କି?,,ēhā kēbaḷa grāhakaṅka pāim̐ ki?,ˈeha kˈebɔɭˌɔ ɡɾˌahɔkˈɔŋkɔ pˈaĩ kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.toilet-wc,ଶୌଚାଳୟ,ଟଏଲେଟ୍,śaucāḷaẏa,sˈowtʃaɭˌɔj,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.is-it-free,ଏହା ମାଗଣା କି?,,ēhā māgaṇā ki?,ˈeha mˈaɡɔɳˌa kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.do-i-need-a-coin,ମୁଦ୍ରା ବା ଟୋକନ ଦରକାର କି?,,mudrā bā ṭōkana darakāra ki?,mˈudɾa bˈa ʈˈokɔnˌɔ dˈɔɾɔkˌaɾɔ kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.is-the-tap-water-safe-to-drink,ଟ୍ୟାପ୍ ପାଣି ପିଇବା ପାଇଁ ନିରାପଦ କି?,,ṭẏāp pāṇi piibā pāim̐ nirāpada ki?,ʈjˈɔap pˈaɳi pˈiibˌa pˈaĩ nˈiɾapˌɔdɔ kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.it-is-urgent,ବହୁତ ଜରୁରୀ,,bahuta jarurī,bˈɔhutˌɔ ɟˈɔɾuɾˌi,very urgent,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.may-i-have-the-toilet-key,ଟଏଲେଟ୍ ଚାବି ମିଳିବ କି?,,ṭaēlēṭ cābi miḷiba ki?,ʈˈɔelˌeʈ tʃˈabi mˈiɭˌibɔ kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.there-is-no-toilet-paper,ଟଏଲେଟ୍ ପେପର ନାହିଁ,,ṭaēlēṭ pēpara nāhim̐,ʈˈɔelˌeʈ pˈepɔɾˌɔ nˈahĩ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.toilet-paper,ଟଏଲେଟ୍ ପେପର,,ṭaēlēṭ pēpara,ʈˈɔelˌeʈ pˈepɔɾˌɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.it-is-out-of-order,ଏହା ଖରାପ ଅଛି,,ēhā kharāpa achi,ˈeha kʰˈɔɾapˌɔ ˈɔtʃʰi,it is broken,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.out-of-order,ଖରାପ,,kharāpa,kʰˈɔɾapˌɔ,broken — what the sign says,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.mens-toilet,ପୁରୁଷ,,puruṣa,pˈuɾusˌɔ,men — what the door says,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.womens-toilet,ମହିଳା,,mahiḷā,mˈɔhiɭˌa,women — what the door says,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.drinking-water,ପିଇବା ପାଣି,,piibā pāṇi,pˈiibˌa pˈaɳi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.not-for-drinking,ପିଇବା ପାଇଁ ନୁହେଁ,,piibā pāim̐ nuhēm̐,pˈiibˌa pˈaĩ nˈuhẽ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.accessible-toilet,ଚକ ଚେୟାର ଶୌଚାଳୟ,,caka cēẏāra śaucāḷaẏa,tʃˈɔkɔ tʃˈejɔˌaɾɔ sˈowtʃaɭˌɔj,wheelchair toilet,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.where-can-i-wash-my-hands,ହାତ କେଉଁଠି ଧୋଇପାରିବି?,,hāta kēum̐ṭhi dhōipāribi?,hˈatɔ keˈũʈʰi dʰˈoipˌaɾibˌi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.can-i-flush-the-paper,କାଗଜ ଫ୍ଲସ୍ କରିପାରିବି କି?,,kāgaja phlas karipāribi ki?,kˈaɡɔɟ pʰlˈɔs kˈɔɾipˌaɾibˌi kˈi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.is-there-a-toilet-on-board,ଗାଡ଼ି ଭିତରେ ଟଏଲେଟ୍ ଅଛି କି?,,gāṛi bhitarē ṭaēlēṭ achi ki?,ɡˈaɽˌi bʰˈiʈɔɾˌe ʈˈɔelˌeʈ ˈɔtʃʰi kˈi,is there a toilet inside the vehicle?,2,Odisha public signage; East Coast Railway bilingual station and ticket wording; OSRTC and Bhubaneswar city bus wording;ipa=espeak
toilets.the-toilet-will-not-flush,ଟଏଲେଟ୍ ଫ୍ଲସ୍ ହେଉନାହିଁ,,ṭaēlēṭ phlas hēunāhim̐,ʈˈɔelˌeʈ pʰlˈɔs hˈeunˌahĩ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.baby-change,ଶିଶୁ ବଦଳାଇବା ଜାଗା,,śiśu badaḷāibā jāgā,sˈisu bˈɔdɔɭˌaibˌa ɟˈaɡa,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
toilets.squat-toilet,ଭାରତୀୟ ଟଏଲେଟ୍,,bhāratīẏa ṭaēlēṭ,bʰˈaɾɔtˌij ʈˈɔelˌeʈ,"""Indian toilet"" — which is what a squat pan is called on an Odisha sign",2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.elevator,ଲିଫ୍ଟ,,liphṭa,lˈipʰʈɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.stairs,ପାହାଚ,,pāhāca,pˈahatʃˌɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.entrance,ପ୍ରବେଶ,,prabēśa,pɾˈɔbesˌɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.exit,ପ୍ରସ୍ଥାନ,ବାହାର ବାଟ,prasthāna,pɾˈɔstʰanˌɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.men,ପୁରୁଷ,,puruṣa,pˈuɾusˌɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.women,ମହିଳା,,mahiḷā,mˈɔhiɭˌa,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.door,ଦ୍ୱାର,,dwāra,dwˈaɾɔ,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
building-words.key,ଚାବି,,cābi,tʃˈabi,,2,"Odisha public signage; Bhubaneswar and Cuttack municipal and public-utility notices; Praharaj, G. C., Pūrṇṇacandra Oṛiā Bhāṣākoṣa (1931-40), Digital Dictionaries of South Asia;ipa=espeak"
