concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
laundry.how-much-per-kilo,एका किलोचे किती?,,ēkā kilōcē kitī?,ˈeːkaː kɪlˈoːceː kˈɪti,,2,mr-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,हे आज तयार होईल का?,,hē āja tayāra hōīla kā?,hˈeː ˈaːz təjˈaːɾ hoːˈiːl kˈaː,,2,mr-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,ब्लीच वापरू नका,,blīca vāparū nakā,blˈiːc vˈaːpɾˌuː nˈʌkaː,,2,mr-agent-v1;ipa=espeak
laundry.laundromat,लॉन्ड्री,,lônḍrī,lˈɔnɖɾi,,2,mr-agent-v1;ipa=espeak
laundry.please-iron-this,हे इस्त्री करून द्या,,hē istrī karūna dyā,hˈeː ˈɪstɾi kəɾˈuːn djˈaː,,2,mr-agent-v1;ipa=espeak
laundry.detergent,डिटर्जंट,,ḍiṭarjaṁṭa,ɖˌɪʈərzˈʌɳʈ,,2,mr-agent-v1;ipa=espeak
laundry.dry-cleaning,ड्राय क्लीनिंग,,ḍrāya klīniṁga,ɖɾˈaːj klinˈĩɡ,,2,mr-agent-v1;ipa=espeak
laundry.dryer,ड्रायर,,ḍrāyara,ɖɾˈaːjəɾ,,2,mr-agent-v1;ipa=espeak
laundry.coin-operated,नाणे टाकून चालणारे,,nāṇē ṭākūna cālaṇārē,nˈaːɳeː ʈaːkˈuːn cˌaːlɳˈaːɾeː,sign on self-service machines,2,mr-agent-v1;ipa=espeak
massage-spa.please-stop,मसाज बंद करा,,masāja baṁda karā,məsˈaːz bˈʌnd kˈʌɾaː,stop the massage -- naming it removes the reading 'pause',2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.please-pause,थोडा वेळ थांबा,,thōḍā vēḷa thāmbā,tʰˈoːɖaː vˈeːɭ tʰˈãbaː,hold for a little while,2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.please-avoid-this-area,हा भाग टाळा,,hā bhāga ṭāḷā,hˈaː bʰˈaːɡ ʈˈaːɭaː,avoid this part,2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.stronger-pressure,जरा जास्त दाब द्या,,jarā jāsta dāba dyā,zˈʌɾaː zˈaːst dˈaːb djˈaː,"दाब is pressure proper, not speed or force of character",2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.more-gently,हलक्या हाताने करा,,halakyā hātānē karā,həlˈʌkjaː haːtˈaːneː kˈʌɾaː,do it with a light hand,2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.that-pressure-is-good,"दाब बरोबर आहे, असंच करा",,"dāba barōbara āhē, asaṁca karā","dˈaːb bəɾˈoːbəɾ ˈaːheː, ʌsˈʌɲc kˈʌɾaː","the pressure is right, keep doing just this",2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.focus-on-shoulders,खांद्यांवर जास्त लक्ष द्या,,khāṁdyāṁvara jāsta lakṣa dyā,kʰˈãdjãvˌəɾ zˈaːst lˈʌkʃ djˈaː,,2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.focus-on-back,पाठीवर जास्त लक्ष द्या,,pāṭhīvara jāsta lakṣa dyā,paːʈʰˈiːvəɾ zˈaːst lˈʌkʃ djˈaː,,2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.focus-on-neck,मानेवर जास्त लक्ष द्या,,mānēvara jāsta lakṣa dyā,maːnˈeːvəɾ zˈaːst lˈʌkʃ djˈaː,,2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.focus-on-feet,पायांवर जास्त लक्ष द्या,,pāyāṁvara jāsta lakṣa dyā,paːjˈãvəɾ zˈaːst lˈʌkʃ djˈaː,,2,mr-agent-v1;spa-board-v1;ipa=espeak
massage-spa.reply-i-will-avoid-that-area,"ठीक आहे, मी तो भाग टाळेन",,"ṭhīka āhē, mī tō bhāga ṭāḷēna","ʈʰˈiːk ˈaːheː, mˈi tˈoː bʰˈaːɡ ʈaːɭˈeːn","future -ēn does not mark gender, unlike the present or the past",2,mr-agent-v1;spa-reply-v1;reply-neutrality-rule;ipa=espeak
massage-spa.reply-which-area-exactly,नेमका कोणता भाग?,,nēmakā kōṇatā bhāga?,nˈeːmkˌaː kˈoːɳtˌaː bʰˈaːɡ,"verbless; the adjectives agree with भाग, not with anyone present",2,mr-agent-v1;spa-reply-v1;reply-neutrality-rule;ipa=espeak
massage-spa.reply-cannot-avoid-this-treatment,या उपचारात हा भाग टाळता येत नाही,,yā upacārāta hā bhāga ṭāḷatā yēta nāhī,jˈaː ˌʊpcaːɾˈaːt hˈaː bʰˈaːɡ ʈˈaːɭtˌaː jˈeːt nˈaːhi,"the येणे impersonal, which has no agreement with a speaker",2,mr-agent-v1;spa-reply-v1;reply-neutrality-rule;ipa=espeak
massage-spa.reply-does-it-hurt-there,या भागात दुखतं का?,,yā bhāgāta dukhataṁ kā?,jˈaː bʰaːɡˈaːt dˈʊkʰətˌən kˈaː,"दुखतं is neuter and impersonal, so no आप-plus-participle agreement arises",2,mr-agent-v1;spa-reply-v1;reply-neutrality-rule;ipa=espeak
massage-spa.reply-ask-supervisor,"मला खात्री नाही, मला वरिष्ठांना विचारावं लागेल",,"malā khātrī nāhī, malā variṣṭhāṁnā vicārāvaṁ lāgēla","mˈʌlaː kʰˈaːtɾi nˈaːhi, mˈʌlaː vˌəɾɪʂʈʰˈãnaː vˌɪcaːɾˈaːvən laːɡˈeːl","dative subject plus the neuter obligative, both ungendered; वरिष्ठ is an invariant adjective-noun, so the supervisor is not gendered either",2,mr-agent-v1;spa-reply-v1;reply-neutrality-rule;ipa=espeak
