language,axis,value,default,notes
ur,speaker_gender,feminine,0,"Habitual and perfective participles carry gender-number endings agreeing with the nominative subject. e.g. building-help.i-am-lost: 'میں راستہ بھول گئی ہوں (main rasta bhul gayi hun)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
pl,speaker_gender,masculine,1,"The past tense carries gender as well as person endings (-lem vs -lam in the 1sg) and predicative adjectives agree in gender; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'Zgubilem sie'. Reply hazard: polite address forces the gendered pan/pani plus a gendered participle."
pl,speaker_gender,feminine,0,The past tense carries gender as well as person endings (-lem vs -lam in the 1sg) and predicative adjectives agree in gender. e.g. building-help.i-am-lost: 'Zgubilam sie'. Reply hazard: polite address forces the gendered pan/pani plus a gendered participle.
uk,speaker_gender,masculine,1,"The past tense derives from a participle and agrees in gender and number with the subject rather than in person; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'Я заблукав (ya zablukav)'."
uk,speaker_gender,feminine,0,The past tense derives from a participle and agrees in gender and number with the subject rather than in person. e.g. building-help.i-am-lost: 'Я заблукала (ya zablukala)'.
mr,speaker_gender,masculine,1,"Finite verbs agree in gender with the nominative subject in the first person, including the simple present; masculine is the unmarked citation form, hence the default. e.g. introductions.i-am-traveling-alone: 'मी एकटा प्रवास करत आहे (mi ekta pravas karat ahe)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
mr,speaker_gender,feminine,0,"Finite verbs agree in gender with the nominative subject in the first person, including the simple present. e.g. introductions.i-am-traveling-alone: 'मी एकटी प्रवास करत आहे (mi ekti pravas karat ahe)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
ro,speaker_gender,masculine,1,"Adjectives and participles agree in gender with the subject; DEX lists them as pierdut, -a; masculine is the unmarked citation form, hence the default. e.g. emergency-medical.i-am-sick: 'Sunt bolnav'."
ro,speaker_gender,feminine,0,"Adjectives and participles agree in gender with the subject; DEX lists them as pierdut, -a. e.g. emergency-medical.i-am-sick: 'Sunt bolnava'."
cs,speaker_gender,masculine,1,"The l-participle used with the auxiliary jsem expresses gender, which must match the subject, and predicative adjectives agree; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'Ztratil jsem se'. Reply hazard: polite vykani keeps the participle singular and therefore gendered (byl jste / byla jste)."
cs,speaker_gender,feminine,0,"The l-participle used with the auxiliary jsem expresses gender, which must match the subject, and predicative adjectives agree. e.g. building-help.i-am-lost: 'Ztratila jsem se'. Reply hazard: polite vykani keeps the participle singular and therefore gendered (byl jste / byla jste)."
pa,speaker_gender,masculine,1,"Imperfective and perfective participles take the -a / -i gender terminations agreeing with the nominative subject; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'ਮੈਂ ਰਾਹ ਭੁੱਲ ਗਿਆ ਹਾਂ (main rah bhull gia han)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
pa,speaker_gender,feminine,0,"Imperfective and perfective participles take the -a / -i gender terminations agreeing with the nominative subject. e.g. building-help.i-am-lost: 'ਮੈਂ ਰਾਹ ਭੁੱਲ ਗਈ ਹਾਂ (main rah bhull gai han)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
gu,speaker_gender,masculine,1,"Declinable adjectives and participles take -o / -i gender endings agreeing with the nominative subject; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'હું રસ્તો ભૂલી ગયો છું (hun rasto bhuli gayo chhun)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
gu,speaker_gender,feminine,0,"Declinable adjectives and participles take -o / -i gender endings agreeing with the nominative subject. e.g. building-help.i-am-lost: 'હું રસ્તો ભૂલી ગઈ છું (hun rasto bhuli gai chhun)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
ne,speaker_gender,masculine,1,"Gender accord is attenuated in Nepali and restricted to female animates, but the -eko / -eki participle does take the feminine for a female speaker; masculine is the unmarked citation form, hence the default. e.g. introductions.i-am-traveling-alone: 'म एक्लै यात्रा गरिरहेको छु (ma eklai yatra gariraheko chhu)'. Weakest Indo-Aryan case: the feminine is normal but optional, so the masculine is never ungrammatical."
ne,speaker_gender,feminine,0,"Gender accord is attenuated in Nepali and restricted to female animates, but the -eko / -eki participle does take the feminine for a female speaker. e.g. introductions.i-am-traveling-alone: 'म एक्लै यात्रा गरिरहेकी छु (ma eklai yatra gariraheki chhu)'. Weakest Indo-Aryan case: the feminine is normal but optional, so the masculine is never ungrammatical."
km,speaker_gender,masculine,1,"The polite response/attention particle is selected by the speaker's sex: baat for a man, chaa for a woman, and it is also the ordinary spoken word for 'yes'; masculine is the unmarked citation form, hence the default. e.g. quick-responses.yes-right: 'បាទ (baat)'. Narrow axis: the pronoun khnhom is neutral, only the politeness particle changes."
km,speaker_gender,feminine,0,"The polite response/attention particle is selected by the speaker's sex: baat for a man, chaa for a woman, and it is also the ordinary spoken word for 'yes'. e.g. quick-responses.yes-right: 'ចាស (chaa)'. Narrow axis: the pronoun khnhom is neutral, only the politeness particle changes."
hr,speaker_gender,masculine,1,"The perfect is formed with an l-participle agreeing in gender and number with the subject, and predicative adjectives agree; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'Izgubio sam se'."
hr,speaker_gender,feminine,0,"The perfect is formed with an l-participle agreeing in gender and number with the subject, and predicative adjectives agree. e.g. building-help.i-am-lost: 'Izgubila sam se'."
