concept_a,concept_b,relation,provenance,passes,agree
emergency-medical.where-is-a-pharmacy,pharmacy-symptoms.which-pharmacy-is-open-now,partial,rated,3,3
emergency-medical.where-is-a-pharmacy,question-words.where,partial,rated,3,2
emergency-medical.where-is-the-nearest-hospital,question-words.where,partial,rated,3,2
food-ordering.do-you-have-drinking-water,toilets.drinking-water,partial,rated,3,3
food-ordering.water-please,toilets.drinking-water,partial,rated,3,2
numbers-money.2-items,numbers-money.r,partial,rated,3,3
numbers-money.b,numbers-money.b-n,none,rule:amount-and-currency,,
numbers-money.b,numbers-money.ji,none,rule:number-line,,
numbers-money.b,numbers-money.ku-i,none,rated,3,3
numbers-money.b,numbers-money.l-ng,none,rule:number-line,,
numbers-money.b,numbers-money.li,none,rule:number-line,,
numbers-money.b,numbers-money.li-ng,none,rule:number-line,,
numbers-money.b,numbers-money.q,none,rule:number-line,,
numbers-money.b,numbers-money.r,none,rule:number-line,,
numbers-money.b,numbers-money.s,none,rule:number-line,,
numbers-money.b,numbers-money.s-n,none,rule:number-line,,
numbers-money.b,numbers-money.sh,none,rule:number-line,,
numbers-money.b,numbers-money.w,none,rule:number-line,,
numbers-money.b,numbers-money.y,none,rule:number-line,,
numbers-money.b,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.b,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.b,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.b,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.ji,none,rated,3,3
numbers-money.b-n,numbers-money.ku-i,none,rule:distinct-currency,,
numbers-money.b-n,numbers-money.l-ng,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.li,none,rated,3,3
numbers-money.b-n,numbers-money.li-ng,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.q,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.r,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.s,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.s-n,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.sh,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.w,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.y,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.y-b-i,none,rated,3,3
numbers-money.b-n,numbers-money.y-qi-n,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.y-w-n,none,rule:amount-and-currency,,
numbers-money.b-n,numbers-money.yu-n,none,rated,3,3
numbers-money.baht,numbers-money.baht-symbol,partial,rule:word-and-its-symbol,,
numbers-money.crore,numbers-money.lakh,none,rated,3,3
numbers-money.dollar,numbers-money.dollar-symbol,partial,rated,3,3
numbers-money.dollar,numbers-money.euro,none,rule:distinct-currency,,
numbers-money.dollar,numbers-money.euro-symbol,none,rule:distinct-currency,,
numbers-money.dollar,numbers-money.franc,none,rated,3,3
numbers-money.dollar,numbers-money.franc-symbol,none,rated,3,3
numbers-money.dollar,numbers-money.pound,none,rule:distinct-currency,,
numbers-money.dollar,numbers-money.pound-symbol,none,rule:distinct-currency,,
numbers-money.dollar,numbers-money.riel,none,rule:distinct-currency,,
numbers-money.dollar,numbers-money.riel-symbol,none,rated,3,3
numbers-money.dollar,numbers-money.rupee,none,rule:distinct-currency,,
numbers-money.dollar,numbers-money.rupee-symbol,none,rated,3,3
numbers-money.dollar-symbol,numbers-money.euro,none,rated,3,3
numbers-money.dollar-symbol,numbers-money.euro-symbol,none,rule:distinct-currency,,
numbers-money.dollar-symbol,numbers-money.franc,none,rated,3,3
numbers-money.dollar-symbol,numbers-money.franc-symbol,none,rule:distinct-currency,,
numbers-money.dollar-symbol,numbers-money.lari,none,rated,3,3
numbers-money.dollar-symbol,numbers-money.pound,none,rule:distinct-currency,,
numbers-money.dollar-symbol,numbers-money.pound-symbol,none,rule:distinct-currency,,
numbers-money.dollar-symbol,numbers-money.riel,none,rated,3,3
numbers-money.dollar-symbol,numbers-money.riel-symbol,none,rule:distinct-currency,,
numbers-money.dollar-symbol,numbers-money.rupee,none,rule:distinct-currency,,
numbers-money.dollar-symbol,numbers-money.rupee-symbol,none,rule:distinct-currency,,
numbers-money.dong,numbers-money.dong-symbol,partial,rule:word-and-its-symbol,,
numbers-money.dong,numbers-money.lari,none,rated,3,3
numbers-money.dram,numbers-money.dram-symbol,partial,rule:word-and-its-symbol,,
numbers-money.dram,numbers-money.nepali-rupee-symbol,none,rated,3,3
numbers-money.euro,numbers-money.euro-symbol,partial,rule:word-and-its-symbol,,
numbers-money.euro,numbers-money.franc,none,rule:distinct-currency,,
numbers-money.euro,numbers-money.franc-symbol,none,rule:distinct-currency,,
numbers-money.euro,numbers-money.lira,none,rule:distinct-currency,,
numbers-money.euro,numbers-money.lira-symbol,none,rule:distinct-currency,,
numbers-money.euro,numbers-money.peso,none,rule:distinct-currency,,
numbers-money.euro,numbers-money.peso-symbol,none,rule:distinct-currency,,
numbers-money.euro,numbers-money.real,none,rule:distinct-currency,,
numbers-money.euro,numbers-money.real-symbol,none,rule:distinct-currency,,
numbers-money.euro-symbol,numbers-money.franc,none,rated,3,3
numbers-money.euro-symbol,numbers-money.franc-symbol,none,rule:distinct-currency,,
numbers-money.euro-symbol,numbers-money.lira,none,rule:distinct-currency,,
numbers-money.euro-symbol,numbers-money.lira-symbol,none,rule:distinct-currency,,
numbers-money.euro-symbol,numbers-money.peso,none,rule:distinct-currency,,
numbers-money.euro-symbol,numbers-money.peso-symbol,none,rule:distinct-currency,,
numbers-money.euro-symbol,numbers-money.real,none,rule:distinct-currency,,
numbers-money.euro-symbol,numbers-money.real-symbol,none,rated,3,3
numbers-money.forint,numbers-money.forint-symbol,partial,rated,3,3
numbers-money.forint-symbol,numbers-money.pakistani-rupee-symbol,none,rated,3,3
numbers-money.franc,numbers-money.franc-symbol,partial,rated,3,3
numbers-money.franc,numbers-money.naira,none,rule:distinct-currency,,
numbers-money.franc,numbers-money.naira-symbol,none,rule:distinct-currency,,
numbers-money.franc,numbers-money.shilling,none,rule:distinct-currency,,
numbers-money.franc,numbers-money.shilling-symbol,none,rule:distinct-currency,,
numbers-money.franc-symbol,numbers-money.naira,none,rule:distinct-currency,,
numbers-money.franc-symbol,numbers-money.naira-symbol,none,rule:distinct-currency,,
numbers-money.franc-symbol,numbers-money.shilling,none,rule:distinct-currency,,
numbers-money.franc-symbol,numbers-money.shilling-symbol,none,rule:distinct-currency,,
numbers-money.hryvnia,numbers-money.hryvnia-symbol,partial,rated,3,3
numbers-money.ji,numbers-money.ku-i,none,rated,3,3
numbers-money.ji,numbers-money.l-ng,none,rule:number-line,,
numbers-money.ji,numbers-money.li,none,rule:number-line,,
numbers-money.ji,numbers-money.li-ng,none,rule:number-line,,
numbers-money.ji,numbers-money.q,none,rated,3,3
numbers-money.ji,numbers-money.r,none,rule:number-line,,
numbers-money.ji,numbers-money.s,none,rule:number-line,,
numbers-money.ji,numbers-money.s-n,none,rule:number-line,,
numbers-money.ji,numbers-money.sh,none,rule:number-line,,
numbers-money.ji,numbers-money.w,none,rule:number-line,,
numbers-money.ji,numbers-money.y,none,rated,3,3
numbers-money.ji,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.ji,numbers-money.y-qi-n,none,rated,3,3
numbers-money.ji,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.ji,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.kip,numbers-money.kip-symbol,partial,rule:word-and-its-symbol,,
numbers-money.koruna,numbers-money.koruna-symbol,partial,rule:word-and-its-symbol,,
numbers-money.krona,numbers-money.krona-symbol,partial,rule:word-and-its-symbol,,
numbers-money.krona-symbol,numbers-money.pound,none,rated,3,3
numbers-money.ku-i,numbers-money.l-ng,none,rated,3,3
numbers-money.ku-i,numbers-money.li,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.li-ng,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.q,none,rated,3,3
numbers-money.ku-i,numbers-money.r,none,rated,3,3
numbers-money.ku-i,numbers-money.s,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.s-n,none,rated,3,3
numbers-money.ku-i,numbers-money.sh,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.w,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.y,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.y-b-i,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.y-qi-n,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.y-w-n,none,rule:amount-and-currency,,
numbers-money.ku-i,numbers-money.yu-n,partial,rated,3,2
numbers-money.l-ng,numbers-money.li,none,rule:number-line,,
numbers-money.l-ng,numbers-money.li-ng,none,rule:number-line,,
numbers-money.l-ng,numbers-money.q,none,rule:number-line,,
numbers-money.l-ng,numbers-money.r,none,rule:number-line,,
numbers-money.l-ng,numbers-money.s,none,rule:number-line,,
numbers-money.l-ng,numbers-money.s-n,none,rule:number-line,,
numbers-money.l-ng,numbers-money.sh,none,rule:number-line,,
numbers-money.l-ng,numbers-money.w,none,rule:number-line,,
numbers-money.l-ng,numbers-money.y,none,rule:number-line,,
numbers-money.l-ng,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.l-ng,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.l-ng,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.l-ng,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.lari,numbers-money.lari-symbol,partial,rated,3,3
numbers-money.leu,numbers-money.leu-symbol,partial,rule:word-and-its-symbol,,
numbers-money.leu,numbers-money.pakistani-rupee-symbol,none,rated,3,3
numbers-money.leu-symbol,numbers-money.zloty-symbol,none,rated,3,3
numbers-money.li,numbers-money.li-ng,none,rated,3,3
numbers-money.li,numbers-money.q,none,rule:number-line,,
numbers-money.li,numbers-money.r,none,rule:number-line,,
numbers-money.li,numbers-money.s,none,rule:number-line,,
numbers-money.li,numbers-money.s-n,none,rule:number-line,,
numbers-money.li,numbers-money.sh,none,rule:number-line,,
numbers-money.li,numbers-money.w,none,rule:number-line,,
numbers-money.li,numbers-money.y,none,rule:number-line,,
numbers-money.li,numbers-money.y-b-i,none,rated,3,3
numbers-money.li,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.li,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.li,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.li-ng,numbers-money.q,none,rule:number-line,,
numbers-money.li-ng,numbers-money.r,partial,rated,3,3
numbers-money.li-ng,numbers-money.s,none,rule:number-line,,
numbers-money.li-ng,numbers-money.s-n,none,rule:number-line,,
numbers-money.li-ng,numbers-money.sh,none,rule:number-line,,
numbers-money.li-ng,numbers-money.w,none,rule:number-line,,
numbers-money.li-ng,numbers-money.y,none,rule:number-line,,
numbers-money.li-ng,numbers-money.y-b-i,none,rated,3,3
numbers-money.li-ng,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.li-ng,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.li-ng,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.lira,numbers-money.lira-symbol,partial,rule:word-and-its-symbol,,
numbers-money.local-currency,numbers-money.ruble,none,rated,3,3
numbers-money.local-currency,numbers-money.ruble-symbol,none,rated,3,3
numbers-money.local-currency,numbers-money.rupee,none,rated,3,3
numbers-money.local-currency,numbers-money.rupee-symbol,none,rated,3,3
numbers-money.naira,numbers-money.naira-symbol,partial,rated,3,3
numbers-money.nepali-rupee,numbers-money.nepali-rupee-symbol,partial,rule:word-and-its-symbol,,
numbers-money.nepali-rupee,numbers-money.rupiah,none,rated,3,3
numbers-money.number-and-classifier-notes,numbers-money.number-and-classifier-notes-2,none,rated,3,3
numbers-money.pakistani-rupee,numbers-money.pakistani-rupee-symbol,partial,rule:word-and-its-symbol,,
numbers-money.peso,numbers-money.peso-symbol,partial,rule:word-and-its-symbol,,
numbers-money.pound,numbers-money.pound-symbol,partial,rated,3,3
numbers-money.pound,numbers-money.rupee,none,rule:distinct-currency,,
numbers-money.pound,numbers-money.rupee-symbol,none,rated,3,3
numbers-money.pound-symbol,numbers-money.rupee,none,rule:distinct-currency,,
numbers-money.pound-symbol,numbers-money.rupee-symbol,none,rule:distinct-currency,,
numbers-money.q,numbers-money.r,none,rule:number-line,,
numbers-money.q,numbers-money.s,none,rule:number-line,,
numbers-money.q,numbers-money.s-n,none,rule:number-line,,
numbers-money.q,numbers-money.sh,none,rule:number-line,,
numbers-money.q,numbers-money.w,none,rule:number-line,,
numbers-money.q,numbers-money.y,none,rule:number-line,,
numbers-money.q,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.q,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.q,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.q,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.r,numbers-money.s,none,rule:number-line,,
numbers-money.r,numbers-money.s-n,none,rule:number-line,,
numbers-money.r,numbers-money.sh,none,rule:number-line,,
numbers-money.r,numbers-money.w,none,rule:number-line,,
numbers-money.r,numbers-money.y,none,rule:number-line,,
numbers-money.r,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.r,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.r,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.r,numbers-money.yu-n,none,rated,3,3
numbers-money.real,numbers-money.real-symbol,partial,rule:word-and-its-symbol,,
numbers-money.real-symbol,numbers-money.rupiah-symbol,none,rated,3,3
numbers-money.rial,numbers-money.toman,none,rule:distinct-currency,,
numbers-money.riel,numbers-money.riel-symbol,partial,rule:word-and-its-symbol,,
numbers-money.ringgit,numbers-money.ringgit-symbol,partial,rated,3,3
numbers-money.ruble,numbers-money.ruble-symbol,partial,rule:word-and-its-symbol,,
numbers-money.ruble,numbers-money.zloty-symbol,none,rated,3,3
numbers-money.rupee,numbers-money.rupee-symbol,partial,rule:word-and-its-symbol,,
numbers-money.rupee,numbers-money.taka,none,rule:distinct-currency,,
numbers-money.rupee,numbers-money.taka-symbol,none,rule:distinct-currency,,
numbers-money.rupee-symbol,numbers-money.taka,none,rule:distinct-currency,,
numbers-money.rupee-symbol,numbers-money.taka-symbol,none,rule:distinct-currency,,
numbers-money.rupiah,numbers-money.rupiah-symbol,partial,rated,3,3
numbers-money.s,numbers-money.s-n,none,rule:number-line,,
numbers-money.s,numbers-money.sh,none,rule:number-line,,
numbers-money.s,numbers-money.w,none,rule:number-line,,
numbers-money.s,numbers-money.y,none,rule:number-line,,
numbers-money.s,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.s,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.s,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.s,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.s-n,numbers-money.sh,none,rule:number-line,,
numbers-money.s-n,numbers-money.w,none,rule:number-line,,
numbers-money.s-n,numbers-money.y,none,rule:number-line,,
numbers-money.s-n,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.s-n,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.s-n,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.s-n,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.sh,numbers-money.w,none,rule:number-line,,
numbers-money.sh,numbers-money.y,none,rule:number-line,,
numbers-money.sh,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.sh,numbers-money.y-qi-n,none,rated,3,3
numbers-money.sh,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.sh,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.shekel,numbers-money.shekel-symbol,partial,rated,3,3
numbers-money.shilling,numbers-money.shilling-symbol,partial,rule:word-and-its-symbol,,
numbers-money.taka,numbers-money.taka-symbol,partial,rule:word-and-its-symbol,,
numbers-money.w,numbers-money.y,none,rule:number-line,,
numbers-money.w,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.w,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.w,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.w,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.won,numbers-money.won-symbol,partial,rule:word-and-its-symbol,,
numbers-money.y,numbers-money.y-b-i,none,rule:number-line,,
numbers-money.y,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.y,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.y,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.y-b-i,numbers-money.y-qi-n,none,rule:number-line,,
numbers-money.y-b-i,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.y-b-i,numbers-money.yu-n,none,rule:amount-and-currency,,
numbers-money.y-qi-n,numbers-money.y-w-n,none,rule:number-line,,
numbers-money.y-qi-n,numbers-money.yu-n,none,rated,3,3
numbers-money.y-w-n,numbers-money.yu-n,none,rated,3,3
numbers-money.yen,numbers-money.yen-symbol,partial,rated,3,3
numbers-money.zloty,numbers-money.zloty-symbol,partial,rule:word-and-its-symbol,,
question-words.where,toilets.where-can-i-wash-my-hands,partial,rated,3,2
question-words.where,toilets.where-public-toilet,partial,rated,3,2
question-words.where,toilets.where-toilet,partial,rated,3,2
room-problems.the-toilet-will-not-flush,toilets.the-toilet-will-not-flush,duplicate,rated,3,3
toilets.can-i-flush-the-paper,toilets.toilet-paper,partial,rated,3,2
toilets.do-i-need-a-coin,toilets.is-it-free,partial,rated,3,2
toilets.drinking-water,toilets.is-the-tap-water-safe-to-drink,partial,rated,3,3
toilets.drinking-water,toilets.not-for-drinking,none,rated,3,3
toilets.drinking-water,trail-landmarks.water-point,partial,rated,3,2
toilets.is-it-only-for-customers,toilets.may-i-use-the-toilet,partial,rated,3,2
toilets.is-the-tap-water-safe-to-drink,toilets.not-for-drinking,partial,rated,3,2
toilets.is-there-a-toilet-on-board,toilets.toilet-wc,partial,rated,3,3
toilets.is-there-a-toilet-on-board,toilets.where-public-toilet,partial,rated,3,2
toilets.is-there-a-toilet-on-board,toilets.where-toilet,partial,rated,3,3
toilets.it-is-out-of-order,toilets.out-of-order,partial,rated,3,2
toilets.it-is-out-of-order,toilets.the-toilet-will-not-flush,partial,rated,3,3
toilets.may-i-have-the-toilet-key,toilets.may-i-use-the-toilet,partial,rated,3,3
toilets.may-i-have-the-toilet-key,toilets.toilet-wc,partial,rated,3,2
toilets.may-i-use-the-toilet,toilets.toilet-wc,partial,rated,3,2
toilets.out-of-order,toilets.the-toilet-will-not-flush,partial,rated,3,3
toilets.there-is-no-toilet-paper,toilets.toilet-paper,partial,rated,3,3
toilets.toilet-wc,toilets.where-public-toilet,partial,rated,3,3
toilets.toilet-wc,toilets.where-toilet,partial,rated,3,3
toilets.where-public-toilet,toilets.where-toilet,partial,rated,3,3
